Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
1392	40.4562	0.0290634	0	0	0	0	40.4562	0	2.1887	0.00157234	6.71608	0.00482477	30702	110220	17242	17854	13014	18470	132839
779	258.508	0.331846	409.119	0.525185	207.149	0.265917	258.508	409.119	5.34042	0.00685548	10.218	0.0131169	5085672	5785358	627616	1087914	21362	2239	652
815	134.299	0.164784	1043.08	1.27985	105.399	0.129324	134.299	1043.08	7.66044	0.00939932	6.71608	0.00824059	1576887	2991804	404200	355997	110452	19529	12576
1332	336.821	0.252869	1057.7	0.79407	284.999	0.213964	336.821	1057.7	11.3375	0.00851161	20.7239	0.0155585	3872818	3241207	413036	76952	27575	519	10711
1250	392.752	0.314202	561.237	0.448989	22.1659	0.0177327	392.752	561.237	16.4007	0.0131205	41.2559	0.0330047	4927557	4595807	3492216	717456	138097	3324	25078
350	0	0	0	0	0	0	0	0	0	0	0	0	836910	458434	570961	405095	123197	13610	34984
833	196.695	0.236128	99.992	0.120038	68.1731	0.0818405	196.695	99.992	8.11278	0.00973923	9.83426	0.0118058	42260	0	15188	2057	11650	3177	0
656	65.2232	0.0994256	110.2	0.167987	0	0	65.2232	110.2	11.5709	0.0176386	0	0	87891	124029	55934	56510	15050	14015	11666
1826	0	0	0	0	0	0	0	0	4.85891	0.00266096	13.72	0.00751369	477148	2984974	188653	189410	188690	73614	42754
1143	295.447	0.258484	461.53	0.403788	0	0	295.447	461.53	2.56807	0.00224678	22.211	0.0194322	5817	146110	3278	3831	3422	6661	24912
1255	388.591	0.309634	784.977	0.625479	145.021	0.115555	388.591	784.977	27.7527	0.0221137	62.8913	0.0501126	635916	804841	672617	6611	154	2467	33991
403	146.537	0.363614	0	0	59.598	0.147886	146.537	0	19.4211	0.0481912	19.5726	0.0485672	0	506941	14224	15519	15499	5663	14789
907	430.054	0.47415	336.585	0.371097	144.666	0.159499	430.054	336.585	90.6268	0.0999193	49.5071	0.0545834	0	95870	0	0	0	0	6884
485	861.994	1.77731	0	0	10.8283	0.0223264	861.994	0	72.1906	0.148847	87.309	0.180019	557441	406770	374752	71946	5592	11930	32900
449	0	0	0	0	0	0	0	0	2.54619	0.00567079	0	0	199676	49573	94197	18959	19903	772	30456
539	0	0	237.796	0.44118	0	0	0	237.796	0	0	0	0	0	607863	24747	25384	180	10058	9553
1206	161.143	0.133618	0	0	36.7286	0.0304549	161.143	0	11.3666	0.00942508	9.06671	0.007518	365549	493599	338413	2158442	2024197	352	2023964
