Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
3285	0	0	0	0	0	0	0	0	0	0	0	0	199523	172358	137563	158956	158936	138416	86566
606	232.623	0.383867	107.427	0.177272	0	0	232.623	107.427	0.043774	7.22e-05	0	0	114421	2602574	65862	27264	3729	2043	0
420	479.615	1.14194	143.142	0.340815	81.7184	0.194568	479.615	143.142	3.64783	0.00868531	0	0	1814230	1891985	1761495	289345	67069	5667	2012
723	2499.02	3.45646	205.872	0.284747	121.246	0.167698	2499.02	205.872	7.63126	0.010555	0	0	1807471	5970788	1734197	1803026	44146	23336	580
2368	3195.58	1.34949	446.344	0.18849	182.599	0.0771111	3195.58	446.344	23.9298	0.0101055	27.8238	0.0117499	3822542	764730	10518	36236	380	13400	0
2093	105.738	0.0505198	42.1745	0.0201502	78.6691	0.0375868	105.738	42.1745	3.83022	0.00183001	0	0	251908	608237	126245	26171	26151	4420	26896
788	105.738	0.134185	95.1139	0.120703	0	0	105.738	95.1139	6.29616	0.00799005	13.672	0.0173503	0	212228	536	278	298	0	2483
1301	474.849	0.364987	454.92	0.34967	439.397	0.337738	474.849	454.92	46.2254	0.0355306	42.4073	0.0325959	7543338	7865489	7534588	7535802	7066282	7091331	4449128
2561	867.36	0.33868	517.816	0.202193	669.227	0.261315	867.36	517.816	186.485	0.0728171	84.047	0.032818	0	175841	0	8598	4059	0	0
1302	2976.48	2.28608	145.272	0.111576	88.101	0.0676659	2976.48	145.272	52.0181	0.0399525	43.1748	0.0331604	5015143	21454624	761163	4668663	259943	0	524543
16274	6845.61	0.420647	9583.15	0.588863	2806.02	0.172423	6845.61	9583.15	180.363	0.0110829	205.464	0.0126253	490927	371022	332093	34476	12204	2276	15510
1580	675.782	0.42771	2785.79	1.76316	108.08	0.0684053	675.782	2785.79	149.05	0.0943357	178.456	0.112947	107577	897	59902	21717	0	0	3951
1275	14.7114	0.0115383	0	0	0	0	14.7114	0	16.7071	0.0131036	26.8643	0.0210701	382589	148547	377098	377727	16950	1644	7325
8227	2784.03	0.338401	3109.23	0.37793	1011.17	0.122908	2784.03	3109.23	174.454	0.0212051	191.264	0.0232484	1073772	728520	329993	1023643	9249	710	0
1146	2149.07	1.87527	365.349	0.318804	345.801	0.301746	2149.07	365.349	12.4902	0.0108989	13.4322	0.0117209	92663	264799	10145	10608	10628	2307	92145
395	270.619	0.685111	96.1701	0.243469	0	0	270.619	96.1701	3.93965	0.00997381	6.71608	0.0170027	167550	143392	121345	47649	19857	1228	1578
1069	282.275	0.264056	139.709	0.130691	0	0	282.275	139.709	2.87449	0.00268896	13.4322	0.0125652	1717092	193543	83284	83756	28788	2476	6149
658	175.505	0.266724	0	0	0	0	175.505	0	2.6848	0.00408025	4.98909	0.0075822	376924	2884750	88429	89186	88466	0	97568
1111	410.463	0.369453	845.706	0.761211	318.615	0.286783	410.463	845.706	35.0338	0.0315336	36.4587	0.0328161	725673	72197	32345	64656	32376	0	21064
1103	9095.12	8.2458	382.557	0.346833	609.67	0.552738	9095.12	382.557	95.2522	0.0863574	105.011	0.0952047	4536	356689	16098	17753	18093	2112	8962
1480	827.016	0.558795	761.081	0.514244	508.77	0.343763	827.016	761.081	58.0662	0.0392339	13.4322	0.00907578	36388	239048	39237	7705	7725	3103	0
1454	4043.78	2.78114	272.812	0.187628	25414.9	17.4793	4043.78	272.812	184.434	0.126846	227.243	0.156288	0	116620	1578	3664	3187	3861	8347
594	0	0	0	0	0	0	0	0	10.0972	0.0169987	6.71608	0.0113065	7041030	7363181	7032280	7033494	6563974	6589023	3946820
