Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
872	94.7044	0.108606	29.7231	0.0340861	0	0	94.7044	29.7231	13.103	0.0150264	15.9267	0.0182646	117491	22196	7123	6991	7071	2182	17117
1967	330.783	0.168166	1784.21	0.907073	431.234	0.219234	330.783	1784.21	38.6233	0.0196356	28.7832	0.014633	154870	186652	9983	7314	7294	2749	15860
1583	10.1141	0.00638917	107.998	0.0682238	0	0	10.1141	107.998	13.6575	0.0086276	26.8643	0.0169705	393263	172896	161469	16497	16517	3986	21531
611	250.75	0.410392	861.11	1.40935	67.1901	0.109967	250.75	861.11	25.761	0.0421621	29.3109	0.047972	393108	91412	47281	229904	37163	7439	8339
601	0	0	0	0	0	0	0	0	1.93335	0.00321689	0	0	14920175	15242326	14911425	14912639	14443119	14468168	11825965
2851	0	0	90.6238	0.0317867	75.6615	0.0265386	0	90.6238	27.7454	0.00973182	63.467	0.0222613	102334	106232	15923	111381	120	2722	0
2336	205.96	0.0881679	112.949	0.0483516	34.4331	0.0147402	205.96	112.949	18.4507	0.00789843	37.4182	0.0160181	393010	731006	131656	8746	8746	8930	24094
854	1108.46	1.29797	547.671	0.641301	185.294	0.216972	1108.46	547.671	16.7144	0.0195719	21.6354	0.0253342	83982	1858075	70954	70936	20276	3424	0
2447	0	0	0	0	0	0	0	0	37.5873	0.0153606	69.8473	0.028544	14136211	30575692	8357864	13789731	7879704	7980496	8119118
761	132.945	0.174698	220.741	0.290067	67.4514	0.0886352	132.945	220.741	21.7265	0.0285499	14.0558	0.0184702	504745	108120	310923	310810	8680	2799	4588
1323	68.6366	0.0518795	160.925	0.121637	0	0	68.6366	160.925	6.92358	0.00523325	21.2516	0.0160632	315478	129768	65654	57239	5318	13691	38510
1942	791.698	0.407672	3814.99	1.96447	236.514	0.121789	791.698	3814.99	14.9999	0.00772394	23.1225	0.0119065	91697	0	55649	2091	680	1316	7458
1490	605.41	0.406315	162.419	0.109006	129.884	0.0871708	605.41	162.419	14.7372	0.00989077	0	0	37809	72982	17806	18621	6361	0	6929
850	0	0	248.018	0.291786	18.0098	0.021188	0	248.018	2.0282	0.00238611	11.1775	0.01315	193243	97703	81537	20138	15884	1729	10672
718	0	0	109.975	0.153169	0	0	0	109.975	6.24509	0.00869789	11.3214	0.015768	789670	235871	923212	284483	146981	8713	9309
1891	2544.34	1.3455	394.267	0.208497	363.488	0.19222	2544.34	394.267	26.5708	0.0140512	60.9245	0.0322181	34171	3432424	1195	3812	1512	9765	0
909	377.682	0.415492	173.207	0.190547	78.2609	0.0860955	377.682	173.207	17.2397	0.0189655	28.4954	0.0313481	80726	8488	28038	28636	7295	319	8003
1016	0	0	0	0	0	0	0	0	4.77137	0.00469623	14.2957	0.0140705	547573	5263600	322827	3623	3103	6707	6496
1143	0	0	5.44313	0.00476214	0	0	0	5.44313	1.15272	0.0010085	0	0	655809	3665344	385139	323213	34883	85450	0
