DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
1	865	0	0	0	0	0	0	0	0	3.55299	0.0041075	5.90056	0.00682145
1	457	0	0	0	0	0	0	0	0	0	0	0	0
1	450	0	0	0	0	0	0	0	0	0	0	0	0
1	1391	0	0	0	0	0	0	0	0	0	0	0	0
1	540	0	0	0	0	0	0	0	0	0	0	0	0
1	956	0	0	0	0	0	0	0	0	0	0	0	0
1	299	0	0	0	0	0	0	0	0	0	0	0	0
1	1038	0	0	0	0	0	0	0	0	0	0	0	0
1	488	0	0	0	0	0	0	0	0	0	0	6.71608	0.0137625
1	667	0	0	0	0	0	0	0	0	0	0	0	0
1	570	0	0	0	0	221.885	0.389272	971.9	1.70509	18.7061	0.0328177	18.1334	0.031813
1	350	103.899	0.296854	134.745	0.384985	0	0	105.4	0.301143	7.03303	0.0200944	22.355	0.0638713
1	338	121.765	0.360253	105.517	0.31218	0	0	4406.6	13.0373	12.213	0.036133	8.15524	0.0241279
1	809	29.0466	0.0359043	0	0	0	0	226	0.279357	11.2791	0.013942	18.3733	0.0227111
1	806	371.113	0.460438	598.58	0.742656	114.759	0.14238	1434.5	1.77978	11.9649	0.0148448	0	0
1	407	43.2146	0.106178	125.828	0.309159	0	0	0	0	0	0	0	0
1	322	557.007	1.72983	55.206	0.171447	78.3366	0.243281	1178.9	3.66118	75.8385	0.235523	106.594	0.331037
1	432	248.257	0.574669	101.998	0.236106	0	0	659.8	1.52731	13.2781	0.0307364	21.1077	0.0488604
1	643	188.474	0.293117	121.582	0.189085	70.1384	0.10908	166	0.258165	25.6297	0.0398595	3.07021	0.00477482
1	1002	419.387	0.41855	0	0	123.881	0.123634	215.8	0.215369	10.9143	0.0108925	8.82685	0.00880923
1	570	218.349	0.383069	384.078	0.673821	201.868	0.354154	273.7	0.480175	7.86473	0.0137978	2.20671	0.00387142
1	997	59.7829	0.0599627	0	0	71.1892	0.0714034	268.2	0.269007	22.3247	0.0223919	13.2882	0.0133282
1	565	0	0	44.5881	0.078917	0	0	0	0	0.131322	0.000232428	0.863496	0.00152831
1	772	0	0	248.695	0.322144	0	0	291.6	0.37772	11.2353	0.0145535	15.6389	0.0202576
1	449	850.096	1.89331	129.714	0.288895	0	0	376.9	0.839421	21.0699	0.0469262	21.3955	0.0476515
1	948	1187.15	1.25227	255.649	0.269672	50.5821	0.0533566	227.7	0.24019	19.5743	0.020648	19.2368	0.020292
1	719	260.939	0.362919	60.437	0.084057	0	0	575	0.976231	100.396	0.139632	33.5804	0.0467043
1	634	0	0	3.96308	0.00625091	110.951	0.175002	74.8	0.152342	2.04279	0.00322206	6.71608	0.0105932
1	693	78.1541	0.112776	0	0	0	0	41.6	0.0702703	12.1327	0.0175075	34.7797	0.0501872
1	1135	327.945	0.288939	0	0	3815.66	3.36181	656.2	0.57815	16.8238	0.0148227	63.8507	0.0562562
1	950	334.773	0.352392	0	0	68.6326	0.0722448	125.3	0.157809	3.12254	0.00328689	7.67552	0.00807949
1	465	146.764	0.315622	150.363	0.323361	0	0	199.7	0.429462	7.3978	0.0159092	20.1962	0.0434327
1	713	0	0	282.579	0.396324	0	0	0	0	3.14443	0.00441014	6.71608	0.00941947
1	636	61.9509	0.097407	43.3015	0.0680841	0	0	365.3	0.574371	7.52913	0.0118383	25.5211	0.0401275
1	626	261.089	0.417075	39.8369	0.0636373	110.951	0.177238	675.6	1.07923	5.96056	0.00952166	11.7531	0.018775
1	578	315.376	0.545633	299.387	0.517971	0	0	267.3	0.462457	4.10016	0.0070937	0	0
1	369	0	0	0	0	0	0	17.7	0.0479675	2.15952	0.00585235	0	0
1	680	156.608	0.230306	118.892	0.174842	0	0	625.9	0.920441	5.57388	0.00819689	13.4322	0.0197532
1	668	1368.2	2.0482	365.616	0.54733	273.765	0.409827	1067.9	1.59865	182.691	0.273489	76.4674	0.114472
1	355	224.848	0.633375	0	0	0	0	277.6	0.781972	9.06122	0.0255246	0.527692	0.00148646
1	471	81.9346	0.173959	92.1819	0.195715	54.4791	0.115667	125.3	0.26603	6.60987	0.0140337	0	0
1	515	362.522	0.703926	0	0	0	0	149.6	0.290485	5.3842	0.0104547	20.2922	0.0394023
1	652	1007.49	1.54523	0	0	0	0	323.1	0.495552	9.68864	0.0148599	7.67552	0.0117723
1	548	0	0	57.656	0.105212	0	0	137.3	0.250547	12.6069	0.0230053	14.7754	0.0269624
1	907	0	0	0	0	0	0	370.6	0.534006	2.72858	0.00300835	0	0
1	442	0	0	190.81	0.431697	0	0	349.2	0.790045	2.11574	0.00478674	18.0855	0.0409173
1	452	212.396	0.469902	0	0	0	0	366.3	0.830612	0.627427	0.00138811	0	0
1	910	0	0	74.2233	0.0815641	0	0	403.8	0.472834	8.06901	0.00886704	6.71608	0.00738031
1	990	36.7784	0.0371499	284.379	0.287251	0	0	71	0.0717172	2.04279	0.00206342	22.0671	0.02229
1	465	0	0	14.783	0.0317913	0	0	228.5	0.491398	2.58266	0.00555411	6.71608	0.0144432
1	752	8.3619	0.0111195	139.18	0.18508	17.548	0.0233351	89	0.140157	11.6147	0.0154451	13.4322	0.0178619
1	470	105.738	0.224974	0	0	0	0	115	0.244681	1.02139	0.00217318	7.09986	0.0151061
1	645	134.857	0.209081	166.02	0.257396	0	0	44.3	0.0686822	1.40077	0.00217173	1.29524	0.00200813
1	593	586.483	0.989011	192.458	0.324549	35.5227	0.0599033	69.4	0.117032	21.1064	0.0355925	66.2014	0.111638
