DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
DSB_type	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
1	611	0	0	0	0	0	0	0	0	0	0	0	0
1	1179	0	0	0	0	0	0	0	0	0	0	0	0
1	807	0	0	0	0	0	0	0	0	0	0	0	0
1	830	0	0	0	0	0	0	0	0	0	0	0	0
1	5893	960.883	0.163055	788.672	0.133832	110.951	0.0188276	31087	7.8881	111925	18.9929	236160	40.0747
1	3827	1346.95	0.35196	3868.02	1.01072	176.938	0.0462341	7101.8	2.15141	297.692	0.0777874	378.355	0.0988647
1	6005	0	0	0	0	0	0	116.1	0.611053	6.71201	0.00111774	0	0
1	845	0	0	118.892	0.140701	0	0	180.2	0.270571	20.7708	0.0245808	61.5961	0.0728948
1	931	99.9566	0.107365	0	0	0	0	724.6	0.778303	3.356	0.00360473	0	0
1	2346	16915.7	7.21045	928.713	0.395871	579.612	0.247064	21925	9.34569	318.835	0.135906	315.464	0.134469
1	762	9050.72	11.8776	259.707	0.340823	581.282	0.762838	1063.2	1.39528	141.12	0.185197	98.5345	0.12931
1	1008	155.389	0.154156	0	0	0	0	274.6	0.272421	4.23878	0.00420514	0	0
1	675	932.814	1.38195	1386.97	2.05476	120.433	0.17842	630.3	0.933778	69.8925	0.103544	91.8664	0.136098
1	604	95.6743	0.158401	217.611	0.360282	0	0	0	0	12.1108	0.020051	0	0
1	2501	23755.3	9.49833	1081.79	0.432542	600.444	0.240082	2062.2	0.82455	183.785	0.0734847	209.206	0.0836489
1	983	4655.74	4.73626	712.283	0.724602	169.876	0.172814	192.3	0.195626	39.4039	0.0400854	32.573	0.0331363
1	802	31.6866	0.0395094	179.647	0.223998	57.3812	0.0715477	57	0.0710723	10.0607	0.0125445	17.126	0.0213541
1	2892	12501.4	4.32275	998.016	0.345095	2029.74	0.701847	3587.2	1.24039	1154.16	0.399087	1089.4	0.376693
1	903	5656.05	6.26362	439.507	0.486719	224.136	0.248212	992.8	1.09945	143.134	0.158509	108.513	0.120169
1	797	1506.96	1.8908	140.623	0.17644	39818.9	49.961	1398.6	1.75483	757.932	0.950982	479.864	0.602088
1	1956	6926.59	3.5412	762.227	0.389687	741.145	0.378909	14100.2	7.20869	140.836	0.0720018	183.061	0.0935896
1	575	5804.32	10.0945	333.481	0.579968	431.762	0.75089	261.7	0.45513	52.1276	0.0906566	54.6881	0.0951097
1	1084	3045.66	2.80965	187.325	0.172809	0	0	541.4	0.499446	35.6175	0.0328574	72.6296	0.0670015
1	1375	1196.31	0.870045	522.934	0.380316	189.932	0.138133	1707.1	1.24153	181.83	0.13224	111.583	0.0811512
1	1563	3227.78	2.06512	506.574	0.324104	412.525	0.263932	25273.8	16.1701	410.206	0.262448	269.219	0.172245
1	797	1449.19	1.81831	265.338	0.332921	657.72	0.825245	388.4	0.487327	213.34	0.267679	156.389	0.196222
1	1423	3581.03	2.51653	219.983	0.154591	100.999	0.070976	2286.1	1.64231	119.583	0.084036	103.907	0.0730199
1	941	3463.85	3.68103	278.324	0.295775	73030.5	77.6094	1547.3	1.64431	489.576	0.520272	276.271	0.293593
1	986	4189.34	4.24882	324.971	0.329585	45741.2	46.3906	1503.4	1.52475	118.569	0.120253	139.551	0.141532
1	1068	2390.02	2.23785	250.422	0.234477	55376	51.8502	10141.3	9.4956	622.977	0.583312	334.749	0.313435
1	539	28.6981	0.0532433	191.254	0.35483	28.952	0.0537143	0	0	0	0	0	0
1	730	322.2	0.44137	120.872	0.165578	29.0768	0.0398313	242.7	0.332466	8.71832	0.0119429	0	0
1	2945	15022.4	5.10098	664.03	0.225477	1127.01	0.382687	4412.1	1.49817	783.671	0.266102	431.316	0.146457
1	1150	6224.4	5.41253	344.489	0.299556	262.655	0.228395	1039.4	0.903826	78.5743	0.0683255	52.2895	0.0454691
1	569	0	0	40.8224	0.071744	0	0	0	0	0	0	0	0
1	2863	13602.9	4.75128	817.705	0.285611	420.028	0.146709	3254.5	1.13674	216.915	0.0757648	226.428	0.0790876
1	2616	8803.71	3.36533	1150.87	0.439935	50966.7	19.4827	24711.9	9.44644	1373.29	0.524959	775.468	0.296433
1	2471	15348.3	6.21139	1517.69	0.614201	54659.9	22.1206	4181	1.69203	128.834	0.0521385	178.024	0.0720454
1	1069	105.738	0.0989129	182.307	0.17054	0	0	662.4	0.619645	9.04663	0.0084627	0	0
1	3696	25836.8	6.99048	1150.59	0.311307	2048.74	0.554313	2804.6	0.75882	553.479	0.149751	396.249	0.10721
1	445	314.023	0.70567	0	0	9.60746	0.0215898	0	0	9.7397	0.021887	21.7793	0.0489422
1	1367	3386.17	2.47708	530.527	0.388096	10.8283	0.00792123	261.1	0.191002	67.463	0.0493512	47.1085	0.0344612
1	1280	705.292	0.551009	188.032	0.1469	273.862	0.213954	76.6	0.0598438	25.0606	0.0195786	4.55734	0.00356042
1	1274	2890.77	2.26905	80.6835	0.0633308	40.6368	0.031897	635.4	0.509543	30.7148	0.0241089	65.9136	0.0517375
1	1926	9016.19	4.6813	585.874	0.304192	330.556	0.171628	2147	1.11475	261.477	0.135762	194.095	0.100776
1	2100	10543.7	5.02079	877.807	0.418003	521.192	0.248187	1829.3	0.88159	58.7155	0.0279598	88.0766	0.0419412
1	1971	246.699	0.125164	118.892	0.0603209	19.1563	0.00971909	856.7	0.572278	38.0542	0.0193071	70.8067	0.0359242
1	830	567.941	0.684266	112.223	0.135208	39599	47.7096	2231.6	2.68867	1433.6	1.72723	738.769	0.890083
1	2242	11887.7	5.30226	826.643	0.368708	483.457	0.215637	1679.5	0.749108	310.635	0.138553	170.301	0.0759593
1	562	0	0	0	0	0	0	0	0	1.16731	0.00207706	0	0
1	1285	0	0	91.0539	0.0708591	29.5546	0.0229997	223.2	0.301215	4.99753	0.00388913	0	0
1	1036	0	0	84.2154	0.081289	0	0	51.3	0.0495174	1.16731	0.00112674	15.8308	0.0152807
1	515	176.536	0.342789	9.9077	0.0192383	76.518	0.148579	135.3	0.262718	9.94399	0.0193087	7.67552	0.0149039
1	837	5654.12	6.75522	291.076	0.347761	286.493	0.342286	397.9	0.475388	39.2215	0.0468596	14.3916	0.0171943
1	1343	6495.01	4.83619	674.535	0.50226	388.53	0.2893	206.8	0.153984	62.9106	0.0468433	71.958	0.0535801
1	653	134.193	0.205502	322.463	0.493818	5.31024	0.00813207	133.1	0.203828	8.79128	0.0134629	35.6912	0.0546572
1	545	312.617	0.573609	6.93539	0.0127255	0	0	0	0	4.61815	0.00847367	2.59049	0.00475319
1	658	62.9281	0.0956354	168.358	0.255863	96.9576	0.147352	368.6	0.560182	12.6945	0.0192925	45.5734	0.0692605
1	978	266.471	0.272465	755.669	0.772668	336.599	0.344171	1321.7	1.7506	18.2975	0.0187091	22.9306	0.0234464
1	610	105.738	0.173341	32.6954	0.053599	15.3036	0.0250879	58.4	0.0957377	6.63905	0.0108837	15.3511	0.0251657
1	741	243.409	0.328487	383.246	0.517201	144.229	0.194641	152.3	0.205533	7.66045	0.010338	48.02	0.0648043
1	698	164.583	0.235793	114.242	0.163671	49.6415	0.0711197	1125.4	1.61232	2.72858	0.00390914	14.3916	0.0206183
1	1092	274.551	0.25142	229.863	0.210498	0	0	93.7	0.0858059	13.9785	0.0128008	37.2263	0.03409
1	833	105.738	0.126936	475.107	0.570356	110.951	0.133195	410.1	0.492317	4.33362	0.00520243	13.4322	0.016125
1	1417	211.476	0.149242	162.402	0.11461	247.95	0.174982	86.7	0.0611856	8.49215	0.00599305	0	0
1	525	41.8095	0.0796371	35.1329	0.0669199	71.0551	0.135343	0	0	5.45715	0.0103946	7.67552	0.01462
1	882	200.017	0.226777	0	0	0	0	637.3	1.30327	4.23149	0.0047976	6.71608	0.0076146
1	637	198.146	0.311061	388.3	0.609576	76.037	0.119367	298	0.467818	4.12934	0.00648249	18.7571	0.0294459
1	567	422.954	0.74595	97.0955	0.171244	0	0	247	0.435626	2.6848	0.0047351	6.71608	0.0118449
1	484	190.715	0.394039	125.806	0.259929	130.504	0.269636	0	0	2.48052	0.00512505	5.27692	0.0109027
1	736	57.8019	0.0785352	156.48	0.212609	0	0	47.2	0.0641304	7.68233	0.010438	7.33972	0.00997244
1	1100	161.143	0.146494	230.735	0.209759	259.422	0.235838	154.4	0.140364	16.8822	0.0153474	28.1596	0.0255996
1	595	0	0	48.4929	0.0815007	8.31222	0.0139701	74.2	0.124706	3.12984	0.00526024	5.46881	0.00919128
1	767	106.178	0.138433	70.2914	0.0916446	266.693	0.347709	284	0.370274	3.17361	0.0041377	27.8238	0.0362761
1	781	112.759	0.144377	40.5861	0.0519668	162.25	0.207746	0	0	5.8803	0.0075292	7.67552	0.00982781
1	1202	279.778	0.232761	75.76	0.0630283	74.9876	0.0623857	94.6	0.0787022	7.44158	0.006191	14.3916	0.011973
1	519	0	0	37.6193	0.0724842	86.7981	0.167241	0	0	1.30592	0.00251623	45.4295	0.0875327
1	613	185.143	0.302027	352.461	0.574977	0	0	229.8	0.374878	12.2348	0.019959	35.4993	0.0579107
1	793	164.906	0.207952	444.044	0.559954	27.5465	0.034737	127.1	0.160277	7.80636	0.00984408	7.67552	0.00967909
1	775	345.56	0.445884	203.655	0.262781	0	0	231.7	0.298968	4.96105	0.00640135	6.71608	0.00866591
1	721	208.49	0.289168	0	0	0.69264	0.000960666	410.2	0.568932	26.1185	0.0362254	16.5983	0.0230212
1	2037	5878.43	2.88583	574.847	0.282203	387.717	0.190337	1595.9	0.783456	36.2959	0.0178183	63.3231	0.0310864
1	2159	9343.57	4.32773	789.877	0.365853	766.242	0.354906	836.5	0.387448	175.891	0.0814689	199.18	0.0922556
1	900	243.98	0.271088	68.5515	0.0761683	0	0	458	0.508889	12.0743	0.0134159	30.846	0.0342733
