DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	611	0	0	0	0	0	0	0	0	0	0	0	0	588593	29217	592700	110161	591904	700201	759178
1	1179	0	0	0	0	0	0	0	0	0	0	0	0	367549	249693	371656	105440	370860	479157	538134
1	807	0	0	0	0	0	0	0	0	0	0	0	0	262775	266946	266882	93460	266086	374383	433360
1	830	0	0	0	0	0	0	0	0	0	0	0	0	239113	243284	243220	69798	242424	350721	409698
1	5893	960.883	0.163055	788.672	0.133832	110.951	0.0188276	31087	7.8881	111925	18.9929	236160	40.0747	139593	143764	143700	17630	142904	251201	310178
1	3827	1346.95	0.35196	3868.02	1.01072	176.938	0.0462341	7101.8	2.15141	297.692	0.0777874	378.355	0.0988647	29848	4604	8883	8883	8932	120925	69344
1	6005	0	0	0	0	0	0	116.1	0.611053	6.71201	0.00111774	0	0	45717	20473	24752	24752	24801	136794	85213
1	845	0	0	118.892	0.140701	0	0	180.2	0.270571	20.7708	0.0245808	61.5961	0.0728948	50592	4379	52260	52260	52309	164302	112721
1	931	99.9566	0.107365	0	0	0	0	724.6	0.778303	3.356	0.00360473	0	0	1485	790	294900	127896	775969	217538	648127
1	2346	16915.7	7.21045	928.713	0.395871	579.612	0.247064	21925	9.34569	318.835	0.135906	315.464	0.134469	6684	0	12023	0	10663	107388	0
1	762	9050.72	11.8776	259.707	0.340823	581.282	0.762838	1063.2	1.39528	141.12	0.185197	98.5345	0.12931	2512	1928	7692	0	15228	289804	0
1	1008	155.389	0.154156	0	0	0	0	274.6	0.272421	4.23878	0.00420514	0	0	35950	13298	21944	1364	21275	531176	7153
1	675	932.814	1.38195	1386.97	2.05476	120.433	0.17842	630.3	0.933778	69.8925	0.103544	91.8664	0.136098	0	4841	36114	9613	97560	17220	78641
1	604	95.6743	0.158401	217.611	0.360282	0	0	0	0	12.1108	0.020051	0	0	4539	4862	36417	139	117601	104068	676035
