DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
1	571	0	0	187.26	0.327952	0	0	111	0.194396	10.7684	0.0188588	14.3916	0.0252042
1	693	78.1541	0.112776	0	0	0	0	41.6	0.0702703	12.1327	0.0175075	34.7797	0.0501872
1	831	229.516	0.276193	0	0	68.6326	0.0825904	41	0.0607407	2.25436	0.00271282	7.67552	0.00923649
1	412	259.288	0.629339	118.892	0.288574	0	0	0	0	3.90318	0.00947373	0.71958	0.00174655
1	844	58.2813	0.0690536	0	0	0	0	70.1	0.0830569	1.88228	0.00223019	15.3511	0.0181885
1	851	105.738	0.124251	118.892	0.139709	1.53036	0.00179831	108.7	0.127732	8.01064	0.0094132	14.3916	0.0169114
1	411	0	0	119.883	0.291687	0	0	500.3	1.21727	3.45085	0.00839623	4.89314	0.0119055
1	650	317.215	0.488023	91.1594	0.140245	0	0	161.6	0.248615	8.75479	0.0134689	59.0056	0.0907778
1	692	138.045	0.199486	118.892	0.17181	0	0	285.7	0.412861	3.51651	0.00508166	7.72349	0.0111611
1	704	681.316	0.967778	135.69	0.192741	76.0612	0.108042	558.1	0.792756	1.54668	0.00219699	6.71608	0.00953989
1	468	0	0	0	0	0	0	98.4	0.984	2.15952	0.00461435	3.2621	0.0069703
1	601	0	0	0	0	0	0	0	0	0	0	0	0
1	495	1.83892	0.00371499	0	0	0	0	130.1	0.400308	9.40411	0.0189982	6.42825	0.0129864
1	718	95.2814	0.132704	219.722	0.306019	236.955	0.330021	2667	3.75634	42.9569	0.0598285	35.2115	0.0490411
1	403	17.3275	0.0429963	248.333	0.616211	0	0	0	0	4.87351	0.0120931	28.7832	0.0714224
1	957	0	0	0	0	0	0	0	0	1.02139	0.00106729	0	0
1	318	0	0	0	0	0	0	0	0	0	0	0	0
1	345	0	0	0	0	0	0	0	0	0	0	0	0
1	734	0	0	0	0	0	0	368.1	0.520651	5.54471	0.0075541	20.1483	0.0274499
1	412	71.4144	0.173336	0	0	18.0006	0.0436907	0	0	3.88129	0.00942062	12.1849	0.029575
1	442	0	0	70.308	0.159068	0	0	247.8	0.560633	5.52282	0.0124951	1.39119	0.00314748
1	1372	247.434	0.180346	163.406	0.1191	37.405	0.0272631	68.5	0.0578547	16.2329	0.0118315	0.23986	0.000174825
1	490	0	0	25.7312	0.0525126	0	0	267.9	0.727989	2.15952	0.00440717	0	0
1	428	0	0	0	0	0	0	0	0	1.02139	0.00238643	0	0
1	1185	165.503	0.139665	341.823	0.288458	0	0	0	0	12.5923	0.0106264	13.72	0.0115781
1	433	105.738	0.244198	130.782	0.302036	59.684	0.137838	140.4	0.324249	5.34772	0.0123504	3.07021	0.00709055
1	930	105.738	0.113697	143.662	0.154475	0	0	0	0	11.9649	0.0128655	14.2957	0.0153717
1	758	0	0	196.827	0.259667	58.4211	0.0770727	176	0.23219	7.20082	0.00949976	7.67552	0.010126
1	514	105.738	0.205716	165.802	0.322573	6.46464	0.0125771	0	0	7.00383	0.0136261	12.4727	0.024266
1	658	105.738	0.160696	118.892	0.180688	0	0	31.8	0.0483283	4.77136	0.0072513	21.1077	0.0320785
1	764	0	0	118.892	0.155618	43.6153	0.057088	109.2	0.142932	2.04279	0.00267381	14.3916	0.0188372
1	1205	168.813	0.140094	889.65	0.738298	208.308	0.172869	264.2	0.219253	10.71	0.00888799	14.5355	0.0120627
1	531	44.9982	0.0847423	56.767	0.106906	0	0	80.9	0.152354	4.62545	0.00871083	0	0
1	461	105.738	0.229366	0	0	0	0	0	0	6.62447	0.0143698	3.69384	0.00801268
1	886	58.8454	0.066417	0	0	84.5562	0.0954359	0	0	5.70521	0.00643929	44.3261	0.0500295
1	310	51.4898	0.166096	144.652	0.466621	0	0	0	0	5.10696	0.0164741	0	0
1	437	105.738	0.241963	368.591	0.843457	142.323	0.325683	179.2	0.410069	2.75046	0.00629396	0	0
1	604	0	0	0	0	62.7448	0.103882	103	0.17053	5.97515	0.00989264	6.71608	0.0111193
1	809	0	0	184.284	0.227792	48.9715	0.0605334	0	0	9.6011	0.0118679	0.383776	0.000474383
1	934	222.949	0.238704	51.52	0.0551606	71.9605	0.0770455	8	0.0104167	4.23148	0.0045305	15.351	0.0164358
1	585	0	0	0	0	0	0	0	0	6.28156	0.0107377	15.3511	0.0262411
1	845	98.3822	0.116429	118.892	0.140701	0	0	0	0	6.47855	0.00766693	10.7937	0.0127736
1	290	0	0	0	0	0	0	0	0	0	0	3.21412	0.0110832
1	585	162.744	0.278196	370.574	0.633459	110.951	0.18966	119.1	0.20359	10.5787	0.0180833	0	0
1	974	118.313	0.121471	666.775	0.684574	69.9909	0.0718593	123.1	0.126386	9.71053	0.00996974	36.027	0.0369887
1	1299	66.9303	0.0515245	0	0	97.0838	0.0747373	361.3	0.345411	4.37011	0.00336421	15.351	0.0118176
1	440	0	0	5.44313	0.0123708	0	0	174.7	0.397045	3.85211	0.00875479	0	0
1	436	84.5903	0.194014	438.939	1.00674	0	0	131.7	0.302064	6.56609	0.0150598	37.3222	0.0856014
1	951	160.905	0.169196	0	0	0	0	200.9	0.211251	5.18721	0.00545448	1.00741	0.00105932
1	465	0	0	80.2524	0.172586	0	0	0	0	7.87202	0.0169291	7.96335	0.0171255
1	765	63.4427	0.0829317	0	0	0	0	470.8	0.615425	1.05787	0.00138284	0	0
1	625	104.779	0.167646	235.907	0.377452	0	0	170.2	0.27232	4.3774	0.00700384	9.30658	0.0148905
1	715	91.1455	0.127476	82.1552	0.114902	6.23376	0.00871855	2510.2	3.51077	11.9576	0.0167239	31.4217	0.0439464
1	495	0	0	74.3077	0.150117	0	0	194.6	0.400412	0.48881	0.000987495	0.383776	0.000775305
1	356	0	0	289.318	0.81269	208.894	0.58678	33.6	0.094382	1.16731	0.00327895	14.9673	0.0420429
1	685	0	0	0	0	0	0	396.8	0.57927	5.26747	0.00768974	26.1927	0.0382375
1	785	0	0	96.8428	0.123367	75.2752	0.095892	115.6	0.234959	8.53593	0.0108738	8.15524	0.0103888
1	479	189.409	0.395425	117.902	0.246141	245.602	0.512739	0	0	7.45617	0.0155661	47.4923	0.0991489
1	1438	105.738	0.0735312	118.892	0.082679	0	0	0	0	9.94399	0.00691515	28.4474	0.0197826
1	620	63.4427	0.102327	107.003	0.172586	0	0	119.2	0.192258	9.30926	0.0150149	6.71608	0.0108324
1	477	43.6631	0.091537	126.807	0.265842	66.0309	0.13843	129.8	0.272117	3.46544	0.00726507	0	0
1	560	105.738	0.188818	0	0	0	0	0	0	7.14975	0.0127674	0	0
1	599	0	0	237.797	0.39699	0	0	69.5	0.116027	1.86769	0.00311801	9.30658	0.0155369
1	951	0	0	504.671	0.530674	0	0	368.7	0.387697	12.8768	0.0135403	21.1077	0.0221953
1	672	83.7197	0.124583	128.086	0.190604	174.231	0.259272	31.1	0.0462798	8.03983	0.011964	11.1295	0.0165618
1	352	0	0	0	0	0	0	0	0	0	0	6.71608	0.0190798
1	649	5.94112	0.00915427	116.364	0.179298	60.2408	0.092821	59.9	0.0922958	8.23681	0.0126915	29.7427	0.0458285
1	445	0	0	0	0	0	0	8.9	0.02	5.03401	0.0113124	0	0
1	659	104.347	0.158341	270.963	0.411173	0	0	0	0	4.94646	0.00750601	10.362	0.0157238
1	709	95.3674	0.13451	251.93	0.355332	6.46404	0.00911712	208.3	0.293794	7.31025	0.0103107	0	0
1	382	46.8606	0.122672	178.404	0.467026	31.8476	0.0833706	128.7	0.336911	9.74701	0.0255157	23.2664	0.0609069
1	597	118.969	0.199278	274.05	0.459045	0	0	0	0	10.6663	0.0178664	29.5987	0.0495791
1	779	11.953	0.015344	0	0	293.052	0.376189	123.2	0.158151	7.11327	0.00913128	0	0
1	567	15.6308	0.0275676	0	0	0	0	68.5	0.120811	1.36429	0.00240616	0	0
1	793	250.982	0.316497	228.159	0.287716	73.3045	0.0924395	116.6	0.147037	11.4907	0.0144901	10.218	0.0128853
1	1387	211.476	0.15247	282.369	0.203583	0	0	513.4	0.370151	15.9848	0.0115247	7.5316	0.00543014
1	534	446.694	0.836505	111.687	0.209151	0	0	34.3	0.0642322	7.28108	0.013635	6.71608	0.0125769
1	639	162.745	0.254687	6.93539	0.0108535	67.811	0.106121	43.4	0.0679186	7.38321	0.0115543	0	0
1	956	18.8375	0.0197045	104.511	0.109321	45.7012	0.0478046	99.2	0.172522	4.81514	0.00503676	6.71608	0.00702519
1	771	83.4854	0.108282	168.655	0.218749	0	0	0	0	2.34191	0.00303749	13.4322	0.0174217
1	483	38.267	0.0792278	128.657	0.26637	0	0	84.1	0.17412	1.02869	0.00212979	10.6018	0.0219499
1	338	0	0	0	0	0	0	69	0.204142	0.423149	0.00125192	0	0
1	715	105.738	0.147885	99.5507	0.139232	156.44	0.218798	94.9	0.132727	3.06418	0.00428557	19.6685	0.0275084
1	986	0	0	68.3631	0.0693338	0	0	118.1	0.354655	1.12353	0.00113948	36.6986	0.0372197
1	750	212.16	0.28288	0	0	0	0	69.7	0.0929333	7.52912	0.0100388	14.0078	0.0186771
1	515	252.851	0.490974	237.785	0.461718	3.8259	0.00742893	0	0	7.3978	0.0143647	15.6389	0.0303668
1	1014	163.664	0.161404	75.3057	0.0742659	20.6599	0.0203746	74.2	0.0731755	8.71102	0.00859075	6.71608	0.00662335
1	948	113.936	0.120186	181.502	0.191457	0	0	199.7	0.210654	3.41437	0.00360166	2.25468	0.00237836
1	701	0	0	112.529	0.160526	0	0	228.4	0.32582	5.72709	0.00816989	0	0
1	515	6.71928	0.0130471	118.396	0.229896	0	0	231	0.448544	1.92606	0.00373992	29.6467	0.0575664
1	522	94.7044	0.181426	0	0	110.951	0.21255	544.6	1.0433	3.24657	0.00621948	7.67552	0.0147041
1	495	226.835	0.458252	95.8088	0.193553	0	0	131.3	0.265253	9.55732	0.0193077	7.67552	0.0155061
1	362	611.444	1.68907	0	0	0	0	73.6	0.203315	0.984915	0.00272076	14.3916	0.0397558
1	484	100.009	0.206629	0	0	0	0	0	0	5.20911	0.0107626	0.287832	0.000594694
1	1078	270.491	0.25092	0	0	101.502	0.0941573	25.8	0.0308982	9.92211	0.00920418	24.3698	0.0226065
1	535	205.96	0.384971	0	0	0	0	0	0	8.70373	0.0162686	10.8417	0.0202648
1	1804	273.999	0.151884	118.892	0.0659049	0	0	113.3	0.0628049	14.1536	0.00784567	13.4322	0.00744577
1	1222	88.8986	0.0727485	0	0	0	0	206.6	0.246246	5.85112	0.00478815	0	0
1	622	0	0	0	0	110.951	0.178378	0	0	7.87932	0.0126677	6.71608	0.0107976
1	745	0	0	0	0	0	0	1187.1	1.59342	1.16731	0.00156685	1.67902	0.00225372
1	687	0	0	315.456	0.459179	0	0	302.7	0.440611	2.8672	0.00417351	3.50196	0.00509746
1	1029	105.738	0.102758	31.1752	0.0302966	3.23253	0.00314143	134.8	0.131001	14.0806	0.0136838	34.3959	0.0334266
1	639	0	0	118.892	0.18606	0	0	208.9	0.326917	8.15655	0.0127646	13.4322	0.0210206
1	769	295.643	0.384451	0	0	0	0	115.6	0.150325	4.30444	0.00559745	6.71608	0.00873352
1	453	211.476	0.466835	0	0	0	0	70	0.210843	0.517993	0.00114347	0	0
1	495	0	0	0	0	0	0	0	0	0	0	0	0
