DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	571	0	0	187.26	0.327952	0	0	111	0.194396	10.7684	0.0188588	14.3916	0.0252042	0	7613	41086	21189	40034	113591	43479
1	693	78.1541	0.112776	0	0	0	0	41.6	0.0702703	12.1327	0.0175075	34.7797	0.0501872	10614	11308	11373	11373	11120	76043	10340
1	831	229.516	0.276193	0	0	68.6326	0.0825904	41	0.0607407	2.25436	0.00271282	7.67552	0.00923649	0	3301	17514	17679	16697	779256	105
1	412	259.288	0.629339	118.892	0.288574	0	0	0	0	3.90318	0.00947373	0.71958	0.00174655	2390	11426	333274	62686	405037	139902	557631
1	844	58.2813	0.0690536	0	0	0	0	70.1	0.0830569	1.88228	0.00223019	15.3511	0.0181885	33061	8548	59855	22113	537112	1100697	2034866
1	851	105.738	0.124251	118.892	0.139709	1.53036	0.00179831	108.7	0.127732	8.01064	0.0094132	14.3916	0.0169114	52161	1780	12438	8758	30963	455231	596910
1	411	0	0	119.883	0.291687	0	0	500.3	1.21727	3.45085	0.00839623	4.89314	0.0119055	16653	8469	12772	12812	12226	581430	14089
1	650	317.215	0.488023	91.1594	0.140245	0	0	161.6	0.248615	8.75479	0.0134689	59.0056	0.0907778	91502	1343	22841	22861	337956	370992	310504
1	692	138.045	0.199486	118.892	0.17181	0	0	285.7	0.412861	3.51651	0.00508166	7.72349	0.0111611	11304	8948	562214	194865	1027510	640084	1064400
1	704	681.316	0.967778	135.69	0.192741	76.0612	0.108042	558.1	0.792756	1.54668	0.00219699	6.71608	0.00953989	11648	21869	117659	116553	116049	414398	48357
1	468	0	0	0	0	0	0	98.4	0.984	2.15952	0.00461435	3.2621	0.0069703	24176	15284	961833	109317	961606	2257296	1232300
1	601	0	0	0	0	0	0	0	0	0	0	0	0	207483	167261	778393	10858	778166	2073856	1048860
1	495	1.83892	0.00371499	0	0	0	0	130.1	0.400308	9.40411	0.0189982	6.42825	0.0129864	63080	17231	260686	14644	260459	1556149	531153
1	718	95.2814	0.132704	219.722	0.306019	236.955	0.330021	2667	3.75634	42.9569	0.0598285	35.2115	0.0490411	1587	43250	199193	75914	198966	1494656	469660
1	403	17.3275	0.0429963	248.333	0.616211	0	0	0	0	4.87351	0.0120931	28.7832	0.0714224	0	1560	50925	1687	89164	30080	184792
1	957	0	0	0	0	0	0	0	0	1.02139	0.00106729	0	0	15916	369501	119566	71098	119270	125306	1218958
1	318	0	0	0	0	0	0	0	0	0	0	0	0	0	254545	135893	61833	234865	240901	1104002
1	345	0	0	0	0	0	0	0	0	0	0	0	0	0	244436	125784	51724	244947	250983	1093893
