"Size" "Sum_H3K36me3" "Mean_H3K36me3" "Sum_H3K27me3" "Mean_H3K27me3" "Sum_H3K4me3" "Mean_H3K4me3" "Sum_CTCF" "Mean_CTCF" "Sum_DNaseIHSS1" "Mean_DNaseIHSS1" "Sum_DNaseIHSS2" "Mean_DNaseIHSS2" "DistanceToOrigin" "DistanceToCTCF" "DistanceToDNaseIHSS1" "DistanceToDNaseIHSS2" "DistanceToH3K4me3" "DistanceToH3K27me3" "DistanceToH3K36me3"
"909" "770" "94.0001" "0.122078" "192.03" "0.249389" "109.163" "0.141771" "535.2" "0.695065" "7.60938" "0.00988231" "18.3733" "0.0238614" "0" "10609" "6187" "6271" "828688" "5782189" "2502869"
"435" "890" "0" "0" "237.785" "0.267174" "0" "0" "281.7" "0.316517" "5.46445" "0.00613983" "17.7496" "0.0199434" "0" "4398" "428514" "63067" "915373" "1086955" "953081"
"2693" "569" "75.9893" "0.133549" "184.128" "0.323599" "0" "0" "430.3" "0.756239" "2.53889" "0.00446202" "0" "0" "12491" "8412" "25771" "24971" "25210" "26651" "1056133"
"3860" "1024" "222.617" "0.2174" "0" "0" "171.407" "0.167389" "225.5" "0.220215" "10.3088" "0.0100672" "8.10727" "0.00791725" "0" "1017" "1081" "11319" "474973" "795191" "540794"
"1316" "489" "0" "0" "139.271" "0.284808" "0" "0" "108.7" "0.22229" "4.60356" "0.00941423" "6.18839" "0.0126552" "0" "11382" "328379" "61801" "737524" "886171" "720943"
"2857" "864" "0" "0" "106.983" "0.123823" "0" "0" "3.5" "0.00524738" "4.88809" "0.00565751" "7.67552" "0.0088837" "8918" "7642" "19960" "19960" "26269" "28946" "572603"
"1815" "2038" "217.474" "0.10671" "133.754" "0.06563" "58.1051" "0.0285108" "0" "0" "10.6225" "0.00521221" "0" "0" "0" "37270" "5447529" "16111" "15662" "22233490" "5794009"
"1375" "436" "147.297" "0.337837" "481.953" "1.1054" "0" "0" "0" "0" "4.17312" "0.00957138" "0" "0" "3368499" "22441" "525052" "525072" "523024" "2040041" "506824"
"538" "875" "161.001" "0.184001" "273.885" "0.313011" "4.6179" "0.0052776" "624.9" "0.714171" "10.462" "0.0119565" "15.351" "0.017544" "1318" "2266" "4004" "4024" "42311" "27189" "24027"
"629" "321" "152.494" "0.47506" "126.995" "0.395622" "118.357" "0.368712" "0" "0" "1.98442" "0.00618199" "6.71608" "0.0209224" "14247" "18531" "110401" "12409" "832452" "1098641" "781885"
"427" "398" "122.466" "0.307704" "188.441" "0.47347" "41.0917" "0.103245" "0" "0" "3.77915" "0.00949536" "0" "0" "3178" "335" "96331" "1573" "57533" "173715" "337497"
"1982" "720" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3193" "16088" "13448" "185770" "602871" "868143"
"1984" "727" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5473" "3979" "236619" "126269" "318151" "535012" "334231"
"2265" "748" "91.3571" "0.122135" "66.3361" "0.0886846" "221.886" "0.296639" "129.2" "0.172727" "11.4396" "0.0152936" "11.6092" "0.0155204" "0" "6393" "68661" "35301" "68311" "357594" "128513"
"2951" "553" "1980.56" "3.58148" "0" "0" "120.898" "0.218623" "22.4" "0.0405063" "20.7124" "0.0374546" "13.72" "0.0248101" "18113" "4583" "384486" "4104" "442945" "1169933" "1358867"
"1086" "796" "1077.79" "1.35401" "190.67" "0.239536" "0" "0" "521.7" "0.655402" "11.2207" "0.0140964" "14.2477" "0.0178991" "11423" "22350" "211263" "48718" "26594" "609291" "170069"
"3694" "753" "32.1811" "0.0427372" "0" "0" "0" "0" "231.3" "0.307171" "6.64635" "0.0088265" "0" "0" "195" "273" "532889" "22636" "723212" "1120661" "1273410"
"11" "667" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "62357" "66528" "66464" "65646" "65668" "173965" "232942"
"1499" "1932" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10320" "4171" "22932" "18732" "18825" "101774" "27022"
"1754" "886" "307.101" "0.346615" "0" "0" "0" "0" "413.5" "0.466704" "10.3453" "0.0116764" "21.0597" "0.0237694" "6749" "10629" "11832" "10652" "11151" "438538" "481382"
