Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1077	310.024	0.287859	103.04	0.0956732	201.878	0.187445	580.5	0.538997	12.8331	0.0119156	34.5398	0.0320704	0	6152	13167	8142	310779	126466	355394
1020	432.077	0.423605	186.754	0.183092	0	0	361.4	0.354314	21.6389	0.0212146	25.0894	0.0245974	400930	3205	535408	401163	105432	2116819	38
266	0	0	94.5913	0.355607	0.46179	0.00173605	1880.8	22.3905	16.4371	0.0617937	36.6506	0.137784	69002	2117	1311446	74961	1738492	1981918	1722779
383	0	0	0	0	0	0	247	0.644909	1.62693	0.00424787	4.36545	0.011398	0	5279	1597127	21923	2199543	3621969	4296069
4302	0	0	0	0	0	0	0	0	1.02139	0.000237423	0	0	49366	13037	369174	25274	252171	239823	607585
528	0	0	0	0	0	0	173.7	0.328977	3.56028	0.00674296	13.4322	0.0254397	0	8917	159884	159364	1010420	1564998	1133457
752	101.706	0.135247	113.529	0.150969	0	0	439.1	0.58391	3.74267	0.00497696	36.4587	0.0484824	741	11872	17124	11969	861247	4618919	4574871
421	124.324	0.295306	118.892	0.282405	55.2259	0.131178	36.3	0.0862233	7.10597	0.0168788	9.2586	0.0219919	0	11434	18883	5079	4744	1047900	30555
842	0	0	68.3276	0.0811492	110.951	0.131771	466	0.553444	4.5306	0.00538077	1.00741	0.00119645	0	1514	14937	14934	116152	2212	124445
919	306.189	0.333176	229.349	0.249564	0	0	196.6	0.213928	4.18771	0.00455682	0	0	5157	6915	77759	7754	171562	56374	161241
457	0	0	144.082	0.315278	0	0	396.7	0.868053	7.0768	0.0154853	11.1295	0.0243534	0	4063	1159429	16456	16323	3529732	2334881
758	269.646	0.355733	98.0785	0.129391	47.2048	0.0622755	86.7	0.11438	10.9435	0.0144373	8.53902	0.0112652	1806	2749	2988	2988	1425	639411	426
515	63.0716	0.122469	0	0	0	0	0	0	1.13812	0.00220995	0	0	3553	1934	88532	10216	39889	87336	225540
564	84.5903	0.149983	118.892	0.210802	0	0	45.7	0.0810284	5.46445	0.00968874	19.3327	0.0342779	11756	15133	204396	30865	1168104	2170918	1485711
4572	0	0	118.892	0.0260045	0	0	197.4	0.236975	3.48003	0.000761162	6.71608	0.00146896	3845	0	5055	345	2938	19630	0
857	22.067	0.0257492	0	0	0	0	105.8	0.123454	10.8414	0.0126504	44.0383	0.0513866	8595	1697	738936	86881	826713	1288211	946419
877	116.066	0.132344	328.3	0.374344	174.231	0.198667	86.6	0.0987457	12.3516	0.0140839	16.2146	0.0184887	3278	12886	1736927	143167	1233300	2336891	2744093
607	0	0	187.266	0.308511	0	0	0	0	2.36379	0.00389422	4.98909	0.00821926	24737	6915	10399	5898	9020	6015731	6092
709	95.3674	0.13451	251.93	0.355332	6.46404	0.00911712	208.3	0.293794	7.31025	0.0103107	0	0	10908	432	300485	37014	678589	12342	1025967
545	211.476	0.388029	118.892	0.218151	0	0	67.9	0.124587	6.45666	0.0118471	19.8604	0.0364411	0	4647	459595	42341	1002911	2651745	3283356
673	0	0	0	0	0	0	0	0	0	0	0	0	401382	25853	1095846	21127	168081	1480467	1231236
853	105.738	0.12396	131.476	0.154134	174.449	0.204512	138.8	0.16272	3.23198	0.00378896	21.7313	0.0254763	5950	7647	330012	45208	1950051	2214398	1947088
490	0	0	0	0	0	0	241.1	0.765397	3.21009	0.0065512	14.3916	0.0293706	74174	28325	271780	3555	271553	1567243	542247
532	57.0065	0.107155	39.6308	0.074494	0	0	511.8	0.96203	5.7198	0.0107515	0	0	16845	3216	699328	147748	403550	1097940	1513797
