DSB_type	Size	Covered	Sum_324YFT	Mean0_324YFT	Mean_324YFT	Sum_533NLA	Mean0_533NLA	Mean_533NLA	Sum_965GIX	Mean0_965GIX	Mean_965GIX	Sum_CTCF	Mean0_CTCF	Mean_CTCF	Sum_709PEX	Mean0_709PEX	Mean_709PEX	Sum_529JFV	Mean0_529JFV	Mean_529JFV
DAuniqueA	865	865	0	0	0	0	0	0	0	0	0	0	0	0	5.90056	0.00682145	0.00682145	3.55299	0.0041075	0.0041075
DAuniqueA	457	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	450	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	1391	1391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	956	956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	299	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	1038	1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	488	488	0	0	0	0	0	0	0	0	0	0	0	0	6.71608	0.0137625	0.0137625	0	0	0
DAuniqueA	667	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	570	570	0	0	0	0	0	0	221.885	0.389272	0.389272	971.9	1.70509	1.70509	18.1334	0.031813	0.031813	18.7061	0.0328177	0.0328177
DAuniqueA	350	350	103.899	0.296854	0.296854	134.745	0.384985	0.384985	0	0	0	105.4	0.301143	0.301143	22.355	0.0638713	0.0638713	7.03303	0.0200944	0.0200944
DAuniqueA	338	338	121.765	0.360253	0.360253	105.517	0.31218	0.31218	0	0	0	4406.6	13.0373	13.0373	8.15524	0.0241279	0.0241279	12.213	0.036133	0.036133
DAuniqueA	809	809	29.0466	0.0359043	0.0359043	0	0	0	0	0	0	226	0.279357	0.279357	18.3733	0.0227111	0.0227111	11.2791	0.013942	0.013942
DAuniqueA	806	806	371.113	0.460438	0.460438	598.58	0.742656	0.742656	114.759	0.14238	0.14238	1434.5	1.77978	1.77978	0	0	0	11.9649	0.0148448	0.0148448
DAuniqueA	407	407	43.2146	0.106178	0.106178	125.828	0.309159	0.309159	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	322	322	557.007	1.72983	1.72983	55.206	0.171447	0.171447	78.3366	0.243281	0.243281	1178.9	3.66118	3.66118	106.594	0.331037	0.331037	75.8385	0.235523	0.235523
DAuniqueA	432	432	248.257	0.574669	0.574669	101.998	0.236106	0.236106	0	0	0	659.8	1.52731	1.52731	21.1077	0.0488604	0.0488604	13.2781	0.0307364	0.0307364
DAuniqueA	643	643	188.474	0.293117	0.293117	121.582	0.189085	0.189085	70.1384	0.10908	0.10908	166	0.258165	0.258165	3.07021	0.00477482	0.00477482	25.6297	0.0398595	0.0398595
DAuniqueA	1002	1002	419.387	0.41855	0.41855	0	0	0	123.881	0.123634	0.123634	215.8	0.215369	0.215369	8.82685	0.00880923	0.00880923	10.9143	0.0108925	0.0108925
DAuniqueA	570	570	218.349	0.383069	0.383069	384.078	0.673821	0.673821	201.868	0.354154	0.354154	273.7	0.480175	0.480175	2.20671	0.00387142	0.00387142	7.86473	0.0137978	0.0137978
DAuniqueA	997	997	59.7829	0.0599627	0.0599627	0	0	0	71.1892	0.0714034	0.0714034	268.2	0.269007	0.269007	13.2882	0.0133282	0.0133282	22.3247	0.0223919	0.0223919
DAuniqueA	565	565	0	0	0	44.5881	0.078917	0.078917	0	0	0	0	0	0	0.863496	0.00152831	0.00152831	0.131322	0.000232428	0.000232428
DAuniqueA	772	772	0	0	0	248.695	0.322144	0.322144	0	0	0	291.6	0.37772	0.37772	15.6389	0.0202576	0.0202576	11.2353	0.0145535	0.0145535
DAuniqueA	449	449	850.096	1.89331	1.89331	129.714	0.288895	0.288895	0	0	0	376.9	0.839421	0.839421	21.3955	0.0476515	0.0476515	21.0699	0.0469262	0.0469262
DAuniqueA	948	948	1187.15	1.25227	1.25227	255.649	0.269672	0.269672	50.5821	0.0533566	0.0533566	227.7	0.24019	0.24019	19.2368	0.020292	0.020292	19.5743	0.020648	0.020648
DAuniqueA	719	719	260.939	0.362919	0.362919	60.437	0.084057	0.084057	0	0	0	575	0.799722	0.976231	33.5804	0.0467043	0.0467043	100.396	0.139632	0.139632
DAuniqueA	634	634	0	0	0	3.96308	0.00625091	0.00625091	110.951	0.175002	0.175002	74.8	0.117981	0.152342	6.71608	0.0105932	0.0105932	2.04279	0.00322206	0.00322206
