DSB_type	Size	Covered	Sum_324YFT	Mean0_324YFT	Mean_324YFT	Sum_533NLA	Mean0_533NLA	Mean_533NLA	Sum_965GIX	Mean0_965GIX	Mean_965GIX	Sum_CTCF	Mean0_CTCF	Mean_CTCF	Sum_709PEX	Mean0_709PEX	Mean_709PEX	Sum_529JFV	Mean0_529JFV	Mean_529JFV
DNuniqueD	611	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNuniqueD	1179	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNuniqueD	807	807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNuniqueD	830	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNuniqueD	5893	5893	960.883	0.163055	0.163055	788.672	0.133832	0.133832	110.951	0.0188276	0.0188276	31087	5.27524	7.8881	236160	40.0747	40.0747	111925	18.9929	18.9929
DNuniqueD	3827	3827	1346.95	0.35196	0.35196	3868.02	1.01072	1.01072	176.938	0.0462341	0.0462341	7101.8	1.85571	2.15141	378.355	0.0988647	0.0988647	297.692	0.0777874	0.0777874
DNuniqueD	6005	6005	0	0	0	0	0	0	0	0	0	116.1	0.0193339	0.611053	0	0	0	6.71201	0.00111774	0.00111774
DNuniqueD	845	845	0	0	0	118.892	0.140701	0.140701	0	0	0	180.2	0.213254	0.270571	61.5961	0.0728948	0.0728948	20.7708	0.0245808	0.0245808
DNuniqueD	931	931	99.9566	0.107365	0.107365	0	0	0	0	0	0	724.6	0.778303	0.778303	0	0	0	3.356	0.00360473	0.00360473
DNuniqueD	2346	2346	16915.7	7.21045	7.21045	928.713	0.395871	0.395871	579.612	0.247064	0.247064	21925	9.34569	9.34569	315.464	0.134469	0.134469	318.835	0.135906	0.135906
DNuniqueD	762	762	9050.72	11.8776	11.8776	259.707	0.340823	0.340823	581.282	0.762838	0.762838	1063.2	1.39528	1.39528	98.5345	0.12931	0.12931	141.12	0.185197	0.185197
DNuniqueD	1008	1008	155.389	0.154156	0.154156	0	0	0	0	0	0	274.6	0.272421	0.272421	0	0	0	4.23878	0.00420514	0.00420514
DNuniqueD	675	675	932.814	1.38195	1.38195	1386.97	2.05476	2.05476	120.433	0.17842	0.17842	630.3	0.933778	0.933778	91.8664	0.136098	0.136098	69.8925	0.103544	0.103544
DNuniqueD	604	604	95.6743	0.158401	0.158401	217.611	0.360282	0.360282	0	0	0	0	0	0	0	0	0	12.1108	0.020051	0.020051
DNuniqueD	2501	2501	23755.3	9.49833	9.49833	1081.79	0.432542	0.432542	600.444	0.240082	0.240082	2062.2	0.82455	0.82455	209.206	0.0836489	0.0836489	183.785	0.0734847	0.0734847
DNuniqueD	983	983	4655.74	4.73626	4.73626	712.283	0.724602	0.724602	169.876	0.172814	0.172814	192.3	0.195626	0.195626	32.573	0.0331363	0.0331363	39.4039	0.0400854	0.0400854
DNuniqueD	802	802	31.6866	0.0395094	0.0395094	179.647	0.223998	0.223998	57.3812	0.0715477	0.0715477	57	0.0710723	0.0710723	17.126	0.0213541	0.0213541	10.0607	0.0125445	0.0125445
DNuniqueD	2892	2892	12501.4	4.32275	4.32275	998.016	0.345095	0.345095	2029.74	0.701847	0.701847	3587.2	1.24039	1.24039	1089.4	0.376693	0.376693	1154.16	0.399087	0.399087
DNuniqueD	903	903	5656.05	6.26362	6.26362	439.507	0.486719	0.486719	224.136	0.248212	0.248212	992.8	1.09945	1.09945	108.513	0.120169	0.120169	143.134	0.158509	0.158509
DNuniqueD	797	797	1506.96	1.8908	1.8908	140.623	0.17644	0.17644	39818.9	49.961	49.961	1398.6	1.75483	1.75483	479.864	0.602088	0.602088	757.932	0.950982	0.950982
DNuniqueD	1956	1956	6926.59	3.5412	3.5412	762.227	0.389687	0.389687	741.145	0.378909	0.378909	14100.2	7.20869	7.20869	183.061	0.0935896	0.0935896	140.836	0.0720018	0.0720018
DNuniqueD	575	575	5804.32	10.0945	10.0945	333.481	0.579968	0.579968	431.762	0.75089	0.75089	261.7	0.45513	0.45513	54.6881	0.0951097	0.0951097	52.1276	0.0906566	0.0906566
DNuniqueD	1084	1084	3045.66	2.80965	2.80965	187.325	0.172809	0.172809	0	0	0	541.4	0.499446	0.499446	72.6296	0.0670015	0.0670015	35.6175	0.0328574	0.0328574
DNuniqueD	1375	1375	1196.31	0.870045	0.870045	522.934	0.380316	0.380316	189.932	0.138133	0.138133	1707.1	1.24153	1.24153	111.583	0.0811512	0.0811512	181.83	0.13224	0.13224
DNuniqueD	1563	1563	3227.78	2.06512	2.06512	506.574	0.324104	0.324104	412.525	0.263932	0.263932	25273.8	16.1701	16.1701	269.219	0.172245	0.172245	410.206	0.262448	0.262448
DNuniqueD	797	797	1449.19	1.81831	1.81831	265.338	0.332921	0.332921	657.72	0.825245	0.825245	388.4	0.487327	0.487327	156.389	0.196222	0.196222	213.34	0.267679	0.267679
DNuniqueD	1423	1423	3581.03	2.51653	2.51653	219.983	0.154591	0.154591	100.999	0.070976	0.070976	2286.1	1.60654	1.64231	103.907	0.0730199	0.0730199	119.583	0.084036	0.084036
DNuniqueD	941	941	3463.85	3.68103	3.68103	278.324	0.295775	0.295775	73030.5	77.6094	77.6094	1547.3	1.64431	1.64431	276.271	0.293593	0.293593	489.576	0.520272	0.520272
DNuniqueD	986	986	4189.34	4.24882	4.24882	324.971	0.329585	0.329585	45741.2	46.3906	46.3906	1503.4	1.52475	1.52475	139.551	0.141532	0.141532	118.569	0.120253	0.120253
DNuniqueD	1068	1068	2390.02	2.23785	2.23785	250.422	0.234477	0.234477	55376	51.8502	51.8502	10141.3	9.4956	9.4956	334.749	0.313435	0.313435	622.977	0.583312	0.583312
DNuniqueD	539	539	28.6981	0.0532433	0.0532433	191.254	0.35483	0.35483	28.952	0.0537143	0.0537143	0	0	0	0	0	0	0	0	0
DNuniqueD	730	730	322.2	0.44137	0.44137	120.872	0.165578	0.165578	29.0768	0.0398313	0.0398313	242.7	0.332466	0.332466	0	0	0	8.71832	0.0119429	0.0119429
DNuniqueD	2945	2945	15022.4	5.10098	5.10098	664.03	0.225477	0.225477	1127.01	0.382687	0.382687	4412.1	1.49817	1.49817	431.316	0.146457	0.146457	783.671	0.266102	0.266102
DNuniqueD	1150	1150	6224.4	5.41253	5.41253	344.489	0.299556	0.299556	262.655	0.228395	0.228395	1039.4	0.903826	0.903826	52.2895	0.0454691	0.0454691	78.5743	0.0683255	0.0683255
DNuniqueD	569	569	0	0	0	40.8224	0.071744	0.071744	0	0	0	0	0	0	0	0	0	0	0	0
DNuniqueD	2863	2863	13602.9	4.75128	4.75128	817.705	0.285611	0.285611	420.028	0.146709	0.146709	3254.5	1.13674	1.13674	226.428	0.0790876	0.0790876	216.915	0.0757648	0.0757648
DNuniqueD	2616	2616	8803.71	3.36533	3.36533	1150.87	0.439935	0.439935	50966.7	19.4827	19.4827	24711.9	9.44644	9.44644	775.468	0.296433	0.296433	1373.29	0.524959	0.524959
DNuniqueD	2471	2471	15348.3	6.21139	6.21139	1517.69	0.614201	0.614201	54659.9	22.1206	22.1206	4181	1.69203	1.69203	178.024	0.0720454	0.0720454	128.834	0.0521385	0.0521385
DNuniqueD	1069	1069	105.738	0.0989129	0.0989129	182.307	0.17054	0.17054	0	0	0	662.4	0.619645	0.619645	0	0	0	9.04663	0.0084627	0.0084627
DNuniqueD	3696	3696	25836.8	6.99048	6.99048	1150.59	0.311307	0.311307	2048.74	0.554313	0.554313	2804.6	0.75882	0.75882	396.249	0.10721	0.10721	553.479	0.149751	0.149751
DNuniqueD	445	445	314.023	0.70567	0.70567	0	0	0	9.60746	0.0215898	0.0215898	0	0	0	21.7793	0.0489422	0.0489422	9.7397	0.021887	0.021887
DNuniqueD	1367	1367	3386.17	2.47708	2.47708	530.527	0.388096	0.388096	10.8283	0.00792123	0.00792123	261.1	0.191002	0.191002	47.1085	0.0344612	0.0344612	67.463	0.0493512	0.0493512
DNuniqueD	1280	1280	705.292	0.551009	0.551009	188.032	0.1469	0.1469	273.862	0.213954	0.213954	76.6	0.0598438	0.0598438	4.55734	0.00356042	0.00356042	25.0606	0.0195786	0.0195786
DNuniqueD	1274	1274	2890.77	2.26905	2.26905	80.6835	0.0633308	0.0633308	40.6368	0.031897	0.031897	635.4	0.498744	0.509543	65.9136	0.0517375	0.0517375	30.7148	0.0241089	0.0241089
DNuniqueD	1926	1926	9016.19	4.6813	4.6813	585.874	0.304192	0.304192	330.556	0.171628	0.171628	2147	1.11475	1.11475	194.095	0.100776	0.100776	261.477	0.135762	0.135762
DNuniqueD	2100	2100	10543.7	5.02079	5.02079	877.807	0.418003	0.418003	521.192	0.248187	0.248187	1829.3	0.871095	0.88159	88.0766	0.0419412	0.0419412	58.7155	0.0279598	0.0279598
DNuniqueD	1971	1971	246.699	0.125164	0.125164	118.892	0.0603209	0.0603209	19.1563	0.00971909	0.00971909	856.7	0.434652	0.572278	70.8067	0.0359242	0.0359242	38.0542	0.0193071	0.0193071
DNuniqueD	830	830	567.941	0.684266	0.684266	112.223	0.135208	0.135208	39599	47.7096	47.7096	2231.6	2.68867	2.68867	738.769	0.890083	0.890083	1433.6	1.72723	1.72723
DNuniqueD	2242	2242	11887.7	5.30226	5.30226	826.643	0.368708	0.368708	483.457	0.215637	0.215637	1679.5	0.749108	0.749108	170.301	0.0759593	0.0759593	310.635	0.138553	0.138553
DNuniqueD	562	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16731	0.00207706	0.00207706
DNuniqueD	1285	1285	0	0	0	91.0539	0.0708591	0.0708591	29.5546	0.0229997	0.0229997	223.2	0.173696	0.301215	0	0	0	4.99753	0.00388913	0.00388913
DNuniqueD	1036	1036	0	0	0	84.2154	0.081289	0.081289	0	0	0	51.3	0.0495174	0.0495174	15.8308	0.0152807	0.0152807	1.16731	0.00112674	0.00112674
DNuniqueD	515	515	176.536	0.342789	0.342789	9.9077	0.0192383	0.0192383	76.518	0.148579	0.148579	135.3	0.262718	0.262718	7.67552	0.0149039	0.0149039	9.94399	0.0193087	0.0193087
DNuniqueD	837	837	5654.12	6.75522	6.75522	291.076	0.347761	0.347761	286.493	0.342286	0.342286	397.9	0.475388	0.475388	14.3916	0.0171943	0.0171943	39.2215	0.0468596	0.0468596
DNuniqueD	1343	1343	6495.01	4.83619	4.83619	674.535	0.50226	0.50226	388.53	0.2893	0.2893	206.8	0.153984	0.153984	71.958	0.0535801	0.0535801	62.9106	0.0468433	0.0468433
DNuniqueD	653	653	134.193	0.205502	0.205502	322.463	0.493818	0.493818	5.31024	0.00813207	0.00813207	133.1	0.203828	0.203828	35.6912	0.0546572	0.0546572	8.79128	0.0134629	0.0134629
DNuniqueD	545	545	312.617	0.573609	0.573609	6.93539	0.0127255	0.0127255	0	0	0	0	0	0	2.59049	0.00475319	0.00475319	4.61815	0.00847367	0.00847367
DNuniqueD	658	658	62.9281	0.0956354	0.0956354	168.358	0.255863	0.255863	96.9576	0.147352	0.147352	368.6	0.560182	0.560182	45.5734	0.0692605	0.0692605	12.6945	0.0192925	0.0192925
DNuniqueD	978	978	266.471	0.272465	0.272465	755.669	0.772668	0.772668	336.599	0.344171	0.344171	1321.7	1.35143	1.7506	22.9306	0.0234464	0.0234464	18.2975	0.0187091	0.0187091
DNuniqueD	610	610	105.738	0.173341	0.173341	32.6954	0.053599	0.053599	15.3036	0.0250879	0.0250879	58.4	0.0957377	0.0957377	15.3511	0.0251657	0.0251657	6.63905	0.0108837	0.0108837
DNuniqueD	741	741	243.409	0.328487	0.328487	383.246	0.517201	0.517201	144.229	0.194641	0.194641	152.3	0.205533	0.205533	48.02	0.0648043	0.0648043	7.66045	0.010338	0.010338
DNuniqueD	698	698	164.583	0.235793	0.235793	114.242	0.163671	0.163671	49.6415	0.0711197	0.0711197	1125.4	1.61232	1.61232	14.3916	0.0206183	0.0206183	2.72858	0.00390914	0.00390914
DNuniqueD	1092	1092	274.551	0.25142	0.25142	229.863	0.210498	0.210498	0	0	0	93.7	0.0858059	0.0858059	37.2263	0.03409	0.03409	13.9785	0.0128008	0.0128008
DNuniqueD	833	833	105.738	0.126936	0.126936	475.107	0.570356	0.570356	110.951	0.133195	0.133195	410.1	0.492317	0.492317	13.4322	0.016125	0.016125	4.33362	0.00520243	0.00520243
DNuniqueD	1417	1417	211.476	0.149242	0.149242	162.402	0.11461	0.11461	247.95	0.174982	0.174982	86.7	0.0611856	0.0611856	0	0	0	8.49215	0.00599305	0.00599305
DNuniqueD	525	525	41.8095	0.0796371	0.0796371	35.1329	0.0669199	0.0669199	71.0551	0.135343	0.135343	0	0	0	7.67552	0.01462	0.01462	5.45715	0.0103946	0.0103946
DNuniqueD	882	882	200.017	0.226777	0.226777	0	0	0	0	0	0	637.3	0.722562	1.30327	6.71608	0.0076146	0.0076146	4.23149	0.0047976	0.0047976
DNuniqueD	637	637	198.146	0.311061	0.311061	388.3	0.609576	0.609576	76.037	0.119367	0.119367	298	0.467818	0.467818	18.7571	0.0294459	0.0294459	4.12934	0.00648249	0.00648249
DNuniqueD	567	567	422.954	0.74595	0.74595	97.0955	0.171244	0.171244	0	0	0	247	0.435626	0.435626	6.71608	0.0118449	0.0118449	2.6848	0.0047351	0.0047351
DNuniqueD	484	484	190.715	0.394039	0.394039	125.806	0.259929	0.259929	130.504	0.269636	0.269636	0	0	0	5.27692	0.0109027	0.0109027	2.48052	0.00512505	0.00512505
DNuniqueD	736	736	57.8019	0.0785352	0.0785352	156.48	0.212609	0.212609	0	0	0	47.2	0.0641304	0.0641304	7.33972	0.00997244	0.00997244	7.68233	0.010438	0.010438
DNuniqueD	1100	1100	161.143	0.146494	0.146494	230.735	0.209759	0.209759	259.422	0.235838	0.235838	154.4	0.140364	0.140364	28.1596	0.0255996	0.0255996	16.8822	0.0153474	0.0153474
DNuniqueD	595	595	0	0	0	48.4929	0.0815007	0.0815007	8.31222	0.0139701	0.0139701	74.2	0.124706	0.124706	5.46881	0.00919128	0.00919128	3.12984	0.00526024	0.00526024
DNuniqueD	767	767	106.178	0.138433	0.138433	70.2914	0.0916446	0.0916446	266.693	0.347709	0.347709	284	0.370274	0.370274	27.8238	0.0362761	0.0362761	3.17361	0.0041377	0.0041377
DNuniqueD	781	781	112.759	0.144377	0.144377	40.5861	0.0519668	0.0519668	162.25	0.207746	0.207746	0	0	0	7.67552	0.00982781	0.00982781	5.8803	0.0075292	0.0075292
DNuniqueD	1202	1202	279.778	0.232761	0.232761	75.76	0.0630283	0.0630283	74.9876	0.0623857	0.0623857	94.6	0.0787022	0.0787022	14.3916	0.011973	0.011973	7.44158	0.006191	0.006191
DNuniqueD	519	519	0	0	0	37.6193	0.0724842	0.0724842	86.7981	0.167241	0.167241	0	0	0	45.4295	0.0875327	0.0875327	1.30592	0.00251623	0.00251623
DNuniqueD	613	613	185.143	0.302027	0.302027	352.461	0.574977	0.574977	0	0	0	229.8	0.374878	0.374878	35.4993	0.0579107	0.0579107	12.2348	0.019959	0.019959
DNuniqueD	793	793	164.906	0.207952	0.207952	444.044	0.559954	0.559954	27.5465	0.034737	0.034737	127.1	0.160277	0.160277	7.67552	0.00967909	0.00967909	7.80636	0.00984408	0.00984408
DNuniqueD	775	775	345.56	0.445884	0.445884	203.655	0.262781	0.262781	0	0	0	231.7	0.298968	0.298968	6.71608	0.00866591	0.00866591	4.96105	0.00640135	0.00640135
DNuniqueD	721	721	208.49	0.289168	0.289168	0	0	0	0.69264	0.000960666	0.000960666	410.2	0.568932	0.568932	16.5983	0.0230212	0.0230212	26.1185	0.0362254	0.0362254
DNuniqueD	2037	2037	5878.43	2.88583	2.88583	574.847	0.282203	0.282203	387.717	0.190337	0.190337	1595.9	0.783456	0.783456	63.3231	0.0310864	0.0310864	36.2959	0.0178183	0.0178183
DNuniqueD	2159	2159	9343.57	4.32773	4.32773	789.877	0.365853	0.365853	766.242	0.354906	0.354906	836.5	0.387448	0.387448	199.18	0.0922556	0.0922556	175.891	0.0814689	0.0814689
DNuniqueD	900	900	243.98	0.271088	0.271088	68.5515	0.0761683	0.0761683	0	0	0	458	0.508889	0.508889	30.846	0.0342733	0.0342733	12.0743	0.0134159	0.0134159
DNuniqueD	1000	1000	215.725	0.215725	0.215725	0	0	0	0	0	0	60.5	0.0605	0.0605	19.2368	0.0192368	0.0192368	5.13615	0.00513615	0.00513615
DNuniqueD	575	575	59.7649	0.103939	0.103939	221.915	0.385939	0.385939	25.3984	0.0441712	0.0441712	0	0	0	13.4322	0.0233603	0.0233603	5.61766	0.00976984	0.00976984
DNuniqueD	707	707	0	0	0	0	0	0	0	0	0	482.5	0.682461	0.682461	7.67552	0.0108565	0.0108565	12.658	0.0179038	0.0179038
DNuniqueD	884	884	0	0	0	0	0	0	0	0	0	502.9	0.568891	1.08618	0	0	0	11.3812	0.0128747	0.0128747
DNuniqueD	1095	1095	0	0	0	0	0	0	0	0	0	241.6	0.220639	0.752648	7.67552	0.00700961	0.00700961	6.36182	0.00580988	0.00580988
DNuniqueD	1519	1519	0	0	0	0	0	0	0	0	0	0	0	0	2.15874	0.00142116	0.00142116	0	0	0
DNuniqueD	939	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817113	0.000870195	0.000870195
DNuniqueD	2069	2069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNuniqueD	1642	1642	0	0	0	0	0	0	0	0	0	3	0.00182704	1.5	0	0	0	0.65661	0.000399884	0.000399884
DNuniqueD	851	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNuniqueD	957	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313714	0.00032781	0.00032781
DNuniqueD	1801	1801	0	0	0	0	0	0	0	0	0	0	0	0	6.71608	0.00372908	0.00372908	2.1887	0.00121527	0.00121527
DNuniqueD	1193	1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNuniqueD	1034	1034	0	0	0	61.8593	0.0598252	0.0598252	161.522	0.15621	0.15621	17560.9	16.9835	28.3698	292.534	0.282914	0.282914	26.5563	0.025683	0.025683
DNuniqueD	1475	1475	703.445	0.476912	0.476912	747.719	0.506928	0.506928	641.37	0.434827	0.434827	3.46E+06	2343.13	2421.95	144457	97.9368	97.9368	119910	81.2949	81.2949
DNuniqueD	601	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNuniqueD	622	622	422.954	0.67999	0.67999	0	0	0	0	0	0	0	0	0	23.0266	0.0370202	0.0370202	4.3774	0.00703762	0.00703762
DNuniqueD	521	521	211.477	0.405906	0.405906	16.842	0.0323263	0.0323263	0	0	0	686.3	1.31727	1.43577	3.11818	0.00598499	0.00598499	8.64537	0.0165938	0.0165938
DNuniqueD	536	536	0	0	0	0	0	0	0	0	0	71.4	0.133209	0.415116	6.71608	0.01253	0.01253	2.1814	0.00406978	0.00406978
DNuniqueD	2561	2561	1171.9	0.457593	0.457593	315.561	0.123218	0.123218	465.7	0.181843	0.181843	20178.3	7.87907	7.87907	99.0143	0.0386623	0.0386623	100.016	0.0390536	0.0390536
DNuniqueD	1924	1924	8740.19	4.54272	4.54272	698.328	0.362956	0.362956	328.844	0.170917	0.170917	511.7	0.265956	0.265956	68.3122	0.0355053	0.0355053	49.7273	0.0258458	0.0258458
DNuniqueD	1377	1377	6736.45	4.89212	4.89212	400.073	0.290539	0.290539	337.835	0.245341	0.245341	724.5	0.526144	0.526144	187.762	0.136356	0.136356	296	0.21496	0.21496
DNuniqueD	3849	3849	26644.4	6.92243	6.92243	1485.48	0.38594	0.38594	1021.1	0.265289	0.265289	4768.3	1.23884	1.23884	593.893	0.154298	0.154298	756.612	0.196574	0.196574
DNuniqueD	674	674	5081.78	7.53973	7.53973	260.136	0.385959	0.385959	1706.49	2.53188	2.53188	126.3	0.187389	0.187389	34.6358	0.0513884	0.0513884	45.7001	0.0678043	0.0678043
DNuniqueD	3806	3806	17647.4	4.63674	4.63674	1448.41	0.380558	0.380558	489.888	0.128715	0.128715	2137.2	0.561534	0.561534	200.811	0.0527617	0.0527617	158.447	0.0416309	0.0416309
DNuniqueD	1188	1188	7656.08	6.44451	6.44451	110.949	0.0933912	0.0933912	319.751	0.269151	0.269151	1629.2	1.37138	1.37138	62.6515	0.0527369	0.0527369	89.9337	0.0757018	0.0757018
DNuniqueD	756	756	2879.3	3.8086	3.8086	463.084	0.612545	0.612545	6650.11	8.79644	8.79644	259.5	0.343254	0.343254	92.9698	0.122976	0.122976	101.702	0.134526	0.134526
DNuniqueD	1434	1434	4221	2.94351	2.94351	316.893	0.220985	0.220985	80054.1	55.8258	55.8258	742.5	0.517782	0.517782	747.884	0.521537	0.521537	1310.53	0.913897	0.913897
DNuniqueD	4801	4801	18045.1	3.75861	3.75861	1554.29	0.323743	0.323743	711.011	0.148096	0.148096	3257.5	0.678504	0.678504	491.809	0.102439	0.102439	650.401	0.135472	0.135472
DNuniqueD	700	700	3327.58	4.75368	4.75368	303.964	0.434234	0.434234	66.0987	0.0944267	0.0944267	1841.4	2.63057	2.63057	72.8215	0.104031	0.104031	76.6556	0.109508	0.109508
DNuniqueD	519	519	773.301	1.48998	1.48998	0.49483	0.00095343	0.00095343	203.309	0.391732	0.391732	0	0	0	65.3379	0.125892	0.125892	48.611	0.0936629	0.0936629
DNuniqueD	691	691	65.611	0.0949507	0.0949507	0	0	0	0	0	0	259.1	0.374964	0.374964	11.0815	0.0160369	0.0160369	6.36912	0.00921725	0.00921725
DNuniqueD	704	704	0	0	0	714.384	1.01475	1.01475	0	0	0	319.9	0.454403	0.454403	2.3986	0.0034071	0.0034071	1.45913	0.00207263	0.00207263
DNuniqueD	5921	5921	30036.1	5.07281	5.07281	2504.94	0.42306	0.42306	1365.5	0.23062	0.23062	4911.3	0.829471	0.829471	274.4	0.0463435	0.0463435	208.423	0.0352006	0.0352006
DNuniqueD	775	775	105.738	0.136436	0.136436	231.744	0.299024	0.299024	0	0	0	359.6	0.464	0.464	28.7832	0.0371396	0.0371396	16.3058	0.0210398	0.0210398
DNuniqueD	1436	1436	105.738	0.0736336	0.0736336	118.892	0.0827941	0.0827941	0	0	0	164.5	0.114554	0.117668	7.67552	0.00534507	0.00534507	7.36862	0.00513135	0.00513135
DNuniqueD	1270	1270	182.235	0.143492	0.143492	545.868	0.429817	0.429817	55.8581	0.0439828	0.0439828	407.3	0.320709	0.418602	5.27692	0.00415506	0.00415506	11.1624	0.00878927	0.00878927
DNuniqueD	465	465	90.8076	0.195285	0.195285	508.636	1.09384	1.09384	137.286	0.295239	0.295239	123.1	0.264731	0.264731	14.3916	0.0309497	0.0309497	9.92211	0.0213379	0.0213379
DNuniqueD	1263	1263	207.021	0.163912	0.163912	230.314	0.182354	0.182354	77.064	0.0610166	0.0610166	209.5	0.165875	0.165875	16.7422	0.0132559	0.0132559	11.1259	0.00880909	0.00880909
DNuniqueD	927	927	211.476	0.228129	0.228129	68.3631	0.0737466	0.0737466	0	0	0	0	0	0	87.0212	0.093874	0.093874	16.1015	0.0173695	0.0173695
DNuniqueD	1095	1095	1047.76	0.956859	0.956859	159.857	0.145988	0.145988	33.4204	0.0305209	0.0305209	428.9	0.391689	0.391689	65.2419	0.0595817	0.0595817	15.4814	0.0141383	0.0141383
