DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	DistancetoOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	865	0	0	0	0	3.55299	5.90056	643102	24387	647209	55398	646413	754710	813687
1	457	0	0	0	0	0	0	590440	27524	594547	108468	593751	702048	761025
1	450	0	0	0	0	0	0	586497	31474	590604	112181	589808	698105	757082
1	1391	0	0	0	0	0	0	443909	173121	448016	28868	447220	555517	614494
1	540	0	0	0	0	0	0	369794	248087	373901	103834	373105	481402	540379
1	956	0	0	0	0	0	0	365213	252252	369320	107999	368524	476821	535798
1	299	0	0	0	0	0	0	267081	271252	271188	97766	270392	378689	437666
1	1038	0	0	0	0	0	0	84812	88983	88919	77266	88123	196420	255397
1	488	0	0	0	0	0	6.71608	63987	68158	68094	67276	67298	175595	234572
1	667	0	0	0	0	0	0	62357	66528	66464	65646	65668	173965	232942
1	570	0	0	221.885	971.9	18.7061	18.1334	0	4315	11169	11149	22385	4474	63451
1	350	103.899	134.745	0	105.4	7.03303	22.355	2774	1246	246357	45818	515958	807465	525940
1	338	121.765	105.517	0	4406.6	12.213	8.15524	0	7657	275253	40963	544854	836361	554836
1	809	29.0466	0	0	226	11.2791	18.3733	0	777	433928	266924	914997	356566	787155
1	806	371.113	598.58	114.759	1434.5	11.9649	0	0	1753	122348	9161	603417	44986	475575
1	407	43.2146	125.828	0	0	0	0	13132	7513	10345	10345	491414	1152	363572
1	322	557.007	55.206	78.3366	1178.9	75.8385	106.594	0	2345	5942	5942	4145	15550	0
1	432	248.257	101.998	0	659.8	13.2781	21.1077	0	0	14618	8422	26764	201658	45136
1	643	188.474	121.582	70.1384	166	25.6297	3.07021	5750	2122	747	307	40424	187787	58796
1	1002	419.387	0	123.881	215.8	10.9143	8.82685	4543	6457	15920	13733	14866	81730	12292
