DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	571	0	187.26	0	111	10.7684	14.3916	0	7613	41086	21189	40034	113591	43479
1	693	78.1541	0	0	41.6	12.1327	34.7797	10614	11308	11373	11373	11120	76043	10340
1	831	229.516	0	68.6326	41	2.25436	7.67552	0	3301	17514	17679	16697	779256	105
1	412	259.288	118.892	0	0	3.90318	0.71958	2390	11426	333274	62686	405037	139902	557631
1	844	58.2813	0	0	70.1	1.88228	15.3511	33061	8548	59855	22113	537112	1100697	2034866
1	851	105.738	118.892	1.53036	108.7	8.01064	14.3916	52161	1780	12438	8758	30963	455231	596910
1	411	0	119.883	0	500.3	3.45085	4.89314	16653	8469	12772	12812	12226	581430	14089
1	650	317.215	91.1594	0	161.6	8.75479	59.0056	91502	1343	22841	22861	337956	370992	310504
1	692	138.045	118.892	0	285.7	3.51651	7.72349	11304	8948	562214	194865	1027510	640084	1064400
1	704	681.316	135.69	76.0612	558.1	1.54668	6.71608	11648	21869	117659	116553	116049	414398	48357
1	468	0	0	0	98.4	2.15952	3.2621	24176	15284	961833	109317	961606	2257296	1232300
1	601	0	0	0	0	0	0	207483	167261	778393	10858	778166	2073856	1048860
1	495	1.83892	0	0	130.1	9.40411	6.42825	63080	17231	260686	14644	260459	1556149	531153
1	718	95.2814	219.722	236.955	2667	42.9569	35.2115	1587	43250	199193	75914	198966	1494656	469660
1	403	17.3275	248.333	0	0	4.87351	28.7832	0	1560	50925	1687	89164	30080	184792
1	957	0	0	0	0	1.02139	0	15916	369501	119566	71098	119270	125306	1218958
1	318	0	0	0	0	0	0	0	254545	135893	61833	234865	240901	1104002
1	345	0	0	0	0	0	0	0	244436	125784	51724	244947	250983	1093893
1	734	0	0	0	368.1	5.54471	20.1483	0	23356	94414	94414	192535	471674	872813
1	412	71.4144	0	18.0006	0	3.88129	12.1849	0	1765	7099	1806	976	212762	3553
1	442	0	70.308	0	247.8	5.52282	1.39119	26494	2490	2855	2868	8100	146579	83816
1	1372	247.434	163.406	37.405	68.5	16.2329	0.23986	9329	5329	62202	8526	62509	338909	27286
1	490	0	25.7312	0	267.9	2.15952	0	0	6738	162054	12428	227647	44482	1252304
1	428	0	0	0	0	1.02139	0	691	19435	618124	29803	2547468	2813698	2878466
1	1185	165.503	341.823	0	0	12.5923	13.72	0	4387	636502	41043	1208434	2074152	1249385
1	433	105.738	130.782	59.684	140.4	5.34772	3.07021	1706	4933	107447	4008	96030	102267	113688
1	930	105.738	143.662	0	0	11.9649	14.2957	11058	3654	138409	23729	190480	684259	409402
1	758	0	196.827	58.4211	176	7.20082	7.67552	0	451	2546	2530	144577	18361	306284
1	514	105.738	165.802	6.46464	0	7.00383	12.4727	3207	8054	46712	24763	382942	125290	278360
1	658	105.738	118.892	0	31.8	4.77136	21.1077	0	13976	246019	63815	588051	330288	601314
1	764	0	118.892	43.6153	109.2	2.04279	14.3916	0	5777	41185	41165	40787	354587	1522244
1	1205	168.813	889.65	208.308	264.2	10.71	14.5355	25627	95	7599	7406	92647	37479	87630
1	531	44.9982	56.767	0	80.9	4.62545	0	59802	2277	53104	3197	3043	12261	204433
1	461	105.738	0	0	0	6.62447	3.69384	7206	8541	50297	214	47785	1107224	32530
1	886	58.8454	0	84.5562	0	5.70521	44.3261	779	7446	37071	119205	706987	447597	691732
1	310	51.4898	144.652	0	0	5.10696	0	3219	3056	5450	4352	117969	99653	353173
1	437	105.738	368.591	142.323	179.2	2.75046	0	18920	73	48392	48372	74458	252735	86160
1	604	0	0	62.7448	103	5.97515	6.71608	26111	24770	203826	18966	18887	715051	243296
1	809	0	184.284	48.9715	0	9.6011	0.383776	49865	1197	27313	20093	26664	230027	34365
1	934	222.949	51.52	71.9605	8	4.23148	15.351	6414	12075	145167	130671	143836	310138	143255
1	585	0	0	0	0	6.28156	15.3511	9932	17550	1336922	24970	1335327	1951671	1333584
1	845	98.3822	118.892	0	0	6.47855	10.7937	44162	9773	818022	57202	816427	2470311	814684
1	290	0	0	0	0	0	3.21412	6102	7612	9414	9454	48398	1063514	156202
1	585	162.744	370.574	110.951	119.1	10.5787	0	45584	20266	84803	51003	175560	606764	294463
1	974	118.313	666.775	69.9909	123.1	9.71053	36.027	0	8386	108158	22397	228048	150	267523
1	1299	66.9303	0	97.0838	361.3	4.37011	15.351	29000	0	10681	9941	10080	1872611	187282
1	440	0	5.44313	0	174.7	3.85211	0	3225	9333	1256940	64469	1497985	1885907	1960843
1	436	84.5903	438.939	0	131.7	6.56609	37.3222	1418	7324	11107	11106	895707	739062	990347
1	951	160.905	0	0	200.9	5.18721	1.00741	0	9114	262218	16558	1467587	1879328	1640990
1	465	0	80.2524	0	0	7.87202	7.96335	13564	1167	553093	97393	1177198	1588939	1350601
1	765	63.4427	0	0	470.8	1.05787	0	9564	3316	866536	179235	863455	1275196	1036858
1	625	104.779	235.907	0	170.2	4.3774	9.30658	0	398	45413	28595	89120	605461	53750
1	715	91.1455	82.1552	6.23376	2510.2	11.9576	31.4217	0	221	30198	258	40777	5092	122809
1	495	0	74.3077	0	194.6	0.48881	0.383776	0	8279	11242	11244	16726	229587	10567
1	356	0	289.318	208.894	33.6	1.16731	14.9673	4702	25525	40425	40465	757439	535953	1870194
1	685	0	0	0	396.8	5.26747	26.1927	7199	5492	33452	8787	115260	105423	1228015
1	785	0	96.8428	75.2752	115.6	8.53593	8.15524	21199	1274	129366	30281	373884	284170	834313
1	479	189.409	117.902	245.602	0	7.45617	47.4923	18188	6490	203080	64428	250592	648659	774944
1	1438	105.738	118.892	0	0	9.94399	28.4474	0	5728	3681	3636	218069	104508	309386
1	620	63.4427	107.003	0	119.2	9.30926	6.71608	0	49262	464221	106179	1154663	900842	1693680
1	477	43.6631	126.807	66.0309	129.8	3.46544	0	7408	389	406794	163749	1097236	843415	1751250
1	560	105.738	0	0	0	7.14975	0	1983	3089	231459	43937	458275	204454	2390128
1	599	0	237.797	0	69.5	1.86769	9.30658	8733	1832	148254	23154	508693	107331	918752
1	951	0	504.671	0	368.7	12.8768	21.1077	27855	2081	104450	2214	260966	31266	230869
1	672	83.7197	128.086	174.231	31.1	8.03983	11.1295	1946	2596	25095	11905	55139	135061	897458
