Chr	Start	End	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	10000	10753	869781	810804	702507	703303	0	80481	699196
chr1	724131	727105	153429	94452	8616	9507	9487	9443	0
chr1	4159650	4160720	351409	632934	341427	71826	52466	1075	0
chr1	19853590	19854161	43479	113591	40034	41086	21189	7613	0
chr1	21506084	21506891	13070	323816	2097	2520	1780	225	0
chr1	25328198	25329357	39759	51000	19737	19619	254	1504	0
chr1	26814730	26815423	10340	76043	11120	11373	11373	11308	10614
chr1	28118143	28118974	105	779256	16697	17514	17679	3301	0
chr1	30196080	30196824	651529	8614	609463	16014	10996	1637	7177
chr1	30243133	30244876	698582	2307	656516	63067	21320	2786	0
chr1	31589948	31591068	57578	119969	36360	36768	36748	8642	0
chr1	31904598	31905057	63451	17497	7714	8014	8014	2270	9249
chr1	37009493	37010951	81191	9432	78843	8545	8565	662	11795
chr1	45282007	45282763	9205	204188	1902	2383	2113	23	11665
chr1	49635726	49636483	1268904	386481	697233	671573	76636	2603	9892
chr1	53262364	53263500	11540	162785	44376	44876	44856	4256	11234
chr1	56127697	56133583	491458	73729	445505	384233	0	17945	0
chr1	56193870	56194282	557631	139902	405037	333274	62686	11426	2390
chr1	57830523	57831139	1114627	445023	590473	57226	2080	6357	6595
chr1	59194437	59197275	40819	510399	28375	1993	1993	0	9228
chr1	63887567	63888272	15597	102507	53367	54243	18983	3982	5061
chr1	67201638	67202677	203798	13109	15479	86671	2399	308	28578
chr1	71112029	71114397	212591	37816	233136	136045	27159	3266	0
chr1	71267075	71267577	258432	114726	277028	108229	55851	5196	6544
chr1	72393689	72394304	856036	348461	248961	354252	221888	5455	0
chr1	75745495	75746442	452957	132221	93955	58494	13791	1151	32322
chr1	76350605	76352667	87510	242358	93804	21829	21809	12487	15700
chr1	77833090	77834137	192397	37344	45433	91519	2619	1649	0
chr1	77909744	77910629	115905	29445	29497	15027	14731	1464	1550
chr1	80036762	80038424	906149	873976	517718	51398	51438	14505	14620
chr1	81165479	81166323	2034866	1100697	537112	59855	22113	8548	33061
chr1	82464267	82464803	2490777	197129	692217	316577	153858	9	12933
chr1	84357819	84358670	596910	455231	30963	12438	8758	1780	52161
chr1	89370116	89370527	14089	581430	12226	12772	12812	8469	16653
chr1	90800225	90800875	310504	370992	337956	22841	22861	1343	91502
chr1	90843804	90845009	354083	326858	343872	19940	19620	10234	47368
chr1	91544343	91544791	87960	124168	56003	56579	15119	14084	11805
chr1	91634131	91635208	177748	33751	113273	3076	3047	1075	7689
chr1	91742623	91743875	231516	73504	4606	111568	521	513	3479
chr1	91924512	91926454	48937	11748	39448	39902	17882	7636	26421
chr1	96730665	96731633	467325	1577828	455045	455583	16029	25768	4377
chr1	102017379	102019906	150225	1012831	113335	13297	13270	841	0
chr1	102558701	102559699	691547	1012631	654657	525350	96057	8701	46456
chr1	102636207	102637175	769053	935155	732163	602856	173563	2729	25904
chr1	102931554	102932246	1064400	640084	1027510	562214	194865	8948	11304
chr1	103638296	103639083	433301	65786	421211	143688	10072	13768	126804
chr1	103647394	103648887	423497	74884	411407	152786	19170	22866	134816
chr1	105412206	105413358	1317348	1839696	1341765	109302	3458	7819	29623
chr1	106973491	106974177	2264461	708091	585001	64975	63682	2865	10166
chr1	108565520	108566637	672001	22829	57002	6180	6136	24246	18406
chr1	109065493	109066929	171709	165951	34791	27267	9527	3172	1351
chr1	109313727	109315320	884	414185	23290	24403	23563	3239	1429
chr1	112646352	112647900	337235	34418	113192	14602	14376	2422	17625
chr1	113958501	113959366	273088	566163	23566	25457	7189	5473	58727
chr1	114183393	114184097	48357	414398	116049	117659	116553	21869	11648
chr1	118861389	118862247	355596	207014	386891	70321	15909	6364	11734
chr1	121351688	121360457	858262	986829	212919	150944	90184	90092	294151
chr1	142535455	142543013	1470946	2495942	1200252	1200479	60968	0	149414
chr1	142781191	142781659	1232300	2257296	961606	961833	109317	15284	24176
chr1	142783248	142784545	1229414	2254410	958720	958947	106431	12398	26233
chr1	142964498	142965099	1048860	2073856	778166	778393	10858	167261	207483
chr1	142966569	142967768	1046191	2071187	775497	775724	12929	169332	209554
chr1	143482311	143482806	531153	1556149	260459	260686	14644	17231	63080
chr1	143543581	143544299	469660	1494656	198966	199193	75914	43250	1587
chr1	147311121	147311524	184792	30080	89164	50925	1687	1560	0
chr1	148206039	148206666	1079710	344251	29427	29575	29555	34776	8953
chr1	148676350	148677307	1218958	125306	119270	119566	71098	369501	15916
chr1	148791945	148792263	1104002	240901	234865	135893	61833	254545	0
chr1	148802027	148802372	1093893	250983	244947	125784	51724	244436	0
chr1	149022718	149023452	872813	471674	192535	94414	94414	23356	0
chr1	149210040	149210481	685784	658996	5506	5001	4995	5500	0
chr1	150715839	150717316	77	395545	18351	20920	18840	8204	9873
chr1	153229055	153229529	379400	49294	3671	133478	3727	1016	0
chr1	153952050	153952462	3553	212762	976	7099	1806	1765	0
chr1	155779089	155780058	2081	271206	46154	46918	46918	3426	0
chr1	160953922	160954779	12076	275471	28056	28837	5417	571	4372
chr1	161400892	161401334	83816	146579	8100	2855	2868	2490	26494
chr1	162696638	162698010	27286	338909	62509	62202	8526	5329	9329
chr1	163028922	163029671	240907	339141	236177	107091	11965	9334	0
chr1	165498441	165499264	130943	30786	67549	68172	2179	3248	5981
chr1	165551594	165552891	77316	11971	13922	14545	9365	720	12862
chr1	165789292	165790030	44923	249669	6184	6666	6686	1395	8529
chr1	166432535	166433571	376544	74017	24900	25785	25285	495	12853
chr1	168318130	168318901	83643	211224	196	5906	306	4983	33143
chr1	169323774	169324763	20959	731158	11643	12233	5788	5273	15090
chr1	172593400	172594262	13535	132594	14062	13886	2634	1782	5435
chr1	176101434	176102520	13209	329171	71576	9490	9550	603	6696
chr1	177117981	177119044	1002133	15017	21108	31852	20872	2840	29104
chr1	177368152	177368642	1252304	44482	227647	162054	12428	6738	0
chr1	182415761	182416419	58372	131747	53919	19397	212	347	0
chr1	189531019	189532120	2622178	3069313	2291180	552095	21056	5162	0
chr1	189787307	189787735	2878466	2813698	2547468	618124	29803	19435	691
chr1	193130463	193131599	3590	528912	36857	20495	20519	3347	14809
chr1	194272495	194273212	1040274	1670944	151934	13432	13411	3491	19326
chr1	194450103	194451359	1217882	1848552	329542	2739	2739	11190	0
chr1	195801362	195802547	1249385	2074152	1208434	636502	41043	4387	0
chr1	197962153	197963372	218010	70233	63768	7897	7904	3275	77075
chr1	202173609	202174629	46155	10996	43079	30980	11385	372	45520
chr1	206696484	206698169	21608	378679	14703	15620	6690	347	4127
chr1	207386936	207387369	113688	102267	96030	107447	4008	4933	1706
chr1	207688279	207688683	7288	379598	16488	18343	15195	7196	0
chr1	215007239	215007828	167078	228867	229000	167308	68525	10383	35586
chr1	215382492	215383551	410228	127140	356475	207208	126701	1060	6153
chr1	216203313	216204243	409402	684259	190480	138409	23729	3654	11058
chr1	220133426	220134582	11306	31034	27012	27254	13942	20754	18512
chr1	222311334	222312557	398430	76501	265716	41579	27979	3887	4718
chr1	223551735	223552237	352787	15008	14210	13911	13311	5276	36320
chr1	224199417	224204305	115765	29171	18441	6877	6853	0	0
chr1	230410727	230411810	183	17487	56497	62023	4282	4342	8694
chr1	231257544	231258072	102150	13766	40129	89184	29660	2724	0
chr1	233730003	233730723	304377	275061	4624	3978	2713	6875	4608
chr1	234204374	234205132	306284	18361	144577	2546	2530	451	0
chr1	234243651	234244635	266781	19909	105074	41823	5808	134	1642
chr1	235131184	235132131	139379	216515	14636	14300	6656	897	0
chr1	236201804	236202777	2913	101228	24117	38840	18919	13158	0
chr1	237343697	237344211	278360	125290	382942	46712	24763	8054	3207
chr1	238804568	238805660	1739231	1586161	578346	420431	67071	11444	0
chr1	242556508	242558601	513904	127782	59324	62085	74697	1074	0
chr1	243202564	243203248	233524	515197	61156	61720	61688	15192	0
chr1	245824695	245825729	9926	123199	12294	11647	11687	6513	20019
chr1	249239198	249240668	20830	3537702	37603	38434	0	18762	2091899
chr10	2307125	2307992	538256	267230	524993	182961	126664	3061	6040
chr10	2370183	2370841	601314	330288	588051	246019	63815	13976	0
chr10	2396019	2396679	627150	356124	613887	271855	37977	10908	114
chr10	2625448	2626724	488565	302159	482456	207561	116272	7484	0
chr10	4537966	4538589	713656	19159	373967	126894	18072	5360	1460
chr10	6876785	6879840	324445	19137	88341	64565	5617	307	93610
chr10	7686159	7686914	105434	15393	141714	42462	21810	2788	13635
chr10	7779300	7780430	11918	71966	48198	49586	14216	4363	5719
chr10	8310236	8312227	194039	118921	61888	45389	8029	7364	8637
chr10	8404404	8405319	288207	25829	29566	1780	1800	1316	0
chr10	9429761	9430916	1313564	87559	224873	85391	17773	12572	58353
chr10	9696789	9697553	1522244	354587	40787	41185	41165	5777	0
chr10	12735691	12736809	26534	305989	57982	16387	12827	2537	1959
chr10	13156559	13157721	144	113522	12218	14435	13935	8575	3041
chr10	15736104	15736835	83077	21062	163713	49490	4429	4816	12765
chr10	17366383	17367588	87630	37479	92647	7599	7406	95	25627
chr10	17499841	17500372	204433	12261	3043	53104	3197	2277	59802
