Chr	Start	End	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	4493321	4494005	685080	966605	675098	151408	88795	6087	9485
chr1	4622956	4624253	814715	868441	804733	21160	21143	7005	0
chr1	5955997	5960885	22453	234654	90240	91651	50311	0	4210
chr1	11922845	11924281	15445	2935	43785	3261	3241	1353	268
chr1	13262538	13263294	695287	445591	583065	456551	456474	75567	345290
chr1	13713359	13714348	320876	113039	311445	279868	106248	81499	8694
chr1	14188725	14189944	57885	25077	107264	110502	33141	8810	15638
chr1	17921978	17922840	159963	7947	155148	10571	10576	5392	0
chr1	17939961	17941184	177946	5790	173131	6402	6397	57	15707
chr1	18871566	18872068	328481	2033	261174	35968	13048	0	0
chr1	21250609	21251367	17198	192984	97243	7553	7649	1755	20776
chr1	21541970	21542719	1644	287988	37983	38406	837	733	4367
chr1	26032438	26034806	118027	4343	88020	3352	3330	5049	0
chr1	27152337	27153041	5737	134213	0	7070	15	0	0
chr1	27823565	27824039	37408	484678	4579	6761	4461	4753	0
chr1	29721763	29722948	177212	31829	135146	158595	67219	323	2989
chr1	30733718	30734254	460563	7856	338980	69174	22245	1694	13352
chr1	37955283	37956148	42	84552	9209	2045	2059	1992	0
chr1	41292604	41293016	50299	450431	8102	8020	8080	1975	24927
chr1	41795519	41796290	171513	31756	30068	30466	23266	683	6630
chr1	42660068	42660785	411	46383	138073	15733	20784	6454	6839
chr1	44453937	44454905	3325	116988	1885	2271	1969	1575	14411
chr1	46673818	46682587	12212	191162	4523	4772	4774	0	0
chr1	47008736	47009988	14988	0	52987	9992	3666	76	24474
chr1	47817748	47818441	1705	92395	16484	17704	464	12311	4390
chr1	60387177	60388240	54887	157278	105830	41699	4156	5569	1017
chr1	61244143	61246670	899777	224919	269036	118304	18919	12166	0
chr1	63046129	63047102	60164	292988	95291	106954	31734	166	2017
chr1	66679757	66680956	140565	37756	32082	28729	0	670	1397
chr1	66891094	66892253	55924	168450	18069	9877	9883	7651	8983
chr1	70267497	70268753	346242	883460	401239	63892	63913	0	0
chr1	70973678	70974267	74240	177946	94785	1569	1540	1559	6399
chr1	71762728	71763196	225075	248881	214887	215844	139858	8169	18645
chr1	72690403	72691555	1152750	51210	57375	57001	56461	1033	0
chr1	72784580	72785333	1246927	36436	35203	35876	33915	26560	887
chr1	73049366	73050323	1511713	301222	299989	300662	2462	3700	0
chr1	74506681	74507373	669500	433883	155480	42357	42357	365	0
chr1	75973269	75973710	225689	359995	106820	168185	19811	5009	6851
chr1	79153782	79154938	23169	7719	35371	11538	9558	0	105777
chr1	80063662	80064406	933049	900876	544618	39816	39770	4478	5006
chr1	82187216	82187973	2767607	79047	415166	39526	31832	1813	24096
chr1	83871464	83872448	1083132	941453	286094	94368	0	90966	2356
chr1	85685515	85686513	36589	244599	17545	18342	18031	3159	2599
chr1	89650663	89651313	130341	300644	12590	143499	13003	2734	10660
chr1	89708275	89709411	187953	242546	42939	201111	13385	6802	1881
