Chr	Start	End	DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
chr1	120745	121356	1	611	0	0	0	0	0	0	0	0	0	0	0	0
chr1	341221	342400	1	1179	0	0	0	0	0	0	0	0	0	0	0	0
chr1	446367	447174	1	807	0	0	0	0	0	0	0	0	0	0	0	0
chr1	470006	470836	1	830	0	0	0	0	0	0	0	0	0	0	0	0
chr1	564463	570356	1	5893	960.883	0.163055	788.672	0.133832	110.951	0.0188276	31087	7.8881	111925	18.9929	236160	40.0747
chr1	2583627	2587454	1	3827	1346.95	0.35196	3868.02	1.01072	176.938	0.0462341	7101.8	2.15141	297.692	0.0777874	378.355	0.0988647
chr1	2599496	2605501	1	6005	0	0	0	0	0	0	116.1	0.611053	6.71201	0.00111774	0	0
chr1	2627004	2627849	1	845	0	0	118.892	0.140701	0	0	180.2	0.270571	20.7708	0.0245808	61.5961	0.0728948
chr1	5274225	5275156	1	931	99.9566	0.107365	0	0	0	0	724.6	0.778303	3.356	0.00360473	0	0
chr1	8921213	8923559	1	2346	16915.7	7.21045	928.713	0.395871	579.612	0.247064	21925	9.34569	318.835	0.135906	315.464	0.134469
chr1	9793050	9793812	1	762	9050.72	11.8776	259.707	0.340823	581.282	0.762838	1063.2	1.39528	141.12	0.185197	98.5345	0.12931
chr1	10247484	10248492	1	1008	155.389	0.154156	0	0	0	0	274.6	0.272421	4.23878	0.00420514	0	0
chr1	11433938	11434613	1	675	932.814	1.38195	1386.97	2.05476	120.433	0.17842	630.3	0.933778	69.8925	0.103544	91.8664	0.136098
chr1	14806875	14807479	1	604	95.6743	0.158401	217.611	0.360282	0	0	0	0	12.1108	0.020051	0	0
chr1	17734810	17737311	1	2501	23755.3	9.49833	1081.79	0.432542	600.444	0.240082	2062.2	0.82455	183.785	0.0734847	209.206	0.0836489
chr1	20824121	20825104	1	983	4655.74	4.73626	712.283	0.724602	169.876	0.172814	192.3	0.195626	39.4039	0.0400854	32.573	0.0331363
chr1	21038868	21039670	1	802	31.6866	0.0395094	179.647	0.223998	57.3812	0.0715477	57	0.0710723	10.0607	0.0125445	17.126	0.0213541
chr1	25226758	25229650	1	2892	12501.4	4.32275	998.016	0.345095	2029.74	0.701847	3587.2	1.24039	1154.16	0.399087	1089.4	0.376693
chr1	25237072	25237975	1	903	5656.05	6.26362	439.507	0.486719	224.136	0.248212	992.8	1.09945	143.134	0.158509	108.513	0.120169
chr1	25254925	25255722	1	797	1506.96	1.8908	140.623	0.17644	39818.9	49.961	1398.6	1.75483	757.932	0.950982	479.864	0.602088
chr1	26794989	26796945	1	1956	6926.59	3.5412	762.227	0.389687	741.145	0.378909	14100.2	7.20869	140.836	0.0720018	183.061	0.0935896
chr1	26883265	26883840	1	575	5804.32	10.0945	333.481	0.579968	431.762	0.75089	261.7	0.45513	52.1276	0.0906566	54.6881	0.0951097
chr1	27107344	27108428	1	1084	3045.66	2.80965	187.325	0.172809	0	0	541.4	0.499446	35.6175	0.0328574	72.6296	0.0670015
chr1	27726632	27728007	1	1375	1196.31	0.870045	522.934	0.380316	189.932	0.138133	1707.1	1.24153	181.83	0.13224	111.583	0.0811512
chr1	27728423	27729986	1	1563	3227.78	2.06512	506.574	0.324104	412.525	0.263932	25273.8	16.1701	410.206	0.262448	269.219	0.172245
chr1	27730094	27730891	1	797	1449.19	1.81831	265.338	0.332921	657.72	0.825245	388.4	0.487327	213.34	0.267679	156.389	0.196222
