Chr	Start	End	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	10000	10753	869781	810804	702507	703303	0	80481	699196
chr1	65982	66847	813687	754710	646413	647209	55398	24387	643102
chr1	119052	119509	761025	702048	593751	594547	108468	27524	590440
chr1	120745	121356	759178	700201	591904	592700	110161	29217	588593
chr1	123002	123452	757082	698105	589808	590604	112181	31474	586497
chr1	264649	266040	614494	555517	447220	448016	28868	173121	443909
chr1	339615	340155	540379	481402	373105	373901	103834	248087	369794
chr1	343780	344736	535798	476821	368524	369320	107999	252252	365213
chr1	442569	442868	437666	378689	270392	271188	97766	271252	267081
chr1	446367	447282	433252	374275	265978	266774	93352	266838	262667
chr1	470006	470836	409698	350721	242424	243220	69798	243284	239113
chr1	564463	570356	310178	251201	142904	143700	17630	143764	139593
chr1	624099	625137	255397	196420	88123	88919	77266	88983	84812
chr1	645474	645962	234572	175595	67298	68094	67276	68158	63987
chr1	646925	647592	232942	173965	65668	66464	65646	66528	62357
chr1	724131	727105	153429	94452	8616	9507	9487	9443	0
chr1	816513	817083	63451	4474	22385	11169	11149	4315	0
chr1	2583627	2587454	69344	120925	8932	8883	8883	4604	29848
chr1	2627004	2627849	112721	164302	52309	52260	52260	4379	50592
chr1	4159650	4160723	351409	632934	341427	71826	52466	1075	0
chr1	4334181	4334531	525940	807465	515958	246357	45818	1246	2774
chr1	4363077	4363415	554836	836361	544854	275253	40963	7657	0
chr1	5135319	5136128	787155	356566	914997	433928	266924	777	0
chr1	5446902	5447708	475575	44986	603417	122348	9161	1753	0
chr1	5559304	5559711	363572	1152	491414	10345	10345	7513	13132
chr1	6253392	6253714	0	15550	4145	5942	5942	2345	0
chr1	6788726	6789158	45136	201658	26764	14618	8422	0	0
chr1	6802386	6803029	58796	187787	40424	747	307	2122	5750
chr1	8921213	8923559	0	107388	10663	12023	0	0	6684
chr1	9112841	9113843	12292	81730	14866	15920	13733	6457	4543
chr1	9175979	9176549	30455	82050	5304	4875	3327	697	0
chr1	9183058	9184055	22949	74544	420	5157	774	943	0
chr1	10247484	10248492	7153	531176	21275	21944	1364	13298	35950
chr1	14806875	14807479	676035	104068	117601	36417	139	4862	4539
chr1	17176187	17176752	137636	64898	39019	45484	21999	29686	0
chr1	17734810	17737311	0	18918	20755	20831	1906	0	0
chr1	19853559	19854331	43448	113421	40003	41055	21158	7443	0
chr1	21038868	21039670	25018	6220	15109	15364	4366	1724	10144
chr1	21506084	21506939	13070	323768	2097	2520	1780	177	0
chr1	23411572	23412021	0	132804	51717	28455	28455	1665	2520
chr1	24029884	24030832	284	218234	8246	11560	10560	3431	8247
chr1	24926067	24926786	47670	5312	41403	42790	0	1394	12383
chr1	25226758	25229650	0	150707	21684	20466	0	0	12720
chr1	25328198	25329358	39759	50999	19736	19618	254	1503	0
chr1	26726070	26726704	37647	6685	31408	20948	3042	1443	0
chr1	26794989	26796945	0	56302	902	1611	0	0	0
chr1	26814730	26815423	10340	76043	11120	11373	11373	11308	10614
chr1	27813426	27814561	42672	474539	0	2095	640	0	0
chr1	28118143	28119093	105	779256	16697	17514	17679	3301	0
chr1	28833003	28833944	0	300574	0	539	0	44	0
chr1	30196080	30196824	651529	8614	609463	16014	10996	1637	7177
chr1	30243125	30244876	698574	2299	656508	63059	21320	2778	0
chr1	30246765	30247304	702214	5939	660148	66699	18892	6418	0
chr1	31002721	31003186	191631	7350	70048	117182	78037	2893	0
chr1	31127942	31128672	66145	5365	54365	62364	52344	15935	0
chr1	31205082	31208027	0	46397	8080	12778	0	0	0
chr1	31305170	31305883	75897	4767	7801	7686	7666	183	3860
chr1	31589948	31591068	57578	119969	36360	36768	36748	8642	0
