Chr	Start	End	DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	10000	10753	1	753	105.738	0	110.951	53.5	82.0398	107.457	699196	80481	703303	0	702507	810804	869781
chr1	120745	121356	1	611	0	0	0	0	0	0	588593	29217	592700	110161	591904	700201	759178
chr1	341221	342400	1	1179	0	0	0	0	0	0	367549	249693	371656	105440	370860	479157	538134
chr1	446367	447174	1	807	0	0	0	0	0	0	262775	266946	266882	93460	266086	374383	433360
chr1	470006	470836	1	830	0	0	0	0	0	0	239113	243284	243220	69798	242424	350721	409698
chr1	564463	570356	1	5893	960.883	788.672	110.951	31087	111925	236160	139593	143764	143700	17630	142904	251201	310178
chr1	724131	727105	1	2974	528.69	727.663	208.25	11687.7	33.8519	40.0087	0	9443	9507	9487	8616	94452	153429
chr1	2583627	2587454	1	3827	1346.95	3868.02	176.938	7101.8	297.692	378.355	29848	4604	8883	8883	8932	120925	69344
chr1	2599496	2605501	1	6005	0	0	0	116.1	6.71201	0	45717	20473	24752	24752	24801	136794	85213
chr1	2627004	2627849	1	845	0	118.892	0	180.2	20.7708	61.5961	50592	4379	52260	52260	52309	164302	112721
chr1	4159650	4160723	1	1073	0	265.918	178.952	355.5	5.90219	0	0	1075	71826	52466	341427	632934	351409
chr1	5274225	5275156	1	931	99.9566	0	0	724.6	3.356	0	1485	790	294900	127896	775969	217538	648127
chr1	8921213	8923559	1	2346	16915.7	928.713	579.612	21925	318.835	315.464	6684	0	12023	0	10663	107388	0
chr1	9793050	9793812	1	762	9050.72	259.707	581.282	1063.2	141.12	98.5345	2512	1928	7692	0	15228	289804	0
chr1	10247484	10248492	1	1008	155.389	0	0	274.6	4.23878	0	35950	13298	21944	1364	21275	531176	7153
chr1	11433938	11434613	1	675	932.814	1386.97	120.433	630.3	69.8925	91.8664	0	4841	36114	9613	97560	17220	78641
chr1	14806875	14807479	1	604	95.6743	217.611	0	0	12.1108	0	4539	4862	36417	139	117601	104068	676035
chr1	17734810	17737311	1	2501	23755.3	1081.79	600.444	2062.2	183.785	209.206	0	0	20831	1906	20755	18918	0
chr1	20824121	20825104	1	983	4655.74	712.283	169.876	192.3	39.4039	32.573	9388	2070	3597	3617	8280	10976	0
chr1	21038868	21039670	1	802	31.6866	179.647	57.3812	57	10.0607	17.126	10144	1724	15364	4366	15109	6220	25018
chr1	21506084	21506939	1	855	78.9368	191.539	0	226.5	11.7752	41.9755	0	177	2520	1780	2097	323768	13070
chr1	25226758	25229650	1	2892	12501.4	998.016	2029.74	3587.2	1154.16	1089.4	12720	0	20466	0	21684	150707	0
chr1	25237072	25237975	1	903	5656.05	439.507	224.136	992.8	143.134	108.513	23034	0	12141	0	13359	142382	0
chr1	25254925	25255722	1	797	1506.96	140.623	39818.9	1398.6	757.932	479.864	24579	0	1114	0	0	124635	397
chr1	25328198	25329358	1	1160	76.5936	215.049	90.9634	124.3	35.4934	18.5652	0	1503	19618	254	19736	50999	39759
chr1	26794989	26796945	1	1956	6926.59	762.227	741.145	14100.2	140.836	183.061	0	0	1611	0	902	56302	0
chr1	26883265	26883840	1	575	5804.32	333.481	431.762	261.7	52.1276	54.6881	3370	10649	10921	10901	8967	144578	0
chr1	27107344	27108428	1	1084	3045.66	187.325	0	541.4	35.6175	72.6296	0	5444	5088	4688	4855	178826	0
chr1	27726632	27728007	1	1375	1196.31	522.934	189.932	1707.1	181.83	111.583	0	840	4498	1849	6931	387745	1695
chr1	27728423	27729986	1	1563	3227.78	506.574	412.525	25273.8	410.206	269.219	0	0	6289	0	8722	389536	0
chr1	27730094	27730891	1	797	1449.19	265.338	657.72	388.4	213.34	156.389	0	319	7960	0	10393	391207	264
chr1	27731244	27732667	1	1423	3581.03	219.983	100.999	2286.1	119.583	103.907	0	1469	9110	1090	11543	392357	1414
chr1	28833003	28833944	1	941	3463.85	278.324	73030.5	1547.3	489.576	276.271	0	44	539	0	0	300574	0
chr1	28834476	28835462	1	986	4189.34	324.971	45741.2	1503.4	118.569	139.551	0	194	2012	1332	0	299056	0
chr1	28907039	28908107	1	1068	2390.02	250.422	55376	10141.3	622.977	334.749	0	0	229	229	0	226411	463
chr1	30196080	30196824	1	744	198.997	181.876	0	482.6	5.20181	19.4287	7177	1637	16014	10996	609463	8614	651529
chr1	30243133	30244876	1	1743	192.167	129.319	7.29318	102.1	17.4658	30.7021	0	2786	63067	21320	656516	2307	698582
chr1	30246765	30247304	1	539	28.6981	191.254	28.952	0	0	0	0	6418	66699	18892	660148	5939	702214
chr1	31127942	31128672	1	730	322.2	120.872	29.0768	242.7	8.71832	0	0	15935	62364	52344	54365	5365	66145
chr1	31205082	31208027	1	2945	15022.4	664.03	1127.01	4412.1	783.671	431.316	0	0	12778	0	8080	46397	0
chr1	31208495	31209645	1	1150	6224.4	344.489	262.655	1039.4	78.5743	52.2895	0	1105	16191	2951	6462	49810	0
chr1	31589792	31591068	1	1276	144.845	18.8246	0	251.8	7.72611	37.0824	0	8486	36768	36748	36360	119969	57422
chr1	31904598	31905057	1	459	84.1139	143.4	0	860.4	38.8859	23.5543	9249	2270	8014	8014	7714	17497	63451
chr1	31967610	31968179	1	569	0	40.8224	0	0	0	0	1690	4092	11306	3497	46626	74117	124595
chr1	32795292	32798155	1	2863	13602.9	817.705	420.028	3254.5	216.915	226.428	44472	0	2693	2701	1046	131755	0
chr1	32798458	32801074	1	2616	8803.71	1150.87	50966.7	24711.9	1373.29	775.468	41553	0	0	0	0	128836	0
chr1	35654561	35657032	1	2471	15348.3	1517.69	54659.9	4181	128.834	178.024	3663	0	604	144	0	260032	0
chr1	36868833	36869902	1	1069	105.738	182.307	0	662.4	9.04663	0	5674	1769	5209	2009	4838	71466	8932
chr1	37009471	37010986	1	1515	264.964	228.135	0	0	6.23779	12.5207	11773	640	8510	8530	78821	9397	81169
chr1	37946053	37949749	1	3696	25836.8	1150.59	2048.74	2804.6	553.479	396.249	0	330	589	569	0	75322	0
chr1	40426988	40427433	1	445	314.023	0	9.60746	0	9.7397	21.7793	0	526	5303	624	434	322613	30
chr1	40889953	40891320	1	1367	3386.17	530.527	10.8283	261.1	67.463	47.1085	0	12823	23682	23669	22192	785578	130
chr1	42010300	42011580	1	1280	705.292	188.032	273.862	76.6	25.0606	4.55734	21729	955	28296	28276	27769	82313	37975
chr1	43166382	43167656	1	1274	2890.77	80.6835	40.6368	635.4	30.7148	65.9136	0	4394	17558	17558	13888	311602	422
chr1	43916305	43918231	1	1926	9016.19	585.874	330.556	2147	261.477	194.095	13259	0	60701	1025	800	79153	0
chr1	45103977	45106077	1	2100	10543.7	877.807	521.192	1829.3	58.7155	88.0766	2169	1034	5913	5933	5102	26158	0
chr1	45260472	45262443	1	1971	246.699	118.892	19.1563	856.7	38.0542	70.8067	0	0	3353	876	3080	182653	5234
chr1	45266060	45266890	1	830	567.941	112.223	39599	2231.6	1433.6	738.769	0	0	116	116	0	188241	787
chr1	45282001	45282763	1	762	149.424	49.1131	0	0	6.69742	17.8456	11659	23	2377	2113	1896	204182	9199
chr1	46085141	46087383	1	2242	11887.7	826.643	483.457	1679.5	310.635	170.301	25033	0	32797	0	32275	786366	0
chr1	47587425	47587987	1	562	0	0	0	0	1.16731	0	6581	2045	56909	15243	56481	85928	130675
chr1	48948615	48949900	1	1285	0	91.0539	29.5546	223.2	4.99753	0	0	3558	10591	10591	10122	28317	1047736
chr1	49635632	49636483	1	851	221.758	306.77	0	70	8.05441	24.8495	9892	2509	671479	76636	697139	386387	1268904
chr1	50413475	50414511	1	1036	0	84.2154	0	51.3	1.16731	15.8308	0	1213	303065	33751	384337	155004	490876
chr1	50439072	50439587	1	515	176.536	9.9077	76.518	135.3	9.94399	7.67552	4805	4495	277989	8675	359261	129928	465800
chr1	52819002	52819839	1	837	5654.12	291.076	286.493	397.9	39.2215	14.3916	25427	1031	12057	12057	10631	279549	0
chr1	53262364	53263502	1	1138	373.839	41.6123	31.426	477.5	9.94399	39.0972	11232	4256	44874	44854	44374	162785	11540
chr1	55322722	55324065	1	1343	6495.01	674.535	388.53	206.8	62.9106	71.958	7378	228	28831	27250	25943	164915	0
chr1	56127697	56133583	1	5886	1268.86	1141.81	221.902	1118.9	108.384	129.428	0	17945	384233	0	445505	73729	491458
chr1	57830256	57831331	1	1075	199.035	435.175	0	139.5	10.1556	33.8682	6403	6090	56959	1888	590206	444831	1114435
chr1	58071941	58072594	1	653	134.193	322.463	5.31024	133.1	8.79128	35.6912	1775	830	298644	59071	831891	203568	873172
chr1	59194437	59197341	1	2904	865.129	467.846	185.061	337.4	55.8264	53.7286	9162	0	1993	1993	28375	510399	40819
chr1	63887567	63888272	1	705	100.897	0	3.92496	0.2	8.87883	6.71608	5061	3982	54243	18983	53367	102507	15597
chr1	65814431	65814976	1	545	312.617	6.93539	0	0	4.61815	2.59049	20414	2938	38738	38767	70154	346703	76131
chr1	67171739	67172397	1	658	62.9281	168.358	96.9576	368.6	12.6945	45.5734	0	1787	56772	14214	45759	15911	234078
chr1	67201638	67202677	1	1039	73.5568	118.892	148.445	0	14.5403	14.9673	28578	308	86671	2399	15479	13109	203798
chr1	68175242	68176220	1	978	266.471	755.669	336.599	1321.7	18.2975	22.9306	37282	7131	24258	22139	21499	90578	20502
chr1	69844146	69844756	1	610	105.738	32.6954	15.3036	58.4	6.63905	15.3511	0	664	358701	4851	825236	1054743	770239
chr1	70381495	70382236	1	741	243.409	383.246	144.229	152.3	7.66045	48.02	5182	12996	117116	50560	287756	769977	232759
chr1	71112029	71114397	1	2368	506.349	551.257	110.951	439.4	14.4454	28.7832	0	3266	136045	27159	233136	37816	212591
chr1	71267062	71267624	1	562	105.738	118.892	0	13.6	6.36182	0	6531	5149	108182	55838	276981	114713	258385
chr1	72393520	72394332	1	812	105.738	116.911	0	190.3	2.26165	12.6646	0	5286	354224	221860	248792	348433	855867
chr1	74520261	74520959	1	698	164.583	114.242	49.6415	1125.4	2.72858	14.3916	5939	0	55937	55937	141894	420297	655914
chr1	75275745	75276837	1	1092	274.551	229.863	0	93.7	13.9785	37.2263	25802	653	1139	359	427	3860	50305
chr1	75745415	75746442	1	1027	262.906	330.905	72.8471	317.6	5.39878	0	32242	1071	58494	13711	93955	132141	452957
chr1	76350591	76352667	1	2076	173.127	210.687	0	210	11.8919	38.4735	15700	12473	21829	21809	93790	242358	87496
chr1	77832929	77834137	1	1208	68.2535	170.808	110.951	88.7	1.86769	13.2403	0	1649	91519	2619	45433	37183	192397
chr1	77909561	77910629	1	1068	290.063	187.001	8.31168	249.6	3.47274	12.8565	1550	1281	15027	14731	29314	29445	115905
chr1	78792829	78793662	1	833	105.738	475.107	110.951	410.1	4.33362	13.4322	71993	1555	212485	5434	183836	281703	300614
chr1	79782978	79784395	1	1417	211.476	162.402	247.95	86.7	8.49215	0	3962	7437	57189	6086	263934	620192	652365
chr1	80036731	80038424	1	1693	0	211.004	0	120.6	13.2489	15.3511	14620	14505	51367	51407	517687	873945	906118
chr1	82464267	82464803	1	536	0	152.705	0	42.8	1.8531	11.4173	12933	9	316577	153858	692217	197129	2490777
chr1	85517421	85517946	1	525	41.8095	35.1329	71.0551	0	5.45715	7.67552	25278	1203	9910	3097	2677	157741	47993
chr1	85895113	85895995	1	882	200.017	0	0	637.3	4.23149	6.71608	20708	21315	34369	20598	34181	35117	156620
chr1	86002399	86003036	1	637	198.146	388.3	76.037	298	4.12934	18.7571	18921	1523	39640	33680	38815	4529	100022
chr1	90843804	90845128	1	1324	289.685	297.291	0	252	15.1896	21.1077	47249	10234	19940	19620	343753	326739	354083
chr1	91505752	91506319	1	567	422.954	97.0955	0	247	2.6848	6.71608	33245	11074	17988	13488	17412	162640	49369
chr1	91544274	91544930	1	656	65.2232	110.2	0	129.6	11.5709	0	11666	14015	56510	15050	55934	124029	87891
chr1	91634002	91635208	1	1206	99.8044	112.465	100.949	99.8	8.9226	28.7832	7560	1075	2947	2918	113273	33751	177619
chr1	91742623	91743875	1	1252	275.485	335.774	0	1152.5	17.0865	30.7021	3479	513	111568	521	4606	73504	231516
chr1	91924507	91926469	1	1962	123.341	374.673	205.849	384.9	9.87832	4.70126	26416	7631	39887	17877	39433	11733	48922
chr1	96730649	96731721	1	1072	34.9395	0	140.028	13.5	6.24509	11.1295	4289	25680	455495	15941	454957	1577812	467237
chr1	97359695	97360179	1	484	190.715	125.806	130.504	0	2.48052	5.27692	27166	2400	72039	48431	170556	2206858	66865
chr1	97788642	97789378	1	736	57.8019	156.48	0	47.2	7.68233	7.33972	3247	32	138178	51992	184166	1940664	495812
chr1	102017379	102019965	1	2586	274.228	277.119	0	105.4	23.244	88.2685	0	841	13238	13211	113335	1012831	150225
chr1	102558701	102559699	1	998	74.1001	11.0507	0	69.4	4.42117	0	46456	8701	525350	96057	654657	1012631	691547
chr1	102636103	102637175	1	1072	121.141	181.74	0	69	14.7956	7.67552	25800	2729	602752	173459	732059	935155	768949
chr1	103048338	103049438	1	1100	161.143	230.735	259.422	154.4	16.8822	28.1596	0	5642	445022	77673	1010856	522892	1022946
chr1	103239547	103240142	1	595	0	48.4929	8.31222	74.2	3.12984	5.46881	0	48	254318	112133	820152	332188	832242
chr1	103638279	103639083	1	804	234.285	320.861	78.8965	182.7	11.4104	0	126787	13751	143671	10055	421211	65769	433301
chr1	103647394	103648887	1	1493	42.2479	231.826	9.69696	390.5	6.65365	13.4322	134816	22866	152786	19170	411407	74884	423497
chr1	105412206	105413358	1	1152	47.8119	0	0	458.9	7.70423	0	29623	7819	109302	3458	1341765	1839696	1317348
