Chr	Start	End	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	260785	261885	618649	559672	451375	452171	25004	169257	448064
chr1	551117	552025	328509	269532	161235	162031	4284	162095	157924
chr1	730928	731721	148813	89836	15413	16304	16284	16240	339
chr1	1633016	1633926	13382	65778	8912	8320	8320	20242	0
chr1	1749239	1749751	0	139637	10356	37235	10125	7017	732
chr1	1911212	1911696	100533	21684	59787	19487	19508	6418	6683
chr1	2472006	2472535	16875	9304	4800	5001	5221	111	0
chr1	3117591	3118278	426280	220521	422200	223098	105598	7565	549
chr1	3372259	3373345	171213	1682	167133	2295	900	0	13926
chr1	3808920	3809619	679	282204	6133	7097	6321	2773	0
chr1	4114668	4116639	306427	587952	296445	26844	7484	502	0
chr1	4262933	4263745	454692	736217	444710	175109	24470	14128	0
chr1	4708805	4709429	900564	783265	890582	63244	3347	3277	2192
chr1	4800239	4800597	991998	692097	982016	154678	55959	9199	0
chr1	4879965	4881399	1041884	611295	1061742	234404	23261	1408	3193
chr1	4926481	4927586	995697	565108	1108258	280920	69777	6620	0
chr1	5196202	5198703	724580	293991	852422	371353	204349	0	0
chr1	5465655	5466248	457035	26446	584877	103808	27914	7044	5841
chr1	5862170	5862814	60469	304018	188311	56046	56066	352	0
chr1	6153990	6154557	38	40982	65062	14480	0	2171	5586
chr1	6656282	6657523	0	98420	1998	5113	3733	3225	1487
chr1	6716785	6717688	0	158923	30300	31495	21881	0	2755
chr1	6919760	6920373	13841	70443	72707	1184	963	7872	17895
chr1	7037406	7038386	102343	8126	14560	115402	13922	5077	25144
chr1	7146402	7147160	211339	3106	123556	178715	15468	5663	0
chr1	8639667	8640075	49466	263384	24270	18283	17134	2484	7221
chr1	9044248	9044948	55437	13137	83761	20342	1925	1252	71
chr1	11240064	11240921	49	130879	79708	46615	12775	1384	0
chr1	11654146	11654998	66219	15902	55356	55584	30274	3093	0
chr1	12725690	12730578	158439	15783	46217	75261	6466	1128	3973
chr1	13042254	13042995	475003	225307	362781	236267	236190	3441	125006
chr1	14062173	14062630	562	152391	2124	4629	2459	3096	26814
chr1	14325022	14327252	194182	103584	243561	2951	37878	3218	4096
chr1	14452539	14453485	321699	9533	371078	122188	11942	878	5242
chr1	14477336	14478657	346496	14133	395875	102199	36739	1001	5989
