Chr	Start	End	DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	10000	10753	1	753	105.738	0	110.951	53.5	82.0398	107.457	699196	80481	703303	0	702507	810804	869781
chr1	65982	66847	1	865	0	0	0	0	3.55299	5.90056	643102	24387	647209	55398	646413	754710	813687
chr1	119052	119509	1	457	0	0	0	0	0	0	590440	27524	594547	108468	593751	702048	761025
chr1	120745	121356	1	611	0	0	0	0	0	0	588593	29217	592700	110161	591904	700201	759178
chr1	123002	123452	1	450	0	0	0	0	0	0	586497	31474	590604	112181	589808	698105	757082
chr1	264649	266040	1	1391	0	0	0	0	0	0	443909	173121	448016	28868	447220	555517	614494
chr1	339615	340155	1	540	0	0	0	0	0	0	369794	248087	373901	103834	373105	481402	540379
chr1	343780	344736	1	956	0	0	0	0	0	0	365213	252252	369320	107999	368524	476821	535798
chr1	442569	442868	1	299	0	0	0	0	0	0	267081	271252	271188	97766	270392	378689	437666
chr1	446367	447282	1	915	0	0	0	0	0	0	262667	266838	266774	93352	265978	374275	433252
chr1	470006	470836	1	830	0	0	0	0	0	0	239113	243284	243220	69798	242424	350721	409698
chr1	564463	570356	1	5893	960.883	788.672	110.951	31087	111925	236160	139593	143764	143700	17630	142904	251201	310178
chr1	624099	625137	1	1038	0	0	0	0	0	0	84812	88983	88919	77266	88123	196420	255397
chr1	645474	645962	1	488	0	0	0	0	0	6.71608	63987	68158	68094	67276	67298	175595	234572
chr1	646925	647592	1	667	0	0	0	0	0	0	62357	66528	66464	65646	65668	173965	232942
chr1	724131	727105	1	2974	528.69	727.663	208.25	11687.7	33.8519	40.0087	0	9443	9507	9487	8616	94452	153429
chr1	816513	817083	1	570	0	0	221.885	971.9	18.7061	18.1334	0	4315	11169	11149	22385	4474	63451
chr1	2583627	2587454	1	3827	1346.95	3868.02	176.938	7101.8	297.692	378.355	29848	4604	8883	8883	8932	120925	69344
chr1	2627004	2627849	1	845	0	118.892	0	180.2	20.7708	61.5961	50592	4379	52260	52260	52309	164302	112721
chr1	4159650	4160723	1	1073	0	265.918	178.952	355.5	5.90219	0	0	1075	71826	52466	341427	632934	351409
chr1	4334181	4334531	1	350	103.899	134.745	0	105.4	7.03303	22.355	2774	1246	246357	45818	515958	807465	525940
