Chr	Start	End	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	741120	742849	137685	78708	19127	19987	19459	26432	724
chr1	1247863	1249163	0	121172	2578	3999	2853	1935	387
chr1	2246775	2247350	6918	129384	0	14071	231	0	4925
chr1	2500207	2501345	5131	37505	6141	8471	6131	1791	0
chr1	4616519	4618212	808278	874482	798296	27201	27184	568	0
chr1	5143117	5143679	779604	349015	907446	426377	259373	5918	0
chr1	5922139	5923345	0	272194	127780	116015	87851	1658	9730
chr1	7538354	7539107	298363	1055	69815	0	0	1460	7583
chr1	7596549	7597401	240069	26492	128010	57401	12095	1601	3146
chr1	8137526	8140112	73151	122896	50660	16665	16764	15546	11764
chr1	11327365	11328311	8774	43489	3986	4461	4521	4271	0
chr1	11618719	11620878	100339	0	78812	79495	2678	2083	0
chr1	14127093	14128091	2571	86930	45632	48870	9725	121	4923
chr1	14569921	14570951	439081	14846	354129	9905	9885	2878	12815
chr1	14827240	14827844	696400	83703	97236	16052	16052	2317	2095
chr1	16732473	16733193	5004	205896	17857	14138	2263	0	12191
chr1	16944288	16945551	777	4961	3751	2065	420	482	10206
chr1	17866589	17867905	104574	0	99759	3565	0	5733	0
chr1	19263919	19264438	25344	59010	9142	10575	9475	4516	0
chr1	19404070	19404585	0	18946	120114	66299	9691	4585	0
chr1	21591359	21592561	454	238146	22830	9435	4255	0	4158
chr1	21930374	21930963	72770	13922	3197	3473	3453	550	2309
chr1	22510956	22513056	62737	21293	7653	7732	6552	5280	0
chr1	24040335	24046256	0	228685	18697	880	0	0	0
chr1	25106138	25112031	12433	173835	30143	9754	9114	0	0
chr1	26388881	26389820	57155	9510	26244	26197	26197	4235	0
chr1	28836757	28837657	0	296861	0	72	0	24	0
chr1	32418945	32420368	29178	110614	1589	1348	28	1322	2014
chr1	34311311	34312319	350727	106406	316736	56397	25910	1623	0
chr1	36089474	36090179	97	47823	12660	16917	12857	11460	10033
chr1	36890600	36892968	26847	79592	22562	3936	3916	0	3133
chr1	37939687	37941488	0	68956	0	0	0	0	0
chr1	42214517	42216863	164812	84997	0	14	0	0	20209
chr1	43498961	43499357	78300	19579	73465	74237	2328	7992	8177
chr1	45000474	45001851	98244	23947	61735	2540	2530	8999	0
chr1	45341837	45342430	948	264018	32664	55813	11564	14179	5673
chr1	47056416	47057152	0	45046	11758	12764	12744	5769	14486
chr1	47708204	47709276	9386	10702	62701	45820	10820	1744	4386
chr1	49539692	49540259	1365128	290447	601199	575539	57752	2071	5403
chr1	51125348	51126784	63635	236718	212417	48854	48749	0	4610
chr1	51865853	51867099	837	54701	55199	9373	8406	5982	29832
chr1	52382312	52382848	47552	13083	36868	37708	19548	294	5972
chr1	54183956	54185449	57916	2101	18772	19467	18567	1860	0
chr1	55714108	55715268	77869	67724	31916	28048	8548	137	23118
chr1	56346002	56347745	709763	264491	251574	179811	3591	0	19709
chr1	56609310	56610744	973071	1492	9602	35871	7706	3482	19733
chr1	59531047	59532522	377429	847009	38598	18363	4614	0	6954
chr1	60280050	60283024	49123	262494	0	0	0	0	60180
chr1	61944762	61945848	200599	32959	161365	39048	11118	1360	0
chr1	62245720	62246789	59051	266763	36654	37516	1735	942	0
chr1	62638404	62644290	263237	108500	256826	228908	12540	0	13948
chr1	62766083	62769932	137595	12942	131184	103266	28239	5884	31409
chr1	63168671	63174676	61252	228403	13869	14000	13860	5609	82015
chr1	63580994	63582213	321656	40362	200491	151892	8496	2803	2588
chr1	65703163	65704045	187062	235435	15401	15971	1339	1241	40349
chr1	65790847	65791702	99405	323119	58864	15154	15183	0	0
chr1	66642519	66644833	176688	518	68205	64852	7975	8458	0
chr1	67066811	67067295	231641	5970	150861	241	281	5273	72930
chr1	67933653	67934680	38417	332118	36324	31536	31536	7703	755
chr1	68702403	68702937	547663	22594	258181	75547	5666	4356	0
chr1	71301714	71303670	222339	149365	240935	72136	72146	22897	0
chr1	71720761	71721829	183108	206914	172920	173877	173137	32436	0
chr1	72201700	72202118	664047	540647	56972	546438	123457	7350	8093
chr1	73430562	73431365	1745508	682418	681185	681858	13864	10272	2176
chr1	74780204	74782705	394168	158551	115199	82371	65907	915	0
chr1	74921790	74922647	254226	18609	216338	19706	6669	0	1662
chr1	75750072	75751415	447984	136798	88982	53521	18368	1805	36899
chr1	76082471	76083888	115511	469197	762	106388	967	838	5776
chr1	78257274	78258310	7509	252620	10924	11790	11810	7520	12988
chr1	78801875	78802414	291862	290749	192882	221531	2331	772	63241
chr1	79099135	79099930	0	62727	6225	12971	0	2439	152888
chr1	80927544	80928346	1796931	1338674	775089	177130	69919	11274	0
chr1	80957741	80958427	1827128	1308593	745008	147049	39838	6415	0
chr1	82078649	82079771	2875809	187249	306599	63725	30245	1110	91388
chr1	82998191	82999183	1956397	731053	1159359	446213	136777	14565	4601
chr1	83507954	83508993	1446587	1240816	649549	62410	36578	11177	140320
chr1	84060234	84061876	893704	752025	96666	85890	10850	938	392
chr1	84657474	84658592	296988	155309	100526	38946	24770	5375	3707
chr1	85826626	85827814	88133	103298	52385	84162	25600	8975	39264
chr1	85964073	85965347	137711	21061	32806	33561	3224	3152	0
chr1	86512359	86513089	341530	108875	53395	30107	5987	2635	41990
chr1	87051774	87052639	129745	429048	83379	29977	29977	0	16485
chr1	87564976	87565747	0	48262	31863	18789	8340	12447	0
chr1	88087923	88088533	277294	331080	286193	19870	13546	0	14803
chr1	89098382	89099129	60166	852828	49478	22464	6147	836	8178
chr1	90426500	90427271	26911	218107	32881	14856	7556	1139	29311
chr1	90984680	90985473	382590	186394	203408	9447	9336	8930	21002
chr1	91960460	91961387	14004	22140	4515	4969	4989	5474	5244
chr1	95360937	95362107	346817	208100	28811	30569	29089	921	27886
chr1	96269488	96270391	559303	1116651	568895	569724	49240	7939	464
chr1	98664690	98666727	1371860	1063315	277567	86915	144766	21601	1952
chr1	99130467	99130941	1044621	599101	2536	3122	2743	2906	19374
chr1	100341573	100342335	4682	611022	24655	25889	24962	9655	27209
chr1	100532134	100532964	321	470685	9052	8512	8512	3176	5806
chr1	100538962	100539620	0	464029	2396	1856	1856	2528	0
chr1	100555587	100556863	3350	446786	11945	12263	12283	10734	0
chr1	101830290	101831065	11751	825742	5898	5791	0	416	42063
chr1	102215016	102215611	347862	1210468	310972	181665	21197	12704	41344
chr1	103597624	103599217	473167	25114	461077	103016	23324	13051	86132
chr1	104375199	104376156	280341	802689	304758	43961	12286	7033	11237
chr1	104808945	104809712	714087	1236435	738504	477707	93958	801	0
chr1	106400548	106401248	2305690	1281020	1157930	163800	163868	1951	0
chr1	106707190	106708291	2530347	973977	850887	141994	35781	10242	42413
