Chr	Start	End	DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
chr1	10000	10753	1	753	105.738	0.140422	0	0	110.951	0.147345	105.738	0	82.0398	0.108951	107.457	0.142706
chr1	724131	727105	1	2974	528.69	0.177771	727.663	0.244675	208.25	0.0700234	528.69	727.663	33.8519	0.0113826	40.0087	0.0134528
chr1	4159650	4160720	1	1070	0	0	262.206	0.245053	177.997	0.166352	0	262.206	5.83653	0.0054547	0	0
chr1	19853590	19854161	1	571	0	0	187.26	0.327952	0	0	0	187.26	10.7684	0.0188588	14.3916	0.0252042
chr1	21506084	21506891	1	807	78.9368	0.0978151	191.539	0.237348	0	0	78.9368	191.539	11.0748	0.0137234	39.0013	0.0483287
chr1	25328198	25329357	1	1159	76.5936	0.066086	215.049	0.185547	90.9634	0.0784844	76.5936	215.049	35.4715	0.0306053	18.5652	0.0160183
chr1	26814730	26815423	1	693	78.1541	0.112776	0	0	0	0	78.1541	0	12.1327	0.0175075	34.7797	0.0501872
chr1	28118143	28118974	1	831	229.516	0.276193	0	0	68.6326	0.0825904	229.516	0	2.25436	0.00271282	7.67552	0.00923649
chr1	30196080	30196824	1	744	198.997	0.26747	181.876	0.244457	0	0	198.997	181.876	5.20181	0.00699168	19.4287	0.0261138
chr1	30243133	30244876	1	1743	192.167	0.110251	129.319	0.0741936	7.29318	0.00418427	192.167	129.319	17.4658	0.0100206	30.7021	0.0176145
chr1	31589948	31591068	1	1120	144.845	0.129326	18.8246	0.0168077	0	0	144.845	18.8246	6.25239	0.00558249	30.7021	0.0274126
chr1	31904598	31905057	1	459	84.1139	0.183255	143.4	0.312419	0	0	84.1139	143.4	38.8859	0.0847188	23.5543	0.0513165
chr1	37009493	37010951	1	1458	264.964	0.181731	228.135	0.156471	0	0	264.964	228.135	5.82194	0.0039931	9.21063	0.0063173
chr1	45282007	45282763	1	756	149.424	0.19765	43.2228	0.0571731	0	0	149.424	43.2228	6.60987	0.00874322	17.8456	0.0236053
chr1	49635726	49636483	1	757	152.458	0.201398	129.82	0.171493	0	0	152.458	129.82	7.13516	0.00942558	24.8495	0.0328263
chr1	53262364	53263500	1	1136	372	0.327465	41.6123	0.0366306	31.426	0.0276637	372	41.6123	9.85644	0.00867644	38.9053	0.0342476
chr1	56127697	56133583	1	5886	1268.86	0.215572	1141.81	0.193987	221.902	0.0377	1268.86	1141.81	108.384	0.0184139	129.428	0.0219892
chr1	56193870	56194282	1	412	259.288	0.629339	118.892	0.288574	0	0	259.288	118.892	3.90318	0.00947373	0.71958	0.00174655
chr1	57830523	57831139	1	616	199.035	0.323109	162.844	0.264357	0	0	199.035	162.844	3.21009	0.00521119	16.1186	0.0261665
chr1	59194437	59197275	1	2838	814.62	0.28704	413.417	0.145672	143.022	0.0503953	814.62	413.417	51.77	0.0182417	52.2895	0.0184248
chr1	63887567	63888272	1	705	100.897	0.143117	0	0	3.92496	0.00556732	100.897	0	8.87883	0.0125941	6.71608	0.00952635
chr1	67201638	67202677	1	1039	73.5568	0.0707958	118.892	0.11443	148.445	0.142873	73.5568	118.892	14.5403	0.0139945	14.9673	0.0144055
chr1	71112029	71114397	1	2368	506.349	0.21383	551.257	0.232794	110.951	0.0468543	506.349	551.257	14.4454	0.00610026	28.7832	0.0121551
chr1	71267075	71267577	1	502	105.738	0.210633	118.892	0.236837	0	0	105.738	118.892	5.98244	0.0119172	0	0
chr1	72393689	72394304	1	615	48.7314	0.079238	89.1693	0.144991	0	0	48.7314	89.1693	1.02139	0.0016608	0	0
chr1	75745495	75746442	1	947	262.906	0.277619	309.613	0.326941	66.382	0.0700972	262.906	309.613	4.59626	0.0048535	0	0
chr1	76350605	76352667	1	2062	173.127	0.0839607	196.816	0.095449	0	0	173.127	196.816	11.3812	0.00551951	36.4587	0.0176812
chr1	77833090	77834137	1	1047	68.2535	0.0651896	81.6458	0.0779807	97.943	0.0935464	68.2535	81.6458	0.401262	0.000383249	1.67902	0.00160365
chr1	77909744	77910629	1	885	192.6	0.217627	39.9168	0.0451037	8.31168	0.00939173	192.6	39.9168	3.09336	0.00349533	12.6646	0.0143103
chr1	80036762	80038424	1	1662	0	0	211.004	0.126958	0	0	0	211.004	12.3443	0.00742736	15.3511	0.00923649
chr1	81165479	81166323	1	844	58.2813	0.0690536	0	0	0	0	58.2813	0	1.88228	0.00223019	15.3511	0.0181885
chr1	82464267	82464803	1	536	0	0	152.705	0.284897	0	0	0	152.705	1.8531	0.00345727	11.4173	0.021301
chr1	84357819	84358670	1	851	105.738	0.124251	118.892	0.139709	1.53036	0.00179831	105.738	118.892	8.01064	0.0094132	14.3916	0.0169114
chr1	89370116	89370527	1	411	0	0	119.883	0.291687	0	0	0	119.883	3.45085	0.00839623	4.89314	0.0119055
chr1	90800225	90800875	1	650	317.215	0.488023	91.1594	0.140245	0	0	317.215	91.1594	8.75479	0.0134689	59.0056	0.0907778
chr1	90843804	90845009	1	1205	289.685	0.240402	297.291	0.246715	0	0	289.685	297.291	15.0728	0.0125086	21.1077	0.0175167
chr1	91544343	91544791	1	448	0	0	110.2	0.245981	0	0	0	110.2	4.82973	0.0107806	0	0
chr1	91634131	91635208	1	1077	0	0	112.465	0.104425	100.949	0.0937313	0	112.465	8.14926	0.00756663	27.5359	0.0255673
chr1	91742623	91743875	1	1252	275.485	0.220036	335.774	0.26819	0	0	275.485	335.774	17.0865	0.0136473	30.7021	0.0245224
chr1	91924512	91926454	1	1942	120.49	0.0620445	372.199	0.191657	194.371	0.100088	120.49	372.199	9.5865	0.0049364	4.4614	0.00229732
