Chr	Start	End	DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
chr1	10000	10753	1	753	105.738	0.140422	0	0	110.951	0.147345	105.738	0	82.0398	0.108951	107.457	0.142706
chr1	65982	66847	1	865	0	0	0	0	0	0	0	0	3.55299	0.0041075	5.90056	0.00682145
chr1	119052	119509	1	457	0	0	0	0	0	0	0	0	0	0	0	0
chr1	120745	121356	1	611	0	0	0	0	0	0	0	0	0	0	0	0
chr1	123002	123452	1	450	0	0	0	0	0	0	0	0	0	0	0	0
chr1	264649	266040	1	1391	0	0	0	0	0	0	0	0	0	0	0	0
chr1	339615	340155	1	540	0	0	0	0	0	0	0	0	0	0	0	0
chr1	343780	344736	1	956	0	0	0	0	0	0	0	0	0	0	0	0
chr1	442569	442868	1	299	0	0	0	0	0	0	0	0	0	0	0	0
chr1	446367	447282	1	915	0	0	0	0	0	0	0	0	0	0	0	0
chr1	470006	470836	1	830	0	0	0	0	0	0	0	0	0	0	0	0
chr1	564463	570356	1	5893	960.883	0.163055	788.672	0.133832	110.951	0.0188276	960.883	788.672	111925	18.9929	236160	40.0747
chr1	624099	625137	1	1038	0	0	0	0	0	0	0	0	0	0	0	0
chr1	645474	645962	1	488	0	0	0	0	0	0	0	0	0	0	6.71608	0.0137625
chr1	646925	647592	1	667	0	0	0	0	0	0	0	0	0	0	0	0
chr1	724131	727105	1	2974	528.69	0.177771	727.663	0.244675	208.25	0.0700234	528.69	727.663	33.8519	0.0113826	40.0087	0.0134528
chr1	816513	817083	1	570	0	0	0	0	221.885	0.389272	0	0	18.7061	0.0328177	18.1334	0.031813
chr1	2583627	2587454	1	3827	1346.95	0.35196	3868.02	1.01072	176.938	0.0462341	1346.95	3868.02	297.692	0.0777874	378.355	0.0988647
chr1	2627004	2627849	1	845	0	0	118.892	0.140701	0	0	0	118.892	20.7708	0.0245808	61.5961	0.0728948
chr1	4159650	4160723	1	1073	0	0	265.918	0.247826	178.952	0.166777	0	265.918	5.90219	0.00550065	0	0
chr1	4334181	4334531	1	350	103.899	0.296854	134.745	0.384985	0	0	103.899	134.745	7.03303	0.0200944	22.355	0.0638713
chr1	4363077	4363415	1	338	121.765	0.360253	105.517	0.31218	0	0	121.765	105.517	12.213	0.036133	8.15524	0.0241279
chr1	5135319	5136128	1	809	29.0466	0.0359043	0	0	0	0	29.0466	0	11.2791	0.013942	18.3733	0.0227111
chr1	5446902	5447708	1	806	371.113	0.460438	598.58	0.742656	114.759	0.14238	371.113	598.58	11.9649	0.0148448	0	0
chr1	5559304	5559711	1	407	43.2146	0.106178	125.828	0.309159	0	0	43.2146	125.828	0	0	0	0
chr1	6253392	6253714	1	322	557.007	1.72983	55.206	0.171447	78.3366	0.243281	557.007	55.206	75.8385	0.235523	106.594	0.331037
chr1	6788726	6789158	1	432	248.257	0.574669	101.998	0.236106	0	0	248.257	101.998	13.2781	0.0307364	21.1077	0.0488604
chr1	6802386	6803029	1	643	188.474	0.293117	121.582	0.189085	70.1384	0.10908	188.474	121.582	25.6297	0.0398595	3.07021	0.00477482
chr1	8921213	8923559	1	2346	16915.7	7.21045	928.713	0.395871	579.612	0.247064	16915.7	928.713	318.835	0.135906	315.464	0.134469
chr1	9112841	9113843	1	1002	419.387	0.41855	0	0	123.881	0.123634	419.387	0	10.9143	0.0108925	8.82685	0.00880923
chr1	9175979	9176549	1	570	218.349	0.383069	384.078	0.673821	201.868	0.354154	218.349	384.078	7.86473	0.0137978	2.20671	0.00387142
chr1	9183058	9184055	1	997	59.7829	0.0599627	0	0	71.1892	0.0714034	59.7829	0	22.3247	0.0223919	13.2882	0.0133282
chr1	10247484	10248492	1	1008	155.389	0.154156	0	0	0	0	155.389	0	4.23878	0.00420514	0	0
chr1	14806875	14807479	1	604	95.6743	0.158401	217.611	0.360282	0	0	95.6743	217.611	12.1108	0.020051	0	0
chr1	17176187	17176752	1	565	0	0	44.5881	0.078917	0	0	0	44.5881	0.131322	0.000232428	0.863496	0.00152831
chr1	17734810	17737311	1	2501	23755.3	9.49833	1081.79	0.432542	600.444	0.240082	23755.3	1081.79	183.785	0.0734847	209.206	0.0836489
chr1	19853559	19854331	1	772	0	0	248.695	0.322144	0	0	0	248.695	11.2353	0.0145535	15.6389	0.0202576
chr1	21038868	21039670	1	802	31.6866	0.0395094	179.647	0.223998	57.3812	0.0715477	31.6866	179.647	10.0607	0.0125445	17.126	0.0213541
chr1	21506084	21506939	1	855	78.9368	0.0923238	191.539	0.224023	0	0	78.9368	191.539	11.7752	0.0137722	41.9755	0.0490942
chr1	23411572	23412021	1	449	850.096	1.89331	129.714	0.288895	0	0	850.096	129.714	21.0699	0.0469262	21.3955	0.0476515
chr1	24029884	24030832	1	948	1187.15	1.25227	255.649	0.269672	50.5821	0.0533566	1187.15	255.649	19.5743	0.020648	19.2368	0.020292
chr1	24926067	24926786	1	719	260.939	0.362919	60.437	0.084057	0	0	260.939	60.437	100.396	0.139632	33.5804	0.0467043
chr1	25226758	25229650	1	2892	12501.4	4.32275	998.016	0.345095	2029.74	0.701847	12501.4	998.016	1154.16	0.399087	1089.4	0.376693
