"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"1" "DSB_type" "Size" "Sum_H3K36me3" "Mean_H3K36me3" "Sum_H3K27me3" "Mean_H3K27me3" "Sum_H3K4me3" "Mean_H3K4me3" "Sum_CTCF" "Mean_CTCF" "Sum_DNaseIHSS1" "Mean_DNaseIHSS1" "Sum_DNaseIHSS2" "Mean_DNaseIHSS2" "DistancetoOrigin" "DistanceToCTCF" "DistanceToDNaseIHSS1" "DistanceToDNaseIHSS2" "DistanceToH3K4me3" "DistanceToH3K27me3" "DistanceToH3K36me3"
"2" "1" "865" "0" "0" "0" "0" "0" "0" "0" "0" "3.55299" "0.0041075" "5.90056" "0.00682145" "643102" "24387" "647209" "55398" "646413" "754710" "813687"
"3" "1" "457" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "590440" "27524" "594547" "108468" "593751" "702048" "761025"
"4" "1" "450" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "586497" "31474" "590604" "112181" "589808" "698105" "757082"
"5" "1" "1391" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "443909" "173121" "448016" "28868" "447220" "555517" "614494"
"6" "1" "540" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "369794" "248087" "373901" "103834" "373105" "481402" "540379"
"7" "1" "956" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "365213" "252252" "369320" "107999" "368524" "476821" "535798"
"8" "1" "299" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "267081" "271252" "271188" "97766" "270392" "378689" "437666"
"9" "1" "1038" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "84812" "88983" "88919" "77266" "88123" "196420" "255397"
"10" "1" "488" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6.71608" "0.0137625" "63987" "68158" "68094" "67276" "67298" "175595" "234572"
"11" "1" "667" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "62357" "66528" "66464" "65646" "65668" "173965" "232942"
"12" "1" "570" "0" "0" "0" "0" "221.885" "0.389272" "971.9" "1.70509" "18.7061" "0.0328177" "18.1334" "0.031813" "0" "4315" "11169" "11149" "22385" "4474" "63451"
"13" "1" "350" "103.899" "0.296854" "134.745" "0.384985" "0" "0" "105.4" "0.301143" "7.03303" "0.0200944" "22.355" "0.0638713" "2774" "1246" "246357" "45818" "515958" "807465" "525940"
"14" "1" "338" "121.765" "0.360253" "105.517" "0.31218" "0" "0" "4406.6" "13.0373" "12.213" "0.036133" "8.15524" "0.0241279" "0" "7657" "275253" "40963" "544854" "836361" "554836"
"15" "1" "809" "29.0466" "0.0359043" "0" "0" "0" "0" "226" "0.279357" "11.2791" "0.013942" "18.3733" "0.0227111" "0" "777" "433928" "266924" "914997" "356566" "787155"
"16" "1" "806" "371.113" "0.460438" "598.58" "0.742656" "114.759" "0.14238" "1434.5" "1.77978" "11.9649" "0.0148448" "0" "0" "0" "1753" "122348" "9161" "603417" "44986" "475575"
"17" "1" "407" "43.2146" "0.106178" "125.828" "0.309159" "0" "0" "0" "0" "0" "0" "0" "0" "13132" "7513" "10345" "10345" "491414" "1152" "363572"
"18" "1" "322" "557.007" "1.72983" "55.206" "0.171447" "78.3366" "0.243281" "1178.9" "3.66118" "75.8385" "0.235523" "106.594" "0.331037" "0" "2345" "5942" "5942" "4145" "15550" "0"
"19" "1" "432" "248.257" "0.574669" "101.998" "0.236106" "0" "0" "659.8" "1.52731" "13.2781" "0.0307364" "21.1077" "0.0488604" "0" "0" "14618" "8422" "26764" "201658" "45136"
"20" "1" "643" "188.474" "0.293117" "121.582" "0.189085" "70.1384" "0.10908" "166" "0.258165" "25.6297" "0.0398595" "3.07021" "0.00477482" "5750" "2122" "747" "307" "40424" "187787" "58796"
"21" "1" "1002" "419.387" "0.41855" "0" "0" "123.881" "0.123634" "215.8" "0.215369" "10.9143" "0.0108925" "8.82685" "0.00880923" "4543" "6457" "15920" "13733" "14866" "81730" "12292"
"22" "1" "570" "218.349" "0.383069" "384.078" "0.673821" "201.868" "0.354154" "273.7" "0.480175" "7.86473" "0.0137978" "2.20671" "0.00387142" "0" "697" "4875" "3327" "5304" "82050" "30455"
"23" "1" "997" "59.7829" "0.0599627" "0" "0" "71.1892" "0.0714034" "268.2" "0.269007" "22.3247" "0.0223919" "13.2882" "0.0133282" "0" "943" "5157" "774" "420" "74544" "22949"
"24" "1" "565" "0" "0" "44.5881" "0.078917" "0" "0" "0" "0" "0.131322" "0.000232428" "0.863496" "0.00152831" "0" "29686" "45484" "21999" "39019" "64898" "137636"
"25" "1" "772" "0" "0" "248.695" "0.322144" "0" "0" "291.6" "0.37772" "11.2353" "0.0145535" "15.6389" "0.0202576" "0" "7443" "41055" "21158" "40003" "113421" "43448"
"26" "1" "449" "850.096" "1.89331" "129.714" "0.288895" "0" "0" "376.9" "0.839421" "21.0699" "0.0469262" "21.3955" "0.0476515" "2520" "1665" "28455" "28455" "51717" "132804" "0"
"27" "1" "948" "1187.15" "1.25227" "255.649" "0.269672" "50.5821" "0.0533566" "227.7" "0.24019" "19.5743" "0.020648" "19.2368" "0.020292" "8247" "3431" "11560" "10560" "8246" "218234" "284"
"28" "1" "719" "260.939" "0.362919" "60.437" "0.084057" "0" "0" "575" "0.976231" "100.396" "0.139632" "33.5804" "0.0467043" "12383" "1394" "42790" "0" "41403" "5312" "47670"
"29" "1" "634" "0" "0" "3.96308" "0.00625091" "110.951" "0.175002" "74.8" "0.152342" "2.04279" "0.00322206" "6.71608" "0.0105932" "0" "1443" "20948" "3042" "31408" "6685" "37647"
"30" "1" "693" "78.1541" "0.112776" "0" "0" "0" "0" "41.6" "0.0702703" "12.1327" "0.0175075" "34.7797" "0.0501872" "10614" "11308" "11373" "11373" "11120" "76043" "10340"
"31" "1" "1135" "327.945" "0.288939" "0" "0" "3815.66" "3.36181" "656.2" "0.57815" "16.8238" "0.0148227" "63.8507" "0.0562562" "0" "0" "2095" "640" "0" "474539" "42672"
"32" "1" "950" "334.773" "0.352392" "0" "0" "68.6326" "0.0722448" "125.3" "0.157809" "3.12254" "0.00328689" "7.67552" "0.00807949" "0" "3301" "17514" "17679" "16697" "779256" "105"
"33" "1" "465" "146.764" "0.315622" "150.363" "0.323361" "0" "0" "199.7" "0.429462" "7.3978" "0.0159092" "20.1962" "0.0434327" "0" "2893" "117182" "78037" "70048" "7350" "191631"
"34" "1" "713" "0" "0" "282.579" "0.396324" "0" "0" "0" "0" "3.14443" "0.00441014" "6.71608" "0.00941947" "3860" "183" "7686" "7666" "7801" "4767" "75897"
"35" "1" "636" "61.9509" "0.097407" "43.3015" "0.0680841" "0" "0" "365.3" "0.574371" "7.52913" "0.0118383" "25.5211" "0.0401275" "0" "19959" "36279" "12357" "12175" "12699" "6203"
"36" "1" "626" "261.089" "0.417075" "39.8369" "0.0636373" "110.951" "0.177238" "675.6" "1.07923" "5.96056" "0.00952166" "11.7531" "0.018775" "0" "4980" "30726" "30726" "30501" "116440" "24557"
"37" "1" "578" "315.376" "0.545633" "299.387" "0.517971" "0" "0" "267.3" "0.462457" "4.10016" "0.0070937" "0" "0" "15379" "0" "27510" "25905" "224538" "92134" "458773"
"38" "1" "369" "0" "0" "0" "0" "0" "0" "17.7" "0.0479675" "2.15952" "0.00585235" "0" "0" "22264" "4606" "7180" "7180" "6439" "63655" "202"
"39" "1" "680" "156.608" "0.230306" "118.892" "0.174842" "0" "0" "625.9" "0.920441" "5.57388" "0.00819689" "13.4322" "0.0197532" "19710" "6849" "9423" "9423" "8682" "65898" "2445"
"40" "1" "668" "1368.2" "2.0482" "365.616" "0.54733" "273.765" "0.409827" "1067.9" "1.59865" "182.691" "0.273489" "76.4674" "0.114472" "0" "0" "1296" "1282" "5052" "80395" "990"
"41" "1" "355" "224.848" "0.633375" "0" "0" "0" "0" "277.6" "0.781972" "9.06122" "0.0255246" "0.527692" "0.00148646" "2730" "11924" "13700" "13700" "13182" "782851" "3915"
"42" "1" "471" "81.9346" "0.173959" "92.1819" "0.195715" "54.4791" "0.115667" "125.3" "0.26603" "6.60987" "0.0140337" "0" "0" "40290" "404" "1877" "1997" "1587" "57269" "285237"
"43" "1" "515" "362.522" "0.703926" "0" "0" "0" "0" "149.6" "0.290485" "5.3842" "0.0104547" "20.2922" "0.0394023" "2317" "354" "10729" "9151" "8671" "175987" "21371"
"44" "1" "652" "1007.49" "1.54523" "0" "0" "0" "0" "323.1" "0.495552" "9.68864" "0.0148599" "7.67552" "0.0117723" "0" "196" "8217" "7537" "7472" "204859" "22378"
"45" "1" "548" "0" "0" "57.656" "0.105212" "0" "0" "137.3" "0.250547" "12.6069" "0.0230053" "14.7754" "0.0269624" "0" "3232" "28791" "12520" "15715" "188468" "6872"
"46" "1" "907" "0" "0" "0" "0" "0" "0" "370.6" "0.534006" "2.72858" "0.00300835" "0" "0" "23830" "22818" "56654" "50474" "56275" "22893" "60294"
"47" "1" "442" "0" "0" "190.81" "0.431697" "0" "0" "349.2" "0.790045" "2.11574" "0.00478674" "18.0855" "0.0409173" "0" "20247" "86054" "32772" "167326" "55405" "273865"
"48" "1" "452" "212.396" "0.469902" "0" "0" "0" "0" "366.3" "0.830612" "0.627427" "0.00138811" "0" "0" "31441" "5798" "8558" "7591" "56808" "56310" "634"
"49" "1" "910" "0" "0" "74.2233" "0.0815641" "0" "0" "403.8" "0.472834" "8.06901" "0.00886704" "6.71608" "0.00738031" "0" "3957" "3975" "3995" "24210" "832621" "363041"
"50" "1" "990" "36.7784" "0.0371499" "284.379" "0.287251" "0" "0" "71" "0.0717172" "2.04279" "0.00206342" "22.0671" "0.02229" "0" "12865" "184414" "8514" "248545" "14636" "197602"
"51" "1" "465" "0" "0" "14.783" "0.0317913" "0" "0" "228.5" "0.491398" "2.58266" "0.00555411" "6.71608" "0.0144432" "19824" "633" "205813" "11747" "269944" "5655" "219001"
"52" "1" "752" "8.3619" "0.0111195" "139.18" "0.18508" "17.548" "0.0233351" "89" "0.140157" "11.6147" "0.0154451" "13.4322" "0.0178619" "0" "2489" "390603" "0" "454734" "190445" "403791"
"53" "1" "470" "105.738" "0.224974" "0" "0" "0" "0" "115" "0.244681" "1.02139" "0.00217318" "7.09986" "0.0151061" "29191" "5047" "128577" "1137" "127715" "357824" "150112"
"54" "1" "645" "134.857" "0.209081" "166.02" "0.257396" "0" "0" "44.3" "0.0686822" "1.40077" "0.00217173" "1.29524" "0.00200813" "18627" "3848" "7322" "6840" "35595" "299850" "122884"
"55" "1" "593" "586.483" "0.989011" "192.458" "0.324549" "35.5227" "0.0599033" "69.4" "0.117032" "21.1064" "0.0355925" "66.2014" "0.111638" "24718" "2054" "1885" "1625" "2900" "153281" "71659"
"56" "1" "419" "0" "0" "103.044" "0.245929" "0" "0" "0" "0" "5.85842" "0.0139819" "20.9158" "0.0499184" "52086" "3973" "167567" "2933" "159811" "112907" "303982"
"57" "1" "888" "201.362" "0.226759" "97.071" "0.109314" "69.9934" "0.0788215" "91.5" "0.103041" "3.05688" "0.00344243" "6.71608" "0.00756315" "5651" "1873" "400642" "335915" "400203" "574123" "1208786"
"58" "1" "339" "0" "0" "0" "0" "0" "0" "412" "1.21534" "2.8526" "0.00841476" "0" "0" "0" "0" "839510" "16488" "838837" "840070" "1588320"
"59" "1" "712" "229.971" "0.322993" "0" "0" "154.912" "0.217573" "241" "0.338483" "5.66873" "0.0079617" "14.6794" "0.0206172" "0" "545" "796652" "20016" "917435" "918668" "1509349"
"60" "1" "559" "39.0429" "0.0698442" "133.133" "0.238162" "97.6046" "0.174606" "183.6" "0.328444" "3.82292" "0.00683886" "0.575664" "0.00102981" "993" "3820" "58184" "58184" "256861" "535264" "770881"
"61" "1" "866" "4.401" "0.00508199" "350.679" "0.404942" "41.2541" "0.0476375" "154.7" "0.178637" "0" "0" "0" "0" "24145" "1948" "26045" "26045" "224722" "503125" "738742"
"62" "1" "647" "121.369" "0.187587" "397.327" "0.614106" "0" "0" "0.5" "0.000772798" "12.14" "0.0187635" "25.4252" "0.039297" "6791" "777" "71396" "69036" "128028" "147576" "383193"
"63" "1" "572" "32.1811" "0.0562607" "118.892" "0.207854" "110.951" "0.19397" "42.7" "0.0746504" "10.7538" "0.0188004" "29.3109" "0.0512428" "0" "1905" "2072" "2052" "115051" "222601" "108757"
"64" "1" "433" "2.73336" "0.00631261" "47.4652" "0.109619" "0" "0" "82.3" "0.190069" "12.8112" "0.029587" "6.71608" "0.0155106" "5622" "3910" "21119" "6620" "138962" "198829" "132668"
"65" "1" "732" "180.043" "0.245961" "413.111" "0.564359" "72.7125" "0.099334" "0" "0" "13.9931" "0.0191162" "14.5355" "0.0198573" "24374" "2855" "21288" "17133" "17879" "17559" "710526"
"66" "1" "479" "416.063" "0.868609" "644.061" "1.3446" "0" "0" "585.6" "1.22255" "19.0709" "0.0398139" "148.713" "0.310466" "1091" "957" "0" "0" "102670" "47777" "589232"
"67" "1" "610" "53.6324" "0.087922" "221.738" "0.363505" "0" "0" "28.3" "0.0463934" "4.81514" "0.00789368" "10.0741" "0.016515" "7861" "2817" "15002" "15298" "60559" "432" "85118"
"68" "1" "844" "58.2813" "0.0690536" "0" "0" "0" "0" "70.1" "0.0830569" "1.88228" "0.00223019" "15.3511" "0.0181885" "33061" "8548" "59855" "22113" "537112" "1100697" "2034866"
"69" "1" "671" "0" "0" "118.892" "0.177187" "110.951" "0.165352" "0" "0" "12.9717" "0.0193319" "29.7426" "0.0443259" "0" "1945" "64677" "52978" "440317" "53982" "2742542"
"70" "1" "488" "211.476" "0.433352" "118.892" "0.243632" "0" "0" "0" "0" "3.06418" "0.00627905" "0" "0" "40474" "129084" "132486" "29566" "324212" "979571" "1121250"
"71" "1" "785" "105.738" "0.134698" "0" "0" "0" "0" "91" "0.172023" "5.7271" "0.00729567" "26.8643" "0.0342221" "2699" "53217" "56619" "37548" "248345" "903704" "1045383"
"72" "1" "970" "119.53" "0.123227" "126.819" "0.130741" "56.6233" "0.0583746" "187.9" "0.193711" "8.79857" "0.00907069" "14.3916" "0.0148367" "52089" "1708" "12366" "8711" "30916" "455159" "596838"
"73" "1" "671" "754.88" "1.12501" "0" "0" "150.74" "0.22465" "253" "0.377049" "32.0134" "0.04771" "47.5403" "0.0708499" "0" "608" "16987" "1014" "1061" "93111" "15853"
