Chr	Start	End	DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	10000	10753	1	753	105.738	0.140422	0	0	110.951	0.147345	105.738	0	82.0398	0.108951	107.457	0.142706	869781	810804	702507	703303	0	80481	699196
chr1	65982	66847	1	865	0	0	0	0	0	0	0	0	3.55299	0.0041075	5.90056	0.00682145	813687	754710	646413	647209	55398	24387	643102
chr1	119052	119509	1	457	0	0	0	0	0	0	0	0	0	0	0	0	761025	702048	593751	594547	108468	27524	590440
chr1	120745	121356	1	611	0	0	0	0	0	0	0	0	0	0	0	0	759178	700201	591904	592700	110161	29217	588593
chr1	123002	123452	1	450	0	0	0	0	0	0	0	0	0	0	0	0	757082	698105	589808	590604	112181	31474	586497
chr1	260785	261885	0	1100	0	0	0	0	0	0	0	0	0	0	0	0	618649	559672	451375	452171	25004	169257	448064
chr1	264649	266040	1	1391	0	0	0	0	0	0	0	0	0	0	0	0	614494	555517	447220	448016	28868	173121	443909
chr1	339615	340155	1	540	0	0	0	0	0	0	0	0	0	0	0	0	540379	481402	373105	373901	103834	248087	369794
chr1	343780	344736	1	956	0	0	0	0	0	0	0	0	0	0	0	0	535798	476821	368524	369320	107999	252252	365213
chr1	442569	442868	1	299	0	0	0	0	0	0	0	0	0	0	0	0	437666	378689	270392	271188	97766	271252	267081
chr1	446367	447282	1	915	0	0	0	0	0	0	0	0	0	0	0	0	433252	374275	265978	266774	93352	266838	262667
chr1	470006	470836	1	830	0	0	0	0	0	0	0	0	0	0	0	0	409698	350721	242424	243220	69798	243284	239113
chr1	551117	552025	0	908	0	0	0	0	0	0	0	0	0	0	0	0	328509	269532	161235	162031	4284	162095	157924
