Chr	Start	End	DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
chr1	72784580	72785333	0	753	105.738	0.140422	237.793	0.315794	0	0	105.738	237.793	12.0014	0.0159381	22.0671	0.0293056
chr1	248147144	248150118	0	2974	392.139	0.131856	356.677	0.119932	221.902	0.0746141	392.139	356.677	2834.47	0.953083	1263.01	0.424683
chr1	122301518	122302588	0	1070	0	0	0	0	0	0	0	0	11.0383	0.0103162	14.3916	0.0134501
chr1	212395625	212396196	0	571	46.9641	0.0822489	0	0	0	0	46.9641	0	5.43527	0.00951887	0	0
chr1	230565649	230566456	0	807	332.876	0.412486	1413.44	1.75147	208.185	0.257975	332.876	1413.44	9.71783	0.0120419	32.0453	0.0397092
chr1	66891094	66892253	0	1159	598.757	0.516615	336.653	0.290468	671.499	0.579378	598.757	336.653	0	0	0	0
chr1	47817748	47818441	0	693	360.429	0.5201	118.892	0.171562	283.117	0.408538	360.429	118.892	29.5693	0.0426686	48.7396	0.0703312
chr1	121436034	121436865	0	831	0	0	0	0	0	0	0	0	3.21009	0.00386293	27.0082	0.0325009
chr1	80063662	80064406	0	744	79.8525	0.107329	203.089	0.27297	110.951	0.149128	79.8525	203.089	9.86374	0.0132577	25.5211	0.0343026
chr1	110267305	110269048	0	1743	483.76	0.277544	1153.74	0.66193	11.0822	0.00635814	483.76	1153.74	39.9219	0.0229041	43.1748	0.0247704
chr1	167714087	167715207	0	1120	1219.94	1.08923	455.512	0.406707	279.58	0.249625	1219.94	455.512	32.9764	0.0294432	26.8643	0.023986
chr1	128469571	128470030	0	459	0	0	0	0	0	0	0	0	0	0	0	0
chr1	103675580	103677038	0	1458	149.445	0.1025	347.597	0.238406	164.466	0.112803	149.445	347.597	22.5874	0.015492	34.0601	0.0233609
chr1	13262538	13263294	0	756	0	0	0	0	0	0	0	0	5.83653	0.00772028	14.3916	0.0190365
chr1	82187216	82187973	0	757	226.135	0.298726	356.685	0.471183	185.495	0.24504	226.135	356.685	10.8632	0.0143504	19.1888	0.0253485
chr1	89708275	89709411	0	1136	605.419	0.532939	678.485	0.597258	377.655	0.332443	605.419	678.485	22.1642	0.0195108	50.2747	0.0442559
chr1	151662401	151668287	0	5886	10905.6	1.8528	1542.76	0.262107	564.996	0.0959898	10905.6	1542.76	77.4508	0.0131585	111.151	0.018884
chr1	41292604	41293016	0	412	482.389	1.17085	625.118	1.51728	0	0	482.389	625.118	0	0	0	0
chr1	217823888	217824504	0	616	0	0	224.91	0.365113	130.846	0.212412	0	224.91	14.8832	0.024161	8.7309	0.0141735
chr1	92711122	92713960	0	2838	5685.17	2.00323	901.916	0.3178	615.927	0.217029	5685.17	901.916	47.5531	0.0167559	43.1748	0.0152131
