Chr	Start	End	DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
chr1	78106256	78107009	0	753	1405.12	1.86603	0	0	0	0	1405.12	0	8.79857	0.0116847	6.71608	0.0089191
chr1	37721421	37722286	0	865	62.7141	0.0725019	774.768	0.895686	66.7814	0.077204	62.7141	774.768	6.96006	0.00804632	0	0
chr1	161638931	161639388	0	457	0	0	0	0	0	0	0	0	0.897367	0.0019636	0	0
chr1	67071110	67071721	0	611	316.9	0.518657	489.867	0.801747	108.3	0.17725	316.9	489.867	14.4673	0.0236781	14.3916	0.0235542
chr1	124895334	124895784	0	450	0	0	0	0	0	0	0	0	0	0	0	0
chr1	53323523	53324914	0	1391	1773.33	1.27486	0	0	45.1456	0.0324555	1773.33	0	24.9877	0.0179638	46.4849	0.0334183
chr1	162891539	162892079	0	540	166.878	0.309033	386.22	0.715221	33.6997	0.0624068	166.878	386.22	8.47756	0.0156992	14.3916	0.0266511
chr1	99712163	99713119	0	956	287.054	0.300265	373.435	0.390622	0	0	287.054	373.435	6.94547	0.00726513	0	0
chr1	152793048	152793347	0	299	192.838	0.644944	267.443	0.894457	0	0	192.838	267.443	3.85211	0.0128833	2.01482	0.00673854
chr1	197824289	197825204	0	915	103.233	0.112822	507.966	0.555154	0	0	103.233	507.966	5.01942	0.0054857	1.87091	0.00204471
chr1	240264314	240265144	0	830	84.1667	0.101406	750.007	0.903623	341.251	0.411145	84.1667	750.007	11.9576	0.0144067	21.9712	0.0264713
chr1	191211905	191217798	0	5893	1994.92	0.338524	2367.13	0.401686	1669.98	0.283384	1994.92	2367.13	51.3615	0.00871567	73.8769	0.0125364
chr1	26453277	26454315	0	1038	348.925	0.336151	842.026	0.8112	334.026	0.321798	348.925	842.026	30.8898	0.029759	32.3331	0.0311495
chr1	25059294	25059782	0	488	125.145	0.256444	162.357	0.332699	287.443	0.589022	125.145	162.357	48.7934	0.0999866	85.2462	0.174685
chr1	238556663	238557330	0	667	463.672	0.69516	209.516	0.314117	101.769	0.152577	463.672	209.516	7.7334	0.0115943	2.3986	0.0035961
chr1	70867832	70870806	0	2974	814.76	0.273961	2390.31	0.803736	745.726	0.250749	814.76	2390.31	48.6329	0.0163527	117.723	0.0395842
chr1	55541277	55541847	0	570	673.692	1.18192	155.712	0.273178	102.951	0.180616	673.692	155.712	5.13614	0.00901078	2.97426	0.00521801
chr1	52359726	52363553	0	3827	1058.62	0.27662	3001.73	0.784355	1271.15	0.332153	1058.62	3001.73	111.244	0.0290683	152.935	0.0399621
chr1	42495304	42496149	0	845	318.485	0.376905	440.517	0.521322	375.078	0.443879	318.485	440.517	5.02671	0.00594877	7.67552	0.00908346
chr1	119676578	119677651	0	1073	945.254	0.880945	0	0	245.041	0.22837	945.254	0	7.58749	0.00707129	32.573	0.0303569
chr1	99476322	99476672	0	350	117.752	0.336435	380.007	1.08573	38.5625	0.110179	117.752	380.007	6.85792	0.0195941	0.143916	0.000411189
chr1	146255116	146255454	0	338	0	0	0	0	0	0	0	0	0	0	0	0
chr1	99038542	99039351	0	809	169.23	0.209184	92.1116	0.113859	150.743	0.186332	169.23	92.1116	9.88563	0.0122196	8.92279	0.0110294
chr1	122522225	122523031	0	806	0	0	0	0	0	0	0	0	0	0	0	0
chr1	78725486	78725893	0	407	0	0	114.929	0.282382	0	0	0	114.929	0.868185	0.00213313	0	0
chr1	141827644	141827966	0	322	0	0	0	0	0	0	0	0	0	0	0	0
chr1	114421181	114421613	0	432	0	0	0	0	0	0	0	0	7.7334	0.0179014	13.8159	0.0319814
chr1	20726107	20726750	0	643	302.307	0.47015	1111.51	1.72863	0	0	302.307	1111.51	11.1186	0.0172917	6.71608	0.0104449
chr1	230743609	230745955	0	2346	228.807	0.0975309	1312.93	0.559648	354.737	0.151209	228.807	1312.93	45.452	0.0193742	67.1608	0.0286278
chr1	245308748	245309750	0	1002	167.263	0.166929	504.133	0.503126	122.809	0.122564	167.263	504.133	16.0651	0.016033	23.2664	0.02322
chr1	235722222	235722792	0	570	79.4119	0.139319	501.006	0.878958	62.7537	0.110094	79.4119	501.006	9.28739	0.0162937	3.50196	0.00614378
chr1	59599244	59600241	0	997	465.4	0.466801	752.763	0.755028	185.787	0.186346	465.4	752.763	12.5339	0.0125717	20.0523	0.0201126
chr1	129551489	129552497	0	1008	0	0	0	0	0	0	0	0	0	0	0	0
chr1	243882473	243883077	0	604	758.233	1.25535	324.326	0.536963	128.221	0.212286	758.233	324.326	8.40461	0.0139149	13.4322	0.0222387
chr1	126670355	126670920	0	565	0	0	0	0	0	0	0	0	0	0	0	0
chr1	5196202	5198703	0	2501	897.566	0.358883	2554.84	1.02153	322.846	0.129087	897.566	2554.84	18.2683	0.00730441	44.9018	0.0179535
chr1	143727316	143728088	0	772	0	0	0	0	0	0	0	0	0	0	0	0
chr1	136083214	136084016	0	802	0	0	0	0	0	0	0	0	0	0	0	0
chr1	200680306	200681161	0	855	88.4809	0.103486	0	0	110.951	0.129767	88.4809	0	11.4688	0.0134138	26.6245	0.0311397
chr1	47269744	47270193	0	449	57.3593	0.127749	484.033	1.07802	449.771	1.00172	57.3593	484.033	18.6769	0.0415967	20.1962	0.0449805
chr1	84656882	84657830	0	948	661.539	0.697826	110.428	0.116486	215.776	0.227612	661.539	110.428	5.61037	0.00591811	21.3476	0.0225185
chr1	191693999	191694718	0	719	376.016	0.52297	419.754	0.583803	0	0	376.016	419.754	2.94744	0.00409936	4.4614	0.006205
chr1	238481649	238484541	0	2892	1276.45	0.441374	991.664	0.342899	326.674	0.112958	1276.45	991.664	38.3168	0.0132492	49.8909	0.0172513
chr1	206882101	206883261	0	1160	1354.41	1.1676	439.141	0.37857	597.939	0.515464	1354.41	439.141	20.6613	0.0178115	28.7832	0.0248131
chr1	63274613	63275247	0	634	833.565	1.31477	332.398	0.524286	3.8259	0.00603454	833.565	332.398	14.9561	0.0235901	15.9267	0.025121
chr1	74309012	74310968	0	1956	405.673	0.207399	822.517	0.42051	277.029	0.141631	405.673	822.517	21.8724	0.0111822	50.1787	0.0256538
chr1	28499312	28500005	0	693	184.237	0.265855	150.043	0.216512	452.334	0.652719	184.237	150.043	838.017	1.20926	763.283	1.10142
chr1	118815890	118817025	0	1135	371.974	0.32773	1284.31	1.13155	59.7778	0.0526677	371.974	1284.31	18.1662	0.0160055	23.5063	0.0207104
chr1	126668738	126669688	0	950	0	0	0	0	0	0	0	0	0	0	0	0
chr1	70994616	70995557	0	941	353.244	0.375392	947.202	1.00659	258.32	0.274517	353.244	947.202	17.3783	0.0184679	31.5656	0.0335447
chr1	85013788	85014532	0	744	604.434	0.812412	274.868	0.369446	77.2748	0.103864	604.434	274.868	7.01113	0.00942356	21.7793	0.0292733
chr1	72666380	72668131	0	1751	268.575	0.153384	335.4	0.191548	101.706	0.0580845	268.575	335.4	23.9298	0.0136664	42.2154	0.0241093
chr1	217249733	217250272	0	539	128.511	0.238425	665.604	1.23489	0	0	128.511	665.604	14.2922	0.0265162	14.3916	0.0267006
