Chr	Start	End	DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
chr1	10000	10753	1	753	105.738	0.140422	0	0	110.951	0.147345	105.738	0	82.0398	0.108951	107.457	0.142706
chr1	120745	121356	1	611	0	0	0	0	0	0	0	0	0	0	0	0
chr1	341221	342400	1	1179	0	0	0	0	0	0	0	0	0	0	0	0
chr1	446367	447174	1	807	0	0	0	0	0	0	0	0	0	0	0	0
chr1	470006	470836	1	830	0	0	0	0	0	0	0	0	0	0	0	0
chr1	564463	570356	1	5893	960.883	0.163055	788.672	0.133832	110.951	0.0188276	960.883	788.672	111925	18.9929	236160	40.0747
chr1	724131	727105	1	2974	528.69	0.177771	727.663	0.244675	208.25	0.0700234	528.69	727.663	33.8519	0.0113826	40.0087	0.0134528
chr1	2583627	2587454	1	3827	1346.95	0.35196	3868.02	1.01072	176.938	0.0462341	1346.95	3868.02	297.692	0.0777874	378.355	0.0988647
chr1	2599496	2605501	1	6005	0	0	0	0	0	0	0	0	6.71201	0.00111774	0	0
chr1	2627004	2627849	1	845	0	0	118.892	0.140701	0	0	0	118.892	20.7708	0.0245808	61.5961	0.0728948
chr1	4159650	4160723	1	1073	0	0	265.918	0.247826	178.952	0.166777	0	265.918	5.90219	0.00550065	0	0
chr1	5274225	5275156	1	931	99.9566	0.107365	0	0	0	0	99.9566	0	3.356	0.00360473	0	0
chr1	8921213	8923559	1	2346	16915.7	7.21045	928.713	0.395871	579.612	0.247064	16915.7	928.713	318.835	0.135906	315.464	0.134469
chr1	9793050	9793812	1	762	9050.72	11.8776	259.707	0.340823	581.282	0.762838	9050.72	259.707	141.12	0.185197	98.5345	0.12931
chr1	10247484	10248492	1	1008	155.389	0.154156	0	0	0	0	155.389	0	4.23878	0.00420514	0	0
chr1	11433938	11434613	1	675	932.814	1.38195	1386.97	2.05476	120.433	0.17842	932.814	1386.97	69.8925	0.103544	91.8664	0.136098
chr1	14806875	14807479	1	604	95.6743	0.158401	217.611	0.360282	0	0	95.6743	217.611	12.1108	0.020051	0	0
chr1	17734810	17737311	1	2501	23755.3	9.49833	1081.79	0.432542	600.444	0.240082	23755.3	1081.79	183.785	0.0734847	209.206	0.0836489
chr1	20824121	20825104	1	983	4655.74	4.73626	712.283	0.724602	169.876	0.172814	4655.74	712.283	39.4039	0.0400854	32.573	0.0331363
chr1	21038868	21039670	1	802	31.6866	0.0395094	179.647	0.223998	57.3812	0.0715477	31.6866	179.647	10.0607	0.0125445	17.126	0.0213541
chr1	21506084	21506939	1	855	78.9368	0.0923238	191.539	0.224023	0	0	78.9368	191.539	11.7752	0.0137722	41.9755	0.0490942
chr1	25226758	25229650	1	2892	12501.4	4.32275	998.016	0.345095	2029.74	0.701847	12501.4	998.016	1154.16	0.399087	1089.4	0.376693
chr1	25237072	25237975	1	903	5656.05	6.26362	439.507	0.486719	224.136	0.248212	5656.05	439.507	143.134	0.158509	108.513	0.120169
chr1	25254925	25255722	1	797	1506.96	1.8908	140.623	0.17644	39818.9	49.961	1506.96	140.623	757.932	0.950982	479.864	0.602088
chr1	25328198	25329358	1	1160	76.5936	0.066029	215.049	0.185387	90.9634	0.0784168	76.5936	215.049	35.4934	0.0305978	18.5652	0.0160045
chr1	26794989	26796945	1	1956	6926.59	3.5412	762.227	0.389687	741.145	0.378909	6926.59	762.227	140.836	0.0720018	183.061	0.0935896
chr1	26883265	26883840	1	575	5804.32	10.0945	333.481	0.579968	431.762	0.75089	5804.32	333.481	52.1276	0.0906566	54.6881	0.0951097
chr1	27107344	27108428	1	1084	3045.66	2.80965	187.325	0.172809	0	0	3045.66	187.325	35.6175	0.0328574	72.6296	0.0670015
chr1	27726632	27728007	1	1375	1196.31	0.870045	522.934	0.380316	189.932	0.138133	1196.31	522.934	181.83	0.13224	111.583	0.0811512
chr1	27728423	27729986	1	1563	3227.78	2.06512	506.574	0.324104	412.525	0.263932	3227.78	506.574	410.206	0.262448	269.219	0.172245
chr1	27730094	27730891	1	797	1449.19	1.81831	265.338	0.332921	657.72	0.825245	1449.19	265.338	213.34	0.267679	156.389	0.196222
chr1	27731244	27732667	1	1423	3581.03	2.51653	219.983	0.154591	100.999	0.070976	3581.03	219.983	119.583	0.084036	103.907	0.0730199
chr1	28833003	28833944	1	941	3463.85	3.68103	278.324	0.295775	73030.5	77.6094	3463.85	278.324	489.576	0.520272	276.271	0.293593
chr1	28834476	28835462	1	986	4189.34	4.24882	324.971	0.329585	45741.2	46.3906	4189.34	324.971	118.569	0.120253	139.551	0.141532
chr1	28907039	28908107	1	1068	2390.02	2.23785	250.422	0.234477	55376	51.8502	2390.02	250.422	622.977	0.583312	334.749	0.313435
chr1	30196080	30196824	1	744	198.997	0.26747	181.876	0.244457	0	0	198.997	181.876	5.20181	0.00699168	19.4287	0.0261138
chr1	30243133	30244876	1	1743	192.167	0.110251	129.319	0.0741936	7.29318	0.00418427	192.167	129.319	17.4658	0.0100206	30.7021	0.0176145
chr1	30246765	30247304	1	539	28.6981	0.0532433	191.254	0.35483	28.952	0.0537143	28.6981	191.254	0	0	0	0
chr1	31127942	31128672	1	730	322.2	0.44137	120.872	0.165578	29.0768	0.0398313	322.2	120.872	8.71832	0.0119429	0	0
chr1	31205082	31208027	1	2945	15022.4	5.10098	664.03	0.225477	1127.01	0.382687	15022.4	664.03	783.671	0.266102	431.316	0.146457
chr1	31208495	31209645	1	1150	6224.4	5.41253	344.489	0.299556	262.655	0.228395	6224.4	344.489	78.5743	0.0683255	52.2895	0.0454691
chr1	31589792	31591068	1	1276	144.845	0.113515	18.8246	0.0147528	0	0	144.845	18.8246	7.72611	0.00605495	37.0824	0.0290614
chr1	31904598	31905057	1	459	84.1139	0.183255	143.4	0.312419	0	0	84.1139	143.4	38.8859	0.0847188	23.5543	0.0513165
chr1	31967610	31968179	1	569	0	0	40.8224	0.071744	0	0	0	40.8224	0	0	0	0
chr1	32795292	32798155	1	2863	13602.9	4.75128	817.705	0.285611	420.028	0.146709	13602.9	817.705	216.915	0.0757648	226.428	0.0790876
chr1	32798458	32801074	1	2616	8803.71	3.36533	1150.87	0.439935	50966.7	19.4827	8803.71	1150.87	1373.29	0.524959	775.468	0.296433
chr1	35654561	35657032	1	2471	15348.3	6.21139	1517.69	0.614201	54659.9	22.1206	15348.3	1517.69	128.834	0.0521385	178.024	0.0720454
chr1	36868833	36869902	1	1069	105.738	0.0989129	182.307	0.17054	0	0	105.738	182.307	9.04663	0.0084627	0	0
chr1	37009471	37010986	1	1515	264.964	0.174894	228.135	0.150584	0	0	264.964	228.135	6.23779	0.00411735	12.5207	0.00826449
chr1	37946053	37949749	1	3696	25836.8	6.99048	1150.59	0.311307	2048.74	0.554313	25836.8	1150.59	553.479	0.149751	396.249	0.10721
chr1	40426988	40427433	1	445	314.023	0.70567	0	0	9.60746	0.0215898	314.023	0	9.7397	0.021887	21.7793	0.0489422
