Chr	Start	End	DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
chr1	7538354	7539107	0	753	269.652	0.358103	568.126	0.754484	558.559	0.741778	269.652	568.126	15.0437	0.0199783	43.1748	0.0573371
chr1	125510925	125511536	0	611	0	0	0	0	0	0	0	0	6.2159	0.0101733	0.527692	0.000863653
chr1	182413946	182415125	0	1179	235.601	0.199831	95.4596	0.0809666	480.234	0.407323	235.601	95.4596	5.8876	0.00499372	13.4322	0.0113928
chr1	139581560	139582367	0	807	0	0	0	0	0	0	0	0	2.58266	0.00320033	6.57216	0.00814395
chr1	150728891	150729721	0	830	1716.01	2.06748	0	0	8.77401	0.0105711	1716.01	0	10.1847	0.0122708	16.9821	0.0204604
chr1	25106138	25112031	0	5893	5841.47	0.991255	1571.26	0.266631	420.096	0.0712872	5841.47	1571.26	151.013	0.0256258	109.376	0.0185604
chr1	60280050	60283024	0	2974	1611.67	0.541918	2317.07	0.77911	45586.2	15.3282	1611.67	2317.07	34.9754	0.0117604	77.7147	0.0261314
chr1	162269426	162273253	0	3827	1132.72	0.295982	4911.12	1.28328	302.558	0.0790588	1132.72	4911.12	48.4432	0.0126583	56.607	0.0147915
chr1	63168671	63174676	0	6005	1211.68	0.201779	1089.92	0.181501	599.649	0.0998583	1211.68	1089.92	0	0	0	0
chr1	120405795	120406640	0	845	160.492	0.189931	345.739	0.409158	282.382	0.33418	160.492	345.739	4.89539	0.00579337	24.8975	0.0294645
chr1	167521907	167522980	0	1073	960.254	0.894925	304.623	0.283899	33212.3	30.9528	960.254	304.623	6.84333	0.00637775	14.3916	0.0134125
chr1	201857883	201858814	0	931	850.717	0.913767	3201.06	3.43831	4062.23	4.36329	850.717	3201.06	13.2197	0.0141995	10.1221	0.0108723
chr1	42214517	42216863	0	2346	2277.3	0.970718	929.444	0.396182	1789.92	0.762967	2277.3	929.444	31.6486	0.0134904	47.3004	0.0201622
chr1	100341573	100342335	0	762	1216.44	1.59638	40.1629	0.0527072	0	0	1216.44	40.1629	17.5242	0.0229976	0	0
