Chr	Start	End	DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	10000	10753	1	753	105.738	0	110.951	53.5	82.0398	107.457	699196	80481	703303	0	702507	810804	869781
chr1	724131	727105	1	2974	528.69	727.663	208.25	11687.7	33.8519	40.0087	0	9443	9507	9487	8616	94452	153429
chr1	4159650	4160720	1	1070	0	262.206	177.997	351	5.83653	0	0	1075	71826	52466	341427	632934	351409
chr1	19853590	19854161	1	571	0	187.26	0	111	10.7684	14.3916	0	7613	41086	21189	40034	113591	43479
chr1	21506084	21506891	1	807	78.9368	191.539	0	225.9	11.0748	39.0013	0	225	2520	1780	2097	323816	13070
chr1	25328198	25329357	1	1159	76.5936	215.049	90.9634	124.3	35.4715	18.5652	0	1504	19619	254	19737	51000	39759
chr1	26814730	26815423	1	693	78.1541	0	0	41.6	12.1327	34.7797	10614	11308	11373	11373	11120	76043	10340
chr1	28118143	28118974	1	831	229.516	0	68.6326	41	2.25436	7.67552	0	3301	17514	17679	16697	779256	105
chr1	30196080	30196824	1	744	198.997	181.876	0	482.6	5.20181	19.4287	7177	1637	16014	10996	609463	8614	651529
chr1	30243133	30244876	1	1743	192.167	129.319	7.29318	102.1	17.4658	30.7021	0	2786	63067	21320	656516	2307	698582
chr1	31589948	31591068	1	1120	144.845	18.8246	0	251.8	6.25239	30.7021	0	8642	36768	36748	36360	119969	57578
chr1	31904598	31905057	1	459	84.1139	143.4	0	860.4	38.8859	23.5543	9249	2270	8014	8014	7714	17497	63451
chr1	37009493	37010951	1	1458	264.964	228.135	0	0	5.82194	9.21063	11795	662	8545	8565	78843	9432	81191
chr1	45282007	45282763	1	756	149.424	43.2228	0	0	6.60987	17.8456	11665	23	2383	2113	1902	204188	9205
chr1	49635726	49636483	1	757	152.458	129.82	0	69	7.13516	24.8495	9892	2603	671573	76636	697233	386481	1268904
chr1	53262364	53263500	1	1136	372	41.6123	31.426	472.6	9.85644	38.9053	11234	4256	44876	44856	44376	162785	11540
chr1	56127697	56133583	1	5886	1268.86	1141.81	221.902	1118.9	108.384	129.428	0	17945	384233	0	445505	73729	491458
chr1	56193870	56194282	1	412	259.288	118.892	0	0	3.90318	0.71958	2390	11426	333274	62686	405037	139902	557631
chr1	57830523	57831139	1	616	199.035	162.844	0	139.4	3.21009	16.1186	6595	6357	57226	2080	590473	445023	1114627
chr1	59194437	59197275	1	2838	814.62	413.417	143.022	205.9	51.77	52.2895	9228	0	1993	1993	28375	510399	40819
chr1	63887567	63888272	1	705	100.897	0	3.92496	0.2	8.87883	6.71608	5061	3982	54243	18983	53367	102507	15597
chr1	67201638	67202677	1	1039	73.5568	118.892	148.445	0	14.5403	14.9673	28578	308	86671	2399	15479	13109	203798
chr1	71112029	71114397	1	2368	506.349	551.257	110.951	439.4	14.4454	28.7832	0	3266	136045	27159	233136	37816	212591
chr1	71267075	71267577	1	502	105.738	118.892	0	8.4	5.98244	0	6544	5196	108229	55851	277028	114726	258432
chr1	72393689	72394304	1	615	48.7314	89.1693	0	82.2	1.02139	0	0	5455	354252	221888	248961	348461	856036
chr1	75745495	75746442	1	947	262.906	309.613	66.382	253.6	4.59626	0	32322	1151	58494	13791	93955	132221	452957
chr1	76350605	76352667	1	2062	173.127	196.816	0	210	11.3812	36.4587	15700	12487	21829	21809	93804	242358	87510
chr1	77833090	77834137	1	1047	68.2535	81.6458	97.943	0	0.401262	1.67902	0	1649	91519	2619	45433	37344	192397
chr1	77909744	77910629	1	885	192.6	39.9168	8.31168	218.2	3.09336	12.6646	1550	1464	15027	14731	29497	29445	115905
chr1	80036762	80038424	1	1662	0	211.004	0	108.2	12.3443	15.3511	14620	14505	51398	51438	517718	873976	906149
chr1	81165479	81166323	1	844	58.2813	0	0	70.1	1.88228	15.3511	33061	8548	59855	22113	537112	1100697	2034866
chr1	82464267	82464803	1	536	0	152.705	0	42.8	1.8531	11.4173	12933	9	316577	153858	692217	197129	2490777
chr1	84357819	84358670	1	851	105.738	118.892	1.53036	108.7	8.01064	14.3916	52161	1780	12438	8758	30963	455231	596910
chr1	89370116	89370527	1	411	0	119.883	0	500.3	3.45085	4.89314	16653	8469	12772	12812	12226	581430	14089
chr1	90800225	90800875	1	650	317.215	91.1594	0	161.6	8.75479	59.0056	91502	1343	22841	22861	337956	370992	310504
chr1	90843804	90845009	1	1205	289.685	297.291	0	109.1	15.0728	21.1077	47368	10234	19940	19620	343872	326858	354083
chr1	91544343	91544791	1	448	0	110.2	0	36.6	4.82973	0	11805	14084	56579	15119	56003	124168	87960
chr1	91634131	91635208	1	1077	0	112.465	100.949	99.8	8.14926	27.5359	7689	1075	3076	3047	113273	33751	177748
chr1	91742623	91743875	1	1252	275.485	335.774	0	1152.5	17.0865	30.7021	3479	513	111568	521	4606	73504	231516
chr1	91924512	91926454	1	1942	120.49	372.199	194.371	384.9	9.5865	4.4614	26421	7636	39902	17882	39448	11748	48937
chr1	96730665	96731633	1	968	20.2281	0	127.785	0	5.66143	6.71608	4377	25768	455583	16029	455045	1577828	467325
chr1	102017379	102019906	1	2527	244.074	268.202	0	105.4	22.8135	88.2685	0	841	13297	13270	113335	1012831	150225
chr1	102558701	102559699	1	998	74.1001	11.0507	0	69.4	4.42117	0	46456	8701	525350	96057	654657	1012631	691547
chr1	102636207	102637175	1	968	105.738	118.892	0	69	12.5048	6.62014	25904	2729	602856	173563	732163	935155	769053
chr1	102931554	102932246	1	692	138.045	118.892	0	285.7	3.51651	7.72349	11304	8948	562214	194865	1027510	640084	1064400
chr1	103638296	103639083	1	787	234.285	320.861	78.8965	182.7	11.1624	0	126804	13768	143688	10072	421211	65786	433301
chr1	103647394	103648887	1	1493	42.2479	231.826	9.69696	390.5	6.65365	13.4322	134816	22866	152786	19170	411407	74884	423497
chr1	105412206	105413358	1	1152	47.8119	0	0	458.9	7.70423	0	29623	7819	109302	3458	1341765	1839696	1317348
chr1	106973491	106974177	1	686	65.5844	9.9077	0	233.4	3.74997	0	10166	2865	64975	63682	585001	708091	2264461
chr1	108565520	108566637	1	1117	55.8845	147.074	0	608.3	3.21009	6.95594	18406	24246	6180	6136	57002	22829	672001
chr1	109065493	109066929	1	1436	208.372	118.892	0	302.5	6.24508	29.167	1351	3172	27267	9527	34791	165951	171709
chr1	109313727	109315320	1	1593	359.877	55.1733	52.6431	32.7	17.8452	6.71608	1429	3239	24403	23563	23290	414185	884
chr1	112646352	112647900	1	1548	96.2456	162.504	0	289.1	9.81266	0	17625	2422	14602	14376	113192	34418	337235
chr1	113958501	113959366	1	865	167.494	95.3556	0	550.1	8.29517	16.3585	58727	5473	25457	7189	23566	566163	273088
chr1	114183393	114184097	1	704	681.316	135.69	76.0612	558.1	1.54668	6.71608	11648	21869	117659	116553	116049	414398	48357
chr1	118861389	118862247	1	858	0	0	0	145.5	3.09336	0	11734	6364	70321	15909	386891	207014	355596
chr1	121351688	121360457	1	8769	1585.04	2136.97	759.035	108328	892.479	2116.77	294151	90092	150944	90184	212919	986829	858262
chr1	142535455	142543013	1	7558	3251.8	2729.53	1262.61	80203.7	596.041	808.808	149414	0	1200479	60968	1200252	2495942	1470946
chr1	142781191	142781659	1	468	0	0	0	98.4	2.15952	3.2621	24176	15284	961833	109317	961606	2257296	1232300
chr1	142783248	142784545	1	1297	224.873	0	0	2153.1	9.9221	14.3916	26233	12398	958947	106431	958720	2254410	1229414
chr1	142964498	142965099	1	601	0	0	0	0	0	0	207483	167261	778393	10858	778166	2073856	1048860
chr1	142966569	142967768	1	1199	105.738	0	0	0	0.751454	0	209554	169332	775724	12929	775497	2071187	1046191
chr1	143482311	143482806	1	495	1.83892	0	0	130.1	9.40411	6.42825	63080	17231	260686	14644	260459	1556149	531153
chr1	143543581	143544299	1	718	95.2814	219.722	236.955	2667	42.9569	35.2115	1587	43250	199193	75914	198966	1494656	469660
chr1	147311121	147311524	1	403	17.3275	248.333	0	0	4.87351	28.7832	0	1560	50925	1687	89164	30080	184792
chr1	148206039	148206666	1	627	0	0	0	0	0	0	8953	34776	29575	29555	29427	344251	1079710
chr1	148676350	148677307	1	957	0	0	0	0	1.02139	0	15916	369501	119566	71098	119270	125306	1218958
chr1	148791945	148792263	1	318	0	0	0	0	0	0	0	254545	135893	61833	234865	240901	1104002
chr1	148802027	148802372	1	345	0	0	0	0	0	0	0	244436	125784	51724	244947	250983	1093893
chr1	149022718	149023452	1	734	0	0	0	368.1	5.54471	20.1483	0	23356	94414	94414	192535	471674	872813
chr1	149210040	149210481	1	441	24.2055	377.417	65.0453	652.5	4.06368	0	0	5500	5001	4995	5506	658996	685784
chr1	150715839	150717316	1	1477	588.159	76.2893	0	4.4	6.27427	11.3694	9873	8204	20920	18840	18351	395545	77
chr1	153229055	153229529	1	474	41.568	0	0	0	8.28787	15.0632	0	1016	133478	3727	3671	49294	379400
chr1	153952050	153952462	1	412	71.4144	0	18.0006	0	3.88129	12.1849	0	1765	7099	1806	976	212762	3553
chr1	155779089	155780058	1	969	422.766	0	0	988.7	9.49895	20.3881	0	3426	46918	46918	46154	271206	2081
chr1	160953922	160954779	1	857	105.738	237.806	162.208	303.4	7.16434	6.86	4372	571	28837	5417	28056	275471	12076
chr1	161400892	161401334	1	442	0	70.308	0	247.8	5.52282	1.39119	26494	2490	2855	2868	8100	146579	83816
chr1	162696638	162698010	1	1372	247.434	163.406	37.405	68.5	16.2329	0.23986	9329	5329	62202	8526	62509	338909	27286
chr1	163028922	163029671	1	749	119.53	0	70.3966	71.9	0.109435	7.67552	0	9334	107091	11965	236177	339141	240907
chr1	165498441	165499264	1	823	101.976	168.675	0	92.6	12.6872	6.71608	5981	3248	68172	2179	67549	30786	130943
chr1	165551594	165552891	1	1297	30.6116	220.755	85.942	655.6	11.8117	14.3916	12862	720	14545	9365	13922	11971	77316
chr1	165789292	165790030	1	738	146.045	230.384	153.324	0	11.1478	6.38028	8529	1395	6666	6686	6184	249669	44923
chr1	166432535	166433571	1	1036	27.4825	271.942	0	0	3.45815	14.3916	12853	495	25785	25285	24900	74017	376544
chr1	168318130	168318901	1	771	0	0	0	0	0	0	33143	4983	5906	306	196	211224	83643
chr1	169323774	169324763	1	989	333.368	84.5055	108.387	69.4	5.77816	13.3362	15090	5273	12233	5788	11643	731158	20959
chr1	172593400	172594262	1	862	317.215	470.537	110.951	26.6	5.95326	20.9638	5435	1782	13886	2634	14062	132594	13535
chr1	176101434	176102520	1	1086	692.796	31.6915	17.2945	236.4	18.7572	17.0301	6696	603	9490	9550	71576	329171	13209
chr1	177117981	177119044	1	1063	0	144.652	97.1779	14.7	4.45766	0	29104	2840	31852	20872	21108	15017	1002133
chr1	177368152	177368642	1	490	0	25.7312	0	267.9	2.15952	0	0	6738	162054	12428	227647	44482	1252304
chr1	182415761	182416419	1	658	0	0	33.0501	241	7.68963	11.1295	0	347	19397	212	53919	131747	58372
