Chr	Start	End	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	10000	10753	869781	810804	702507	703303	0	80481	699196
chr1	120745	121356	759178	700201	591904	592700	110161	29217	588593
chr1	341221	342400	538134	479157	370860	371656	105440	249693	367549
chr1	446367	447174	433360	374383	266086	266882	93460	266946	262775
chr1	470006	470836	409698	350721	242424	243220	69798	243284	239113
chr1	564463	570356	310178	251201	142904	143700	17630	143764	139593
chr1	724131	727105	153429	94452	8616	9507	9487	9443	0
chr1	2583627	2587454	69344	120925	8932	8883	8883	4604	29848
chr1	2599496	2605501	85213	136794	24801	24752	24752	20473	45717
chr1	2627004	2627849	112721	164302	52309	52260	52260	4379	50592
chr1	4159650	4160723	351409	632934	341427	71826	52466	1075	0
chr1	5274225	5275156	648127	217538	775969	294900	127896	790	1485
chr1	8921213	8923559	0	107388	10663	12023	0	0	6684
chr1	9793050	9793812	0	289804	15228	7692	0	1928	2512
chr1	10247484	10248492	7153	531176	21275	21944	1364	13298	35950
chr1	11433938	11434613	78641	17220	97560	36114	9613	4841	0
chr1	14806875	14807479	676035	104068	117601	36417	139	4862	4539
chr1	17734810	17737311	0	18918	20755	20831	1906	0	0
chr1	20824121	20825104	0	10976	8280	3597	3617	2070	9388
chr1	21038868	21039670	25018	6220	15109	15364	4366	1724	10144
chr1	21506084	21506939	13070	323768	2097	2520	1780	177	0
chr1	25226758	25229650	0	150707	21684	20466	0	0	12720
chr1	25237072	25237975	0	142382	13359	12141	0	0	23034
chr1	25254925	25255722	397	124635	0	1114	0	0	24579
chr1	25328198	25329358	39759	50999	19736	19618	254	1503	0
chr1	26794989	26796945	0	56302	902	1611	0	0	0
chr1	26883265	26883840	0	144578	8967	10921	10901	10649	3370
chr1	27107344	27108428	0	178826	4855	5088	4688	5444	0
chr1	27726632	27728007	1695	387745	6931	4498	1849	840	0
chr1	27728423	27729986	0	389536	8722	6289	0	0	0
chr1	27730094	27730891	264	391207	10393	7960	0	319	0
chr1	27731244	27732667	1414	392357	11543	9110	1090	1469	0
chr1	28833003	28833944	0	300574	0	539	0	44	0
chr1	28834476	28835462	0	299056	0	2012	1332	194	0
chr1	28907039	28908107	463	226411	0	229	229	0	0
chr1	30196080	30196824	651529	8614	609463	16014	10996	1637	7177
chr1	30243133	30244876	698582	2307	656516	63067	21320	2786	0
chr1	30246765	30247304	702214	5939	660148	66699	18892	6418	0
chr1	31127942	31128672	66145	5365	54365	62364	52344	15935	0
chr1	31205082	31208027	0	46397	8080	12778	0	0	0
chr1	31208495	31209645	0	49810	6462	16191	2951	1105	0
chr1	31589792	31591068	57422	119969	36360	36768	36748	8486	0
chr1	31904598	31905057	63451	17497	7714	8014	8014	2270	9249
chr1	31967610	31968179	124595	74117	46626	11306	3497	4092	1690
chr1	32795292	32798155	0	131755	1046	2693	2701	0	44472
chr1	32798458	32801074	0	128836	0	0	0	0	41553
chr1	35654561	35657032	0	260032	0	604	144	0	3663
chr1	36868833	36869902	8932	71466	4838	5209	2009	1769	5674
chr1	37009471	37010986	81169	9397	78821	8510	8530	640	11773
chr1	37946053	37949749	0	75322	0	589	569	330	0
chr1	40426988	40427433	30	322613	434	5303	624	526	0
chr1	40889953	40891320	130	785578	22192	23682	23669	12823	0
chr1	42010300	42011580	37975	82313	27769	28296	28276	955	21729
chr1	43166382	43167656	422	311602	13888	17558	17558	4394	0
chr1	43916305	43918231	0	79153	800	60701	1025	0	13259
chr1	45103977	45106077	0	26158	5102	5913	5933	1034	2169
chr1	45260472	45262443	5234	182653	3080	3353	876	0	0
chr1	45266060	45266890	787	188241	0	116	116	0	0
chr1	45282001	45282763	9199	204182	1896	2377	2113	23	11659
chr1	46085141	46087383	0	786366	32275	32797	0	0	25033
chr1	47587425	47587987	130675	85928	56481	56909	15243	2045	6581
chr1	48948615	48949900	1047736	28317	10122	10591	10591	3558	0
chr1	49635632	49636483	1268904	386387	697139	671479	76636	2509	9892
chr1	50413475	50414511	490876	155004	384337	303065	33751	1213	0
chr1	50439072	50439587	465800	129928	359261	277989	8675	4495	4805
chr1	52819002	52819839	0	279549	10631	12057	12057	1031	25427
chr1	53262364	53263502	11540	162785	44374	44874	44854	4256	11232
chr1	55322722	55324065	0	164915	25943	28831	27250	228	7378
chr1	56127697	56133583	491458	73729	445505	384233	0	17945	0
chr1	57830256	57831331	1114435	444831	590206	56959	1888	6090	6403
chr1	58071941	58072594	873172	203568	831891	298644	59071	830	1775
chr1	59194437	59197341	40819	510399	28375	1993	1993	0	9162
chr1	63887567	63888272	15597	102507	53367	54243	18983	3982	5061
chr1	65814431	65814976	76131	346703	70154	38738	38767	2938	20414
chr1	67171739	67172397	234078	15911	45759	56772	14214	1787	0
chr1	67201638	67202677	203798	13109	15479	86671	2399	308	28578
chr1	68175242	68176220	20502	90578	21499	24258	22139	7131	37282
chr1	69844146	69844756	770239	1054743	825236	358701	4851	664	0
chr1	70381495	70382236	232759	769977	287756	117116	50560	12996	5182
chr1	71112029	71114397	212591	37816	233136	136045	27159	3266	0
chr1	71267062	71267624	258385	114713	276981	108182	55838	5149	6531
chr1	72393520	72394332	855867	348433	248792	354224	221860	5286	0
chr1	74520261	74520959	655914	420297	141894	55937	55937	0	5939
chr1	75275745	75276837	50305	3860	427	1139	359	653	25802
chr1	75745415	75746442	452957	132141	93955	58494	13711	1071	32242
chr1	76350591	76352667	87496	242358	93790	21829	21809	12473	15700
chr1	77832929	77834137	192397	37183	45433	91519	2619	1649	0
chr1	77909561	77910629	115905	29445	29314	15027	14731	1281	1550
chr1	78792829	78793662	300614	281703	183836	212485	5434	1555	71993
chr1	79782978	79784395	652365	620192	263934	57189	6086	7437	3962
chr1	80036731	80038424	906118	873945	517687	51367	51407	14505	14620
chr1	82464267	82464803	2490777	197129	692217	316577	153858	9	12933
chr1	85517421	85517946	47993	157741	2677	9910	3097	1203	25278
chr1	85895113	85895995	156620	35117	34181	34369	20598	21315	20708
chr1	86002399	86003036	100022	4529	38815	39640	33680	1523	18921
chr1	90843804	90845128	354083	326739	343753	19940	19620	10234	47249
chr1	91505752	91506319	49369	162640	17412	17988	13488	11074	33245
chr1	91544274	91544930	87891	124029	55934	56510	15050	14015	11666
chr1	91634002	91635208	177619	33751	113273	2947	2918	1075	7560
chr1	91742623	91743875	231516	73504	4606	111568	521	513	3479
chr1	91924507	91926469	48922	11733	39433	39887	17877	7631	26416
chr1	96730649	96731721	467237	1577812	454957	455495	15941	25680	4289
chr1	97359695	97360179	66865	2206858	170556	72039	48431	2400	27166
chr1	97788642	97789378	495812	1940664	184166	138178	51992	32	3247
chr1	102017379	102019965	150225	1012831	113335	13238	13211	841	0
chr1	102558701	102559699	691547	1012631	654657	525350	96057	8701	46456
chr1	102636103	102637175	768949	935155	732059	602752	173459	2729	25800
chr1	103048338	103049438	1022946	522892	1010856	445022	77673	5642	0
chr1	103239547	103240142	832242	332188	820152	254318	112133	48	0
chr1	103638279	103639083	433301	65769	421211	143671	10055	13751	126787
chr1	103647394	103648887	423497	74884	411407	152786	19170	22866	134816
chr1	105412206	105413358	1317348	1839696	1341765	109302	3458	7819	29623
chr1	105617403	105618170	1522545	2044893	1546962	87328	62106	12096	29873
chr1	106137720	106138501	2042862	1543767	1420677	426547	64388	5988	1374
chr1	106302149	106303351	2207291	1378917	1255827	261697	228817	1014	115
chr1	106503698	106504217	2408840	1178051	1054961	60831	60899	5608	29206
chr1	106973491	106974177	2264461	708091	585001	64975	63682	2865	10166
chr1	107346189	107346802	1891836	335466	212376	32580	819	895	0
chr1	107631122	107631915	1606723	50353	29899	30918	7630	11297	35280
chr1	107839060	107839835	1398803	156323	154010	16967	10076	0	0
chr1	108565500	108566637	672001	22829	56982	6160	6116	24246	18386
chr1	109065490	109066929	171709	165948	34791	27267	9527	3172	1351
chr1	109093017	109093738	144900	193475	7982	458	478	4795	1171
chr1	109242456	109244493	0	342914	4698	6372	1703	2173	20699
chr1	109313727	109315320	884	414185	23290	24403	23563	3239	1429
chr1	111733082	111735241	0	454341	3215	11255	0	2456	11697
chr1	112044402	112045302	29420	289616	3024	5094	954	2403	1368
chr1	112646352	112648016	337235	34302	113192	14486	14260	2306	17509
chr1	113958501	113959366	273088	566163	23566	25457	7189	5473	58727
chr1	118594006	118595006	88213	59251	119508	84202	3495	112	0
chr1	118861370	118862382	355577	206995	386872	70302	15774	6345	11715
chr1	118929690	118930265	423897	275315	455192	138622	51386	4146	14717
chr1	119737365	119738072	29862	189780	53104	27024	27044	2006	34512
chr1	121351688	121360457	858262	986829	212919	150944	90184	90092	294151
chr1	121362562	121363446	869136	997703	223793	161818	101058	100966	305025
chr1	121365201	121366296	871775	1000342	226432	164457	103697	103605	307664
chr1	121394551	121396070	901125	1029692	255782	193807	133047	132955	337014
chr1	121398609	121399548	905183	1033750	259840	197865	137105	137013	341072
chr1	121399874	121401943	906448	1035015	261105	199130	138370	138278	342337
chr1	121403855	121405497	910429	1038996	265086	203111	142351	142259	346318
